#Device,HMC8015
#Device Name,
#Date,2018-07-11
#Logging Interval[s],0.100
#Actual Count,313         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
231.98,0.6136,136.19,50.001,,1,142.34,41.39,0.957,3.67,16:25:34.000
231.99,0.6132,136.11,50.001,,1,142.27,41.39,0.957,3.72,16:25:34.100
231.99,0.6138,136.23,50.001,,1,142.39,41.41,0.957,3.73,16:25:34.200
231.98,0.6143,136.32,50.002,,1,142.50,41.48,0.957,3.70,16:25:34.300
231.98,0.6137,136.20,50.002,,1,142.36,41.42,0.957,3.68,16:25:34.400
231.94,0.6142,136.28,50.003,,1,142.45,41.47,0.957,3.65,16:25:34.500
232.03,0.6141,136.32,50.004,,1,142.49,41.46,0.957,3.64,16:25:34.600
232.06,0.6139,136.28,50.004,,1,142.46,41.48,0.957,3.65,16:25:34.700
232.02,0.6131,136.08,50.003,,1,142.24,41.41,0.957,3.63,16:25:34.800
232.02,0.6130,136.06,50.005,,1,142.23,41.43,0.957,3.65,16:25:34.900
231.96,0.6139,136.25,50.005,,1,142.40,41.40,0.957,3.68,16:25:35.000
231.96,0.6136,136.19,50.006,,1,142.34,41.40,0.957,3.68,16:25:35.100
232.00,0.6078,134.80,50.007,,1,141.00,41.34,0.956,3.69,16:25:35.200
232.50,0.1480,15.92,50.006,,1,34.41,30.50,0.463,3.68,16:25:35.300
232.45,0.0950,10.47,50.006,,1,22.07,19.43,0.474,3.70,16:25:35.400
232.44,0.1298,19.07,50.007,,1,30.16,23.37,0.632,3.68,16:25:35.500
232.62,0.1037,15.81,50.006,,1,24.13,18.23,0.655,3.71,16:25:35.600
232.60,0.1051,18.03,50.006,,1,24.45,16.52,0.737,3.72,16:25:35.700
232.53,0.1065,18.28,50.007,,1,24.77,16.71,0.738,3.69,16:25:35.800
232.49,0.1058,18.17,50.007,,1,24.60,16.59,0.738,3.69,16:25:35.900
232.51,0.1056,18.11,50.007,,1,24.56,16.60,0.737,3.67,16:25:36.000
232.53,0.1059,18.19,50.006,,1,24.62,16.59,0.739,3.67,16:25:36.100
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,16:25:36.200
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,16:25:36.300
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,16:25:36.400
232.49,107.03E-03,18.451,50.004,,200E-03,24.884,16.697,0.741,3.71,16:25:36.500
232.47,108.79E-03,18.600,50.006,,200E-03,25.290,17.135,0.735,3.71,16:25:36.600
232.54,106.09E-03,18.249,50.005,,200E-03,24.670,16.601,0.740,3.70,16:25:36.700
232.52,106.40E-03,18.323,50.006,,200E-03,24.739,16.622,0.741,3.69,16:25:36.800
232.53,106.81E-03,18.419,50.008,,200E-03,24.836,16.660,0.742,3.69,16:25:36.900
232.57,106.48E-03,18.351,50.009,,200E-03,24.765,16.630,0.741,3.68,16:25:37.000
232.58,106.58E-03,18.358,50.009,,200E-03,24.789,16.658,0.741,3.71,16:25:37.100
232.54,106.49E-03,18.361,50.009,,200E-03,24.763,16.616,0.741,3.71,16:25:37.200
232.54,107.56E-03,18.554,50.010,,200E-03,25.012,16.773,0.742,3.72,16:25:37.300
232.50,106.61E-03,18.330,50.010,,200E-03,24.785,16.683,0.740,3.69,16:25:37.400
232.48,106.63E-03,18.349,50.010,,200E-03,24.790,16.669,0.740,3.71,16:25:37.500
232.44,106.39E-03,18.305,50.010,,200E-03,24.730,16.628,0.740,3.68,16:25:37.600
232.48,106.02E-03,18.216,50.010,,200E-03,24.647,16.602,0.739,3.68,16:25:37.700
232.50,106.40E-03,18.257,50.011,,200E-03,24.738,16.693,0.738,3.68,16:25:37.800
232.52,106.08E-03,18.197,50.010,,200E-03,24.666,16.652,0.738,3.69,16:25:37.900
232.48,105.99E-03,18.178,50.009,,200E-03,24.640,16.634,0.738,3.67,16:25:38.000
232.48,105.84E-03,18.157,50.010,,200E-03,24.607,16.608,0.738,3.68,16:25:38.100
232.49,106.33E-03,18.263,50.012,,200E-03,24.721,16.661,0.739,3.73,16:25:38.200
232.47,106.08E-03,18.238,50.012,,200E-03,24.659,16.597,0.740,3.71,16:25:38.300
232.47,105.63E-03,18.100,50.012,,200E-03,24.555,16.593,0.737,3.69,16:25:38.400
232.40,105.18E-03,18.012,50.013,,200E-03,24.443,16.524,0.737,3.65,16:25:38.500
232.40,106.34E-03,18.303,50.014,,200E-03,24.714,16.607,0.741,3.67,16:25:38.600
232.40,105.09E-03,17.976,50.013,,200E-03,24.423,16.533,0.736,3.69,16:25:38.700
232.49,106.69E-03,18.357,50.013,,200E-03,24.805,16.683,0.740,3.67,16:25:38.800
232.53,105.93E-03,18.184,50.013,,200E-03,24.632,16.615,0.738,3.70,16:25:38.900
