#Device,HMC8015
#Device Name,
#Date,2018-07-11
#Logging Interval[s],0.100
#Actual Count,562         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
232.67,0.0052E-03,0.0003,50.011,,5E-03,0.0012,0.0012,0.266,3.58,16:19:12.000
232.67,0.0051E-03,0.0003,50.011,,5E-03,0.0012,0.0011,0.279,3.56,16:19:12.100
232.67,0.0051E-03,0.0003,50.010,,5E-03,0.0012,0.0011,0.275,3.55,16:19:12.200
232.70,0.0050E-03,0.0003,50.010,,5E-03,0.0012,0.0011,0.276,3.57,16:19:12.300
232.67,0.0051E-03,0.0003,50.011,,5E-03,0.0012,0.0011,0.273,3.55,16:19:12.400
232.68,0.0050E-03,0.0003,50.011,,5E-03,0.0012,0.0011,0.274,3.58,16:19:12.500
232.75,0.0050E-03,0.0003,50.012,,5E-03,0.0012,0.0011,0.274,3.59,16:19:12.600
232.70,0.0050E-03,0.0003,50.011,,5E-03,0.0012,0.0011,0.276,3.66,16:19:12.700
232.69,0.0050E-03,0.0003,50.011,,5E-03,0.0012,0.0011,0.285,3.52,16:19:12.800
232.67,0.0050E-03,0.0003,50.010,,5E-03,0.0012,0.0011,0.280,3.59,16:19:12.900
232.69,0.0062E-03,0.0003,50.011,,5E-03,0.0014,0.0014,0.227,3.57,16:19:13.000
232.70,0.0059E-03,0.0003,50.010,,5E-03,0.0014,0.0013,0.237,3.61,16:19:13.100
232.77,0.0050E-03,0.0003,50.010,,5E-03,0.0012,0.0011,0.268,3.60,16:19:13.200
232.74,0.0051E-03,0.0003,50.009,,5E-03,0.0012,0.0011,0.282,3.58,16:19:13.300
232.69,0.0050E-03,0.0003,50.009,,5E-03,0.0012,0.0011,0.280,3.61,16:19:13.400
232.67,0.0050E-03,0.0003,50.009,,5E-03,0.0012,0.0011,0.276,3.57,16:19:13.500
232.67,0.0051E-03,0.0003,50.009,,5E-03,0.0012,0.0011,0.275,3.60,16:19:13.600
232.70,0.0050E-03,0.0003,50.008,,5E-03,0.0012,0.0011,0.278,3.61,16:19:13.700
232.65,0.0050E-03,0.0003,50.007,,5E-03,0.0012,0.0011,0.281,3.58,16:19:13.800
232.62,0.0051E-03,0.0003,50.009,,5E-03,0.0012,0.0011,0.276,3.57,16:19:13.900
232.61,0.0050E-03,0.0003,50.007,,5E-03,0.0012,0.0011,0.270,3.58,16:19:14.000
232.63,0.0051E-03,0.0003,50.007,,5E-03,0.0012,0.0011,0.282,3.55,16:19:14.100
232.70,0.0066E-03,0.0003,50.008,,5E-03,0.0015,0.0015,0.212,3.57,16:19:14.200
232.65,0.0059E-03,0.0003,50.008,,5E-03,0.0014,0.0013,0.233,3.56,16:19:14.300
232.64,0.0051E-03,0.0003,50.007,,5E-03,0.0012,0.0012,0.271,3.54,16:19:14.400
232.64,0.0051E-03,0.0003,50.008,,5E-03,0.0012,0.0011,0.272,3.57,16:19:14.500
232.65,0.0051E-03,0.0003,50.008,,5E-03,0.0012,0.0011,0.273,3.57,16:19:14.600
232.63,0.0050E-03,0.0003,50.009,,5E-03,0.0012,0.0011,0.277,3.55,16:19:14.700
232.66,inf,inf,50.010,,5E-03,inf,inf,inf,3.57,16:19:14.800
nan,nan,nan,nan,,20,nan,nan,nan,nan,16:19:14.900
nan,nan,nan,nan,,20,nan,nan,nan,nan,16:19:15.000
nan,nan,nan,nan,,20,nan,nan,nan,nan,16:19:15.100
232.73,0.035,0.0010E+03,50.009,,20,0.0082E+03,0.0081E+03,0.125,3.55,16:19:15.200
232.79,0.035,0.0012E+03,50.010,,20,0.0081E+03,0.0080E+03,0.151,3.58,16:19:15.300
232.71,0.035,0.0013E+03,50.011,,20,0.0081E+03,0.0080E+03,0.161,3.60,16:19:15.400
232.73,0.035,0.0014E+03,50.010,,20,0.0082E+03,0.0081E+03,0.165,3.56,16:19:15.500
232.74,0.035,0.0014E+03,50.010,,20,0.0081E+03,0.0080E+03,0.169,3.57,16:19:15.600
232.77,0.035,0.0012E+03,50.009,,20,0.0082E+03,0.0081E+03,0.150,3.58,16:19:15.700
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,16:19:15.800
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,16:19:15.900
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,16:19:16.000
232.71,34.60E-03,0.00,50.010,,500E-03,8.05,8.05,0.001,3.57,16:19:16.100
232.62,92.83E-03,15.12,50.009,,500E-03,21.59,15.42,0.700,3.59,16:19:16.200
232.64,92.35E-03,14.95,50.010,,500E-03,21.48,15.43,0.696,3.58,16:19:16.300
232.64,93.06E-03,15.04,50.009,,500E-03,21.65,15.57,0.695,3.60,16:19:16.400
232.64,93.64E-03,15.17,50.009,,500E-03,21.79,15.64,0.696,3.61,16:19:16.500
232.66,93.83E-03,15.24,50.008,,500E-03,21.83,15.63,0.698,3.54,16:19:16.600
232.66,93.74E-03,15.27,50.008,,500E-03,21.81,15.57,0.700,3.58,16:19:16.700
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,16:19:16.800
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,16:19:16.900
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,16:19:17.000
232.68,94.49E-03,15.314,50.008,,200E-03,21.985,15.774,0.697,3.57,16:19:17.100
232.63,97.99E-03,16.046,50.008,,200E-03,22.796,16.192,0.704,3.56,16:19:17.200
232.63,96.47E-03,15.934,50.007,,200E-03,22.443,15.805,0.710,3.56,16:19:17.300
232.69,96.16E-03,15.818,50.007,,200E-03,22.375,15.825,0.707,3.55,16:19:17.400
232.67,95.97E-03,15.805,50.007,,200E-03,22.330,15.774,0.708,3.52,16:19:17.500
232.66,95.36E-03,15.675,50.008,,200E-03,22.185,15.700,0.707,3.57,16:19:17.600
