#Device,HMC8015
#Device Name,
#Date,2018-07-11
#Logging Interval[s],0.100
#Actual Count,705         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
231.70,34.014E-03,0.067,50.005,,50E-03,7.881,7.881,0.008,3.82,16:21:25.000
231.70,33.931E-03,0.061,50.006,,50E-03,7.862,7.862,0.008,3.84,16:21:25.100
231.74,34.022E-03,0.149,50.005,,50E-03,7.884,7.883,0.019,3.85,16:21:25.200
231.73,inf,inf,50.006,,50E-03,inf,inf,inf,3.85,16:21:25.300
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,16:21:25.400
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,16:21:25.500
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,16:21:25.600
231.75,33.90E-03,0.094,50.005,,200E-03,7.857,7.856,0.012,3.81,16:21:25.700
231.90,33.87E-03,0.081,50.000,,200E-03,7.854,7.854,0.010,3.82,16:21:25.800
231.87,33.73E-03,0.076,50.000,,200E-03,7.822,7.821,0.010,3.77,16:21:25.900
231.82,33.79E-03,0.063,50.000,,200E-03,7.834,7.834,0.008,3.78,16:21:26.000
231.82,33.93E-03,0.062,49.998,,200E-03,7.867,7.866,0.008,3.79,16:21:26.100
231.79,34.34E-03,0.390,49.999,,200E-03,7.959,7.950,0.049,3.84,16:21:26.200
nan,nan,nan,nan,,50E-03,nan,nan,nan,nan,16:21:26.300
nan,nan,nan,nan,,50E-03,nan,nan,nan,nan,16:21:26.400
nan,nan,nan,nan,,50E-03,nan,nan,nan,nan,16:21:26.500
231.24,33.412E-03,0.057,49.998,,50E-03,7.726,7.726,0.007,3.80,16:21:26.600
231.24,33.356E-03,0.105,49.998,,50E-03,7.713,7.713,0.014,3.82,16:21:26.700
231.22,33.440E-03,0.069,50.005,,50E-03,7.732,7.732,0.009,3.83,16:21:26.800
231.22,33.394E-03,0.059,50.005,,50E-03,7.721,7.721,0.008,3.85,16:21:26.900
231.18,33.383E-03,0.049,50.008,,50E-03,7.717,7.717,0.006,3.86,16:21:27.000
