#Device,HMC8015
#Device Name,
#Date,2018-07-11
#Logging Interval[s],0.100
#Actual Count,509         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
231.19,0.6159,136.26,50.004,,1,142.40,41.36,0.957,3.86,16:23:57.000
231.15,0.6166,136.40,50.005,,1,142.53,41.35,0.957,3.85,16:23:57.100
231.08,0.6169,136.41,50.004,,1,142.55,41.36,0.957,3.84,16:23:57.200
231.12,0.6164,136.33,50.003,,1,142.47,41.38,0.957,3.87,16:23:57.300
230.94,0.6171,136.34,50.002,,1,142.50,41.45,0.957,3.85,16:23:57.400
230.93,0.6172,136.39,50.000,,1,142.53,41.38,0.957,3.86,16:23:57.500
231.13,0.6162,136.28,50.000,,1,142.42,41.39,0.957,3.86,16:23:57.600
231.18,0.6164,136.35,49.999,,1,142.49,41.40,0.957,3.84,16:23:57.700
231.19,0.6165,136.38,50.001,,1,142.53,41.44,0.957,3.90,16:23:57.800
231.08,0.6183,136.73,50.001,,1,142.87,41.44,0.957,3.88,16:23:57.900
231.11,0.6170,136.45,50.002,,1,142.60,41.43,0.957,3.85,16:23:58.000
231.16,0.6167,136.41,50.002,,1,142.57,41.44,0.957,3.86,16:23:58.100
231.20,0.6165,136.39,50.002,,1,142.54,41.42,0.957,3.89,16:23:58.200
231.19,0.6165,136.38,50.002,,1,142.52,41.39,0.957,3.88,16:23:58.300
231.11,0.6172,136.50,50.004,,1,142.65,41.42,0.957,3.89,16:23:58.400
231.03,0.6173,136.48,50.003,,1,142.62,41.41,0.957,3.83,16:23:58.500
231.06,0.6174,136.52,50.002,,1,142.66,41.42,0.957,3.85,16:23:58.600
231.15,0.6166,136.37,50.002,,1,142.53,41.43,0.957,3.86,16:23:58.700
231.21,0.6164,136.38,50.001,,1,142.53,41.39,0.957,3.88,16:23:58.800
231.16,0.6162,136.30,50.000,,1,142.44,41.37,0.957,3.88,16:23:58.900
231.14,0.6163,136.31,50.000,,1,142.46,41.38,0.957,3.85,16:23:59.000
231.12,0.6161,136.24,50.002,,1,142.39,41.39,0.957,3.84,16:23:59.100
231.07,0.6167,136.39,50.001,,1,142.51,41.33,0.957,3.86,16:23:59.200
231.10,0.6162,136.28,50.002,,1,142.40,41.32,0.957,3.88,16:23:59.300
231.05,0.6168,136.38,50.001,,1,142.51,41.32,0.957,3.91,16:23:59.400
231.08,0.6167,136.40,50.001,,1,142.51,41.29,0.957,3.87,16:23:59.500
231.00,0.6168,136.36,50.001,,1,142.48,41.30,0.957,3.87,16:23:59.600
230.93,0.6169,136.35,50.001,,1,142.47,41.31,0.957,3.84,16:23:59.700
231.10,0.6166,136.37,50.000,,1,142.49,41.32,0.957,3.90,16:23:59.800
231.07,0.6171,136.45,50.001,,1,142.59,41.37,0.957,3.88,16:23:59.900
231.14,0.6168,136.45,50.003,,1,142.57,41.33,0.957,3.91,16:24:00.000
231.10,0.6175,136.56,50.003,,1,142.69,41.38,0.957,3.87,16:24:00.100
231.05,0.6164,136.29,50.004,,1,142.43,41.37,0.957,3.84,16:24:00.200
231.06,0.6162,136.26,50.004,,1,142.39,41.32,0.957,3.84,16:24:00.300
231.13,0.6163,136.32,50.004,,1,142.45,41.35,0.957,3.86,16:24:00.400
231.11,0.6163,136.31,50.004,,1,142.44,41.33,0.957,3.84,16:24:00.500
231.07,0.6162,136.26,50.006,,1,142.38,41.30,0.957,3.87,16:24:00.600
231.08,0.6166,136.34,50.006,,1,142.48,41.38,0.957,3.84,16:24:00.700
231.06,0.6168,136.39,50.006,,1,142.51,41.32,0.957,3.84,16:24:00.800
231.01,0.6169,136.39,50.005,,1,142.52,41.36,0.957,3.83,16:24:00.900
231.06,0.6165,136.31,50.003,,1,142.45,41.36,0.957,3.85,16:24:01.000
231.06,0.6155,136.09,50.001,,1,142.21,41.27,0.957,3.84,16:24:01.100
231.00,0.6162,136.23,50.000,,1,142.35,41.29,0.957,3.84,16:24:01.200
231.07,0.6159,136.20,50.001,,1,142.32,41.28,0.957,3.87,16:24:01.300
231.09,0.6160,136.21,50.000,,1,142.35,41.38,0.957,3.86,16:24:01.400
231.10,0.6157,136.16,49.999,,1,142.28,41.30,0.957,3.84,16:24:01.500
231.06,0.6158,136.16,49.999,,1,142.29,41.32,0.957,3.89,16:24:01.600
231.07,0.6163,136.27,50.000,,1,142.40,41.33,0.957,3.88,16:24:01.700
231.01,0.6159,136.16,49.998,,1,142.29,41.31,0.957,3.87,16:24:01.800
231.03,0.6165,136.30,49.999,,1,142.43,41.35,0.957,3.87,16:24:01.900
231.10,0.6166,136.35,49.999,,1,142.49,41.37,0.957,3.87,16:24:02.000
231.10,0.6163,136.30,49.999,,1,142.42,41.31,0.957,3.88,16:24:02.100
231.10,0.6166,136.37,50.000,,1,142.50,41.34,0.957,3.84,16:24:02.200
231.06,0.6165,136.31,49.998,,1,142.44,41.32,0.957,3.81,16:24:02.300
231.11,0.6170,136.46,49.997,,1,142.60,41.37,0.957,3.87,16:24:02.400
231.08,0.6163,136.29,49.999,,1,142.42,41.34,0.957,3.88,16:24:02.500
231.06,0.6166,136.33,49.999,,1,142.46,41.34,0.957,3.89,16:24:02.600
230.99,0.6159,136.13,49.998,,1,142.26,41.29,0.957,3.90,16:24:02.700
230.89,0.6165,136.23,49.998,,1,142.34,41.25,0.957,3.88,16:24:02.800
231.01,0.6158,136.15,49.999,,1,142.26,41.26,0.957,3.86,16:24:02.900
231.07,0.6152,136.07,49.999,,1,142.16,41.18,0.957,3.90,16:24:03.000
231.12,0.6160,136.28,50.000,,1,142.38,41.23,0.957,3.87,16:24:03.100
231.09,0.6169,136.45,50.000,,1,142.56,41.28,0.957,3.88,16:24:03.200
231.04,0.6167,136.39,50.001,,1,142.49,41.25,0.957,3.88,16:24:03.300
231.00,0.6166,136.34,50.002,,1,142.44,41.25,0.957,3.88,16:24:03.400
230.91,0.6173,136.42,50.000,,1,142.54,41.30,0.957,3.88,16:24:03.500
230.96,0.6174,136.47,50.001,,1,142.59,41.33,0.957,3.88,16:24:03.600
231.03,0.6172,136.47,50.001,,1,142.58,41.30,0.957,3.86,16:24:03.700
230.97,0.6170,136.38,50.001,,1,142.50,41.31,0.957,3.85,16:24:03.800
230.94,0.6170,136.39,50.001,,1,142.50,41.27,0.957,3.86,16:24:03.900
231.09,0.6174,136.56,50.000,,1,142.67,41.30,0.957,3.88,16:24:04.000
231.17,0.6165,136.41,49.999,,1,142.53,41.29,0.957,3.87,16:24:04.100
231.19,0.6171,136.55,49.998,,1,142.67,41.35,0.957,3.86,16:24:04.200
231.12,0.6187,136.87,49.999,,1,142.99,41.38,0.957,3.86,16:24:04.300
231.13,0.6175,136.61,49.999,,1,142.73,41.34,0.957,3.89,16:24:04.400
231.13,0.6167,136.42,50.001,,1,142.54,41.31,0.957,3.91,16:24:04.500
231.08,0.6159,136.22,50.001,,1,142.32,41.23,0.957,3.90,16:24:04.600
231.13,0.6156,136.17,50.000,,1,142.29,41.27,0.957,3.89,16:24:04.700
231.34,0.6161,136.41,50.003,,1,142.54,41.36,0.957,3.79,16:24:04.800
231.35,0.6159,136.37,50.003,,1,142.49,41.32,0.957,3.81,16:24:04.900
231.31,0.6158,136.31,50.003,,1,142.43,41.30,0.957,3.75,16:24:05.000
231.21,0.6157,136.25,50.002,,1,142.36,41.28,0.957,3.72,16:24:05.100
231.24,0.6163,136.40,50.001,,1,142.51,41.30,0.957,3.77,16:24:05.200
231.31,0.6153,136.22,50.000,,1,142.33,41.25,0.957,3.76,16:24:05.300
231.27,0.6155,136.24,49.998,,1,142.35,41.28,0.957,3.77,16:24:05.400
231.33,0.6154,136.23,49.996,,1,142.36,41.33,0.957,3.74,16:24:05.500
231.42,0.6161,136.46,49.997,,1,142.57,41.29,0.957,3.82,16:24:05.600
231.42,0.6152,136.25,49.999,,1,142.37,41.29,0.957,3.73,16:24:05.700
231.42,0.6154,136.30,49.998,,1,142.41,41.27,0.957,3.73,16:24:05.800
