#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,772         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
233.33,9.120E-03,0.4697,49.995,,20E-03,2.1279,2.0754,0.221,3.16,10:55:05.000
233.39,9.071E-03,0.4579,49.996,,20E-03,2.1171,2.0670,0.216,3.16,10:55:05.100
233.39,9.082E-03,0.4547,49.995,,20E-03,2.1197,2.0704,0.215,3.18,10:55:05.200
233.40,9.078E-03,0.4566,49.996,,20E-03,2.1189,2.0691,0.215,3.17,10:55:05.300
233.33,9.188E-03,0.4711,49.995,,20E-03,2.1438,2.0914,0.220,3.20,10:55:05.400
233.33,9.281E-03,0.4879,49.996,,20E-03,2.1655,2.1098,0.225,3.20,10:55:05.500
233.36,9.308E-03,0.4858,49.995,,20E-03,2.1721,2.1171,0.224,3.19,10:55:05.600
233.34,9.331E-03,0.4829,49.995,,20E-03,2.1773,2.1231,0.222,3.19,10:55:05.700
233.39,9.207E-03,0.4700,49.995,,20E-03,2.1487,2.0967,0.219,3.18,10:55:05.800
233.36,9.105E-03,0.4580,49.995,,20E-03,2.1247,2.0747,0.216,3.19,10:55:05.900
233.39,9.121E-03,0.4585,49.996,,20E-03,2.1289,2.0789,0.215,3.17,10:55:06.000
233.38,9.123E-03,0.4560,49.995,,20E-03,2.1291,2.0797,0.214,3.17,10:55:06.100
233.38,9.237E-03,0.4703,49.994,,20E-03,2.1557,2.1037,0.218,3.15,10:55:06.200
233.39,9.341E-03,0.4880,49.994,,20E-03,2.1800,2.1247,0.224,3.15,10:55:06.300
233.37,9.270E-03,0.4806,49.995,,20E-03,2.1632,2.1092,0.222,3.17,10:55:06.400
233.39,9.326E-03,0.4889,49.995,,20E-03,2.1766,2.1210,0.225,3.16,10:55:06.500
233.36,11.541E-03,0.7709,49.995,,20E-03,2.6933,2.5806,0.286,3.17,10:55:06.600
233.37,12.074E-03,0.8384,49.995,,20E-03,2.8177,2.6900,0.298,3.17,10:55:06.700
233.38,12.329E-03,0.8756,49.994,,20E-03,2.8774,2.7409,0.304,3.15,10:55:06.800
