#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,559         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
233.25,9.146E-03,0.4625,50.015,,20E-03,2.1333,2.0825,0.217,3.28,10:49:23.000
233.23,9.149E-03,0.4596,50.013,,20E-03,2.1339,2.0838,0.215,3.26,10:49:23.100
233.18,9.135E-03,0.4605,50.016,,20E-03,2.1301,2.0798,0.216,3.28,10:49:23.200
233.23,9.149E-03,0.4672,50.016,,20E-03,2.1340,2.0822,0.219,3.27,10:49:23.300
233.23,9.285E-03,0.4853,50.017,,20E-03,2.1656,2.1105,0.224,3.28,10:49:23.400
233.20,9.323E-03,0.4887,50.015,,20E-03,2.1741,2.1185,0.225,3.30,10:49:23.500
233.22,9.368E-03,0.4950,50.016,,20E-03,2.1848,2.1280,0.227,3.31,10:49:23.600
233.24,9.346E-03,0.4899,50.014,,20E-03,2.1798,2.1241,0.225,3.31,10:49:23.700
233.28,9.169E-03,0.4629,50.014,,20E-03,2.1391,2.0884,0.216,3.29,10:49:23.800
233.27,9.178E-03,0.4650,50.013,,20E-03,2.1410,2.0898,0.217,3.28,10:49:23.900
233.26,9.178E-03,0.4643,50.013,,20E-03,2.1410,2.0900,0.217,3.30,10:49:24.000
233.27,9.205E-03,0.4685,50.015,,20E-03,2.1473,2.0956,0.218,3.30,10:49:24.100
233.30,9.455E-03,0.4939,50.014,,20E-03,2.2058,2.1498,0.224,3.29,10:49:24.200
233.29,9.370E-03,0.4935,50.015,,20E-03,2.1859,2.1294,0.226,3.28,10:49:24.300
233.26,9.576E-03,0.5113,50.014,,20E-03,2.2338,2.1745,0.229,3.27,10:49:24.400
233.29,12.252E-03,0.8779,50.014,,20E-03,2.8582,2.7200,0.307,3.27,10:49:24.500
233.27,12.457E-03,0.8925,50.013,,20E-03,2.9059,2.7655,0.307,3.31,10:49:24.600
233.34,12.459E-03,0.8991,50.015,,20E-03,2.9071,2.7645,0.309,3.31,10:49:24.700
233.32,12.474E-03,0.9002,50.014,,20E-03,2.9104,2.7676,0.309,3.30,10:49:24.800
233.16,inf,inf,50.015,,20E-03,inf,inf,inf,3.33,10:49:24.900
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,10:49:25.000
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,10:49:25.100
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,10:49:25.200
233.42,88.33E-03,17.019,50.014,,100E-03,20.617,11.637,0.825,3.29,10:49:25.300
233.43,86.56E-03,16.663,50.014,,100E-03,20.204,11.426,0.825,3.29,10:49:25.400
232.00,83.95E-03,16.020,50.013,,100E-03,19.478,11.080,0.822,3.29,10:49:25.500
233.48,86.42E-03,16.608,50.014,,100E-03,20.178,11.459,0.823,3.29,10:49:25.600
