#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,293         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
233.78,9.032E-03,0.4543,50.002,,20E-03,2.1115,2.0621,0.215,3.06,10:57:30.000
233.79,9.098E-03,0.4650,50.002,,20E-03,2.1270,2.0756,0.219,3.06,10:57:30.100
233.77,9.213E-03,0.4825,50.002,,20E-03,2.1538,2.0990,0.224,3.08,10:57:30.200
233.76,9.223E-03,0.4841,50.001,,20E-03,2.1561,2.1011,0.225,3.05,10:57:30.300
233.79,9.239E-03,0.4790,50.001,,20E-03,2.1601,2.1064,0.222,3.05,10:57:30.400
233.85,9.166E-03,0.4762,50.000,,20E-03,2.1435,2.0899,0.222,3.07,10:57:30.500
233.79,9.057E-03,0.4556,49.999,,20E-03,2.1174,2.0678,0.215,3.08,10:57:30.600
233.81,9.161E-03,0.4684,49.998,,20E-03,2.1419,2.0900,0.219,3.08,10:57:30.700
233.82,11.351E-03,0.7520,49.998,,20E-03,2.6542,2.5455,0.283,3.09,10:57:30.800
233.83,12.057E-03,0.8511,49.998,,20E-03,2.8194,2.6879,0.302,3.09,10:57:30.900
233.83,12.583E-03,0.9121,49.997,,20E-03,2.9422,2.7973,0.310,3.08,10:57:31.000
233.83,12.663E-03,0.9194,49.997,,20E-03,2.9609,2.8146,0.310,3.10,10:57:31.100
233.87,inf,inf,49.997,,20E-03,inf,inf,inf,3.09,10:57:31.200
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,10:57:31.300
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,10:57:31.400
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,10:57:31.500
233.81,111.21E-03,22.138,49.998,,100E-03,26.001,13.638,0.851,3.06,10:57:31.600
233.77,114.25E-03,22.903,49.999,,100E-03,26.710,13.742,0.857,3.07,10:57:31.700
232.92,111.33E-03,22.078,49.999,,100E-03,25.932,13.603,0.851,3.05,10:57:31.800
233.75,110.49E-03,21.943,50.001,,100E-03,25.827,13.621,0.850,3.08,10:57:31.900
233.77,109.46E-03,21.731,50.002,,100E-03,25.587,13.508,0.849,3.07,10:57:32.000
233.78,110.17E-03,21.856,50.003,,100E-03,25.755,13.625,0.849,3.07,10:57:32.100
233.78,110.91E-03,22.107,50.001,,100E-03,25.928,13.548,0.853,3.09,10:57:32.200
233.78,111.14E-03,22.013,50.000,,100E-03,25.982,13.801,0.847,3.07,10:57:32.300
233.79,111.95E-03,22.299,50.000,,100E-03,26.174,13.704,0.852,3.08,10:57:32.400
233.77,111.07E-03,22.071,49.999,,100E-03,25.965,13.676,0.850,3.05,10:57:32.500
233.76,110.39E-03,21.901,50.000,,100E-03,25.806,13.648,0.849,3.06,10:57:32.600
233.73,110.66E-03,22.071,50.000,,100E-03,25.865,13.486,0.853,3.08,10:57:32.700
233.78,112.17E-03,22.279,50.000,,100E-03,26.223,13.830,0.850,3.06,10:57:32.800
233.80,118.72E-03,23.762,49.998,,100E-03,27.757,14.347,0.856,3.08,10:57:32.900
233.87,118.84E-03,23.809,49.999,,100E-03,27.794,14.339,0.857,3.08,10:57:33.000
233.84,119.27E-03,23.920,49.998,,100E-03,27.890,14.343,0.858,3.07,10:57:33.100
233.83,118.83E-03,23.785,49.999,,100E-03,27.785,14.363,0.856,3.08,10:57:33.200
233.82,119.10E-03,23.887,50.001,,100E-03,27.848,14.314,0.858,3.09,10:57:33.300
233.73,117.63E-03,23.473,50.000,,100E-03,27.494,14.316,0.854,3.07,10:57:33.400
233.72,116.48E-03,23.298,50.001,,100E-03,27.223,14.081,0.856,3.07,10:57:33.500
233.73,117.59E-03,23.512,50.000,,100E-03,27.483,14.230,0.856,3.07,10:57:33.600
233.76,116.52E-03,23.284,50.001,,100E-03,27.238,14.134,0.855,3.09,10:57:33.700
233.76,116.98E-03,23.420,50.001,,100E-03,27.346,14.116,0.856,3.07,10:57:33.800
233.75,119.38E-03,23.910,50.000,,100E-03,27.905,14.387,0.857,3.07,10:57:33.900
233.73,inf,inf,50.000,,100E-03,inf,inf,inf,3.06,10:57:34.000
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,10:57:34.100
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,10:57:34.200
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,10:57:34.300
233.88,11.96E-03,0.81,49.998,,500E-03,2.80,2.68,0.288,3.08,10:57:34.400
233.89,11.90E-03,0.80,49.997,,500E-03,2.78,2.67,0.289,3.06,10:57:34.500
233.89,12.03E-03,0.82,49.997,,500E-03,2.81,2.69,0.291,3.05,10:57:34.600
233.92,12.00E-03,0.81,49.996,,500E-03,2.81,2.69,0.289,3.05,10:57:34.700
233.83,298.51E-03,27.00,49.995,,500E-03,69.80,64.36,0.387,3.07,10:57:34.800
233.73,444.89E-03,50.94,49.996,,500E-03,103.98,90.65,0.490,3.07,10:57:34.900
233.73,445.51E-03,51.29,49.995,,500E-03,104.13,90.62,0.493,3.08,10:57:35.000
233.69,442.50E-03,50.94,49.995,,500E-03,103.41,89.99,0.493,3.06,10:57:35.100
233.77,437.56E-03,50.09,49.995,,500E-03,102.29,89.19,0.490,3.07,10:57:35.200
233.77,434.26E-03,49.23,49.996,,500E-03,101.52,88.78,0.485,3.06,10:57:35.300
233.80,433.47E-03,48.75,49.996,,500E-03,101.34,88.85,0.481,3.07,10:57:35.400
233.77,433.55E-03,48.75,49.997,,500E-03,101.35,88.86,0.481,3.09,10:57:35.500
233.76,433.18E-03,48.76,49.998,,500E-03,101.26,88.75,0.482,3.09,10:57:35.600
233.72,433.58E-03,48.76,49.998,,500E-03,101.34,88.83,0.481,3.09,10:57:35.700
233.74,433.36E-03,48.72,49.999,,500E-03,101.29,88.80,0.481,3.09,10:57:35.800
233.71,432.93E-03,48.63,49.999,,500E-03,101.18,88.73,0.481,3.08,10:57:35.900
233.71,433.55E-03,48.77,49.998,,500E-03,101.33,88.82,0.481,3.09,10:57:36.000
233.79,433.83E-03,48.93,49.998,,500E-03,101.42,88.84,0.482,3.08,10:57:36.100
233.74,433.47E-03,48.80,49.999,,500E-03,101.32,88.79,0.482,3.08,10:57:36.200
233.81,432.82E-03,48.64,49.997,,500E-03,101.20,88.74,0.481,3.08,10:57:36.300
233.81,432.43E-03,48.54,49.997,,500E-03,101.11,88.70,0.480,3.06,10:57:36.400
233.83,433.08E-03,48.66,49.996,,500E-03,101.27,88.81,0.480,3.05,10:57:36.500
233.79,432.26E-03,48.47,49.995,,500E-03,101.06,88.68,0.480,3.06,10:57:36.600
233.84,431.70E-03,48.38,49.994,,500E-03,100.95,88.60,0.479,3.05,10:57:36.700
233.87,432.29E-03,48.45,49.994,,500E-03,101.10,88.73,0.479,3.05,10:57:36.800
233.85,432.34E-03,48.51,49.994,,500E-03,101.10,88.71,0.480,3.07,10:57:36.900
233.83,432.32E-03,48.56,49.995,,500E-03,101.09,88.67,0.480,3.07,10:57:37.000
233.85,432.64E-03,48.57,49.994,,500E-03,101.18,88.75,0.480,3.05,10:57:37.100
233.83,432.25E-03,48.45,49.993,,500E-03,101.07,88.70,0.479,3.05,10:57:37.200
233.84,431.94E-03,48.41,49.994,,500E-03,101.00,88.65,0.479,3.02,10:57:37.300
233.81,431.86E-03,48.39,49.996,,500E-03,100.97,88.62,0.479,3.05,10:57:37.400
