/mnt/7074c2b1-1019-46c1-8f80-17ce9246df26/PHD/torch-nilm#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100

#Actual Count,399         

URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
233.27,0.0063E-03,0.0003,50.005,,5E-03,0.0015,0.0014,0.219,3.21,10:47:52.000
233.23,0.0076E-03,0.0003,50.006,,5E-03,0.0018,0.0017,0.184,3.21,10:47:52.100
233.25,0.0063E-03,0.0003,50.006,,5E-03,0.0015,0.0014,0.214,3.25,10:47:52.200
233.33,0.0063E-03,0.0003,50.006,,5E-03,0.0015,0.0014,0.221,3.24,10:47:52.300
233.34,0.0064E-03,0.0003,50.005,,5E-03,0.0015,0.0014,0.223,3.24,10:47:52.400
233.30,0.0063E-03,0.0003,50.006,,5E-03,0.0015,0.0014,0.222,3.25,10:47:52.500
233.28,0.0073E-03,0.0003,50.005,,5E-03,0.0017,0.0017,0.184,3.25,10:47:52.600
233.25,inf,inf,50.004,,5E-03,inf,inf,inf,3.22,10:47:52.700
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,10:47:52.800
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,10:47:52.900
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,10:47:53.000
233.37,9.110E-03,0.4397,50.004,,20E-03,2.1259,2.0799,0.207,3.23,10:47:53.100
233.31,8.966E-03,0.4412,50.002,,20E-03,2.0917,2.0447,0.211,3.26,10:47:53.200
236.90,9.260E-03,0.4583,50.002,,20E-03,2.1938,2.1454,0.209,3.28,10:47:53.300
233.27,8.870E-03,0.4298,50.002,,20E-03,2.0692,2.0240,0.208,3.25,10:47:53.400
233.17,8.808E-03,0.4193,50.000,,20E-03,2.0539,2.0106,0.204,3.24,10:47:53.500
233.21,8.816E-03,0.4211,49.999,,20E-03,2.0559,2.0123,0.205,3.26,10:47:53.600
233.21,10.045E-03,0.5636,49.999,,20E-03,2.3426,2.2737,0.241,3.26,10:47:53.700
233.22,10.628E-03,0.6447,49.998,,20E-03,2.4787,2.3934,0.260,3.25,10:47:53.800
233.27,10.506E-03,0.6483,49.998,,20E-03,2.4506,2.3633,0.265,3.24,10:47:53.900
233.30,inf,inf,49.997,,20E-03,inf,inf,inf,3.23,10:47:54.000
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,10:47:54.100
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,10:47:54.200
