#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,1858        
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
233.94,9.197E-03,0.4781,50.013,,20E-03,2.1516,2.0978,0.222,3.31,10:51:04.000
233.92,9.087E-03,0.4654,50.011,,20E-03,2.1257,2.0741,0.219,3.33,10:51:04.100
233.94,9.274E-03,0.4493,50.012,,20E-03,2.1696,2.1226,0.207,3.33,10:51:04.200
233.93,8.982E-03,0.4484,50.013,,20E-03,2.1012,2.0528,0.213,3.36,10:51:04.300
233.93,9.032E-03,0.4527,50.013,,20E-03,2.1130,2.0639,0.214,3.36,10:51:04.400
233.94,9.111E-03,0.4704,50.012,,20E-03,2.1314,2.0789,0.221,3.36,10:51:04.500
233.91,9.204E-03,0.4826,50.012,,20E-03,2.1529,2.0981,0.224,3.36,10:51:04.600
233.93,9.195E-03,0.4838,50.012,,20E-03,2.1510,2.0958,0.225,3.35,10:51:04.700
233.96,9.165E-03,0.4813,50.011,,20E-03,2.1442,2.0895,0.224,3.34,10:51:04.800
233.90,9.067E-03,0.4588,50.012,,20E-03,2.1208,2.0705,0.216,3.32,10:51:04.900
233.87,8.959E-03,0.4498,50.011,,20E-03,2.0952,2.0464,0.215,3.32,10:51:05.000
233.90,8.992E-03,0.4517,50.010,,20E-03,2.1031,2.0540,0.215,3.31,10:51:05.100
233.91,9.014E-03,0.4553,50.009,,20E-03,2.1085,2.0588,0.216,3.30,10:51:05.200
233.89,9.304E-03,0.4908,50.007,,20E-03,2.1762,2.1201,0.226,3.31,10:51:05.300
233.86,12.172E-03,0.8692,50.008,,20E-03,2.8465,2.7106,0.305,3.32,10:51:05.400
233.84,12.489E-03,0.9071,50.008,,20E-03,2.9204,2.7759,0.311,3.32,10:51:05.500
233.83,12.577E-03,0.9152,50.007,,20E-03,2.9409,2.7948,0.311,3.33,10:51:05.600
233.84,inf,inf,50.007,,20E-03,inf,inf,inf,3.32,10:51:05.700
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,10:51:05.800
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,10:51:05.900
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,10:51:06.000
233.91,86.32E-03,16.752,50.005,,100E-03,20.191,11.273,0.830,3.31,10:51:06.100
234.35,87.98E-03,17.107,50.005,,100E-03,20.617,11.507,0.830,3.33,10:51:06.200
