#Device,HMC8015
#Device Name,
#Date,2018-07-17
#Logging Interval[s],0.100

#Actual Count,37970       

URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
232.76,7.895E-03,0.4234,50.009,,10E-03,1.8375,1.7881,0.230,3.67,20:37:49.000
232.74,7.894E-03,0.4233,50.005,,10E-03,1.8374,1.7880,0.230,3.71,20:37:49.100
232.79,7.897E-03,0.4235,50.004,,10E-03,1.8383,1.7889,0.230,3.70,20:37:49.200
232.74,7.893E-03,0.4232,50.002,,10E-03,1.8369,1.7875,0.230,3.66,20:37:49.300
232.72,7.893E-03,0.4232,50.005,,10E-03,1.8368,1.7874,0.230,3.67,20:37:49.400
232.72,7.891E-03,0.4232,50.002,,10E-03,1.8364,1.7870,0.230,3.64,20:37:49.500
232.75,7.893E-03,0.4234,50.006,,10E-03,1.8370,1.7876,0.230,3.66,20:37:49.600
232.75,7.893E-03,0.4234,50.003,,10E-03,1.8372,1.7878,0.230,3.65,20:37:49.700
232.76,7.895E-03,0.4234,50.003,,10E-03,1.8378,1.7883,0.230,3.67,20:37:49.800
232.73,7.890E-03,0.4233,50.002,,10E-03,1.8361,1.7867,0.231,3.62,20:37:49.900
232.69,7.888E-03,0.4231,50.004,,10E-03,1.8355,1.7861,0.231,3.61,20:37:50.000
232.70,7.890E-03,0.4231,50.003,,10E-03,1.8360,1.7866,0.230,3.62,20:37:50.100
232.70,7.890E-03,0.4231,50.007,,10E-03,1.8361,1.7867,0.230,3.62,20:37:50.200
232.71,7.888E-03,0.4232,50.005,,10E-03,1.8356,1.7862,0.231,3.59,20:37:50.300
232.68,7.896E-03,0.4230,50.005,,10E-03,1.8372,1.7879,0.230,3.59,20:37:50.400
232.67,7.890E-03,0.4230,50.005,,10E-03,1.8357,1.7863,0.230,3.65,20:37:50.500
232.63,7.888E-03,0.4228,50.006,,10E-03,1.8350,1.7857,0.230,3.60,20:37:50.600
232.54,7.885E-03,0.4224,50.008,,10E-03,1.8336,1.7843,0.230,3.62,20:37:50.700
232.52,7.885E-03,0.4224,50.008,,10E-03,1.8333,1.7840,0.230,3.61,20:37:50.800
232.50,7.885E-03,0.4223,50.008,,10E-03,1.8331,1.7838,0.230,3.63,20:37:50.900
232.55,7.887E-03,0.4226,50.007,,10E-03,1.8341,1.7847,0.230,3.63,20:37:51.000
232.57,7.887E-03,0.4227,50.011,,10E-03,1.8344,1.7850,0.230,3.62,20:37:51.100
232.57,7.887E-03,0.4226,50.008,,10E-03,1.8342,1.7848,0.230,3.62,20:37:51.200
232.64,7.889E-03,0.4229,50.012,,10E-03,1.8354,1.7860,0.230,3.64,20:37:51.300
232.60,7.887E-03,0.4227,50.010,,10E-03,1.8345,1.7851,0.230,3.61,20:37:51.400
