#Device,HMC8015
#Device Name,
#Date,2018-07-15
#Logging Interval[s],0.100
#Actual Count,298         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
228.08,18.832E-03,0.059,49.997,,50E-03,4.295,4.295,0.014,2.31,15:11:02.000
228.06,18.869E-03,0.059,49.995,,50E-03,4.303,4.303,0.014,2.30,15:11:02.100
228.06,18.824E-03,0.059,49.996,,50E-03,4.293,4.293,0.014,2.33,15:11:02.200
228.31,18.851E-03,0.059,49.997,,50E-03,4.304,4.303,0.014,2.32,15:11:02.300
228.86,18.841E-03,0.059,49.998,,50E-03,4.312,4.311,0.014,2.34,15:11:02.400
229.22,18.838E-03,0.060,49.996,,50E-03,4.318,4.318,0.014,2.30,15:11:02.500
229.19,18.810E-03,0.060,49.994,,50E-03,4.311,4.311,0.014,2.33,15:11:02.600
229.06,18.874E-03,0.060,49.993,,50E-03,4.323,4.323,0.014,2.30,15:11:02.700
229.09,18.845E-03,0.060,49.993,,50E-03,4.317,4.317,0.014,2.29,15:11:02.800
229.11,18.852E-03,0.060,49.991,,50E-03,4.319,4.319,0.014,2.29,15:11:02.900
229.09,18.794E-03,0.060,49.992,,50E-03,4.305,4.305,0.014,2.27,15:11:03.000
229.14,18.866E-03,0.060,49.993,,50E-03,4.323,4.322,0.014,2.32,15:11:03.100
229.13,18.841E-03,0.060,49.992,,50E-03,4.317,4.317,0.014,2.30,15:11:03.200
229.18,18.748E-03,0.060,49.990,,50E-03,4.297,4.296,0.014,2.32,15:11:03.300
229.16,18.671E-03,0.060,49.990,,50E-03,4.278,4.278,0.014,2.30,15:11:03.400
229.13,18.726E-03,0.060,49.990,,50E-03,4.291,4.290,0.014,2.32,15:11:03.500
229.15,18.826E-03,0.060,49.993,,50E-03,4.314,4.314,0.014,2.30,15:11:03.600
229.10,18.776E-03,0.060,49.993,,50E-03,4.302,4.301,0.014,2.30,15:11:03.700
