#Device,HMC8015
#Device Name,
#Date,2018-07-10
#Logging Interval[s],0.100
#Actual Count,892         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
230.32,398.80E-03,91.32,49.987,,500E-03,91.85,9.88,0.994,3.19,14:17:01.000
230.33,398.97E-03,91.36,49.986,,500E-03,91.89,9.91,0.994,3.18,14:17:01.100
230.32,398.98E-03,91.36,49.988,,500E-03,91.90,9.92,0.994,3.18,14:17:01.200
230.35,399.03E-03,91.38,49.989,,500E-03,91.92,9.91,0.994,3.19,14:17:01.300
230.39,399.09E-03,91.41,49.990,,500E-03,91.95,9.90,0.994,3.18,14:17:01.400
230.38,399.01E-03,91.39,49.991,,500E-03,91.92,9.91,0.994,3.18,14:17:01.500
230.41,399.04E-03,91.41,49.989,,500E-03,91.94,9.89,0.994,3.20,14:17:01.600
230.38,398.99E-03,91.39,49.988,,500E-03,91.92,9.89,0.994,3.19,14:17:01.700
230.39,399.02E-03,91.40,49.986,,500E-03,91.93,9.91,0.994,3.19,14:17:01.800
230.37,399.03E-03,91.39,49.985,,500E-03,91.92,9.92,0.994,3.19,14:17:01.900
230.36,399.06E-03,91.39,49.987,,500E-03,91.93,9.93,0.994,3.18,14:17:02.000
230.37,399.13E-03,91.41,49.988,,500E-03,91.95,9.95,0.994,3.21,14:17:02.100
230.38,399.18E-03,91.42,49.988,,500E-03,91.96,9.96,0.994,3.24,14:17:02.200
230.33,399.09E-03,91.38,49.988,,500E-03,91.92,9.96,0.994,3.19,14:17:02.300
230.34,399.13E-03,91.39,49.989,,500E-03,91.93,9.96,0.994,3.24,14:17:02.400
230.35,399.16E-03,91.41,49.989,,500E-03,91.95,9.95,0.994,3.21,14:17:02.500
230.37,399.13E-03,91.41,49.989,,500E-03,91.95,9.94,0.994,3.18,14:17:02.600
230.35,398.91E-03,91.35,49.990,,500E-03,91.89,9.91,0.994,3.24,14:17:02.700
230.32,398.74E-03,91.30,49.990,,500E-03,91.84,9.89,0.994,3.22,14:17:02.800
230.31,398.59E-03,91.27,49.990,,500E-03,91.80,9.86,0.994,3.23,14:17:02.900
230.31,398.48E-03,91.25,49.991,,500E-03,91.77,9.82,0.994,3.25,14:17:03.000
230.29,398.30E-03,91.20,49.990,,500E-03,91.72,9.78,0.994,3.21,14:17:03.100
230.36,398.30E-03,91.23,49.990,,500E-03,91.75,9.75,0.994,3.24,14:17:03.200
230.31,398.08E-03,91.16,49.989,,500E-03,91.68,9.72,0.994,3.23,14:17:03.300
