#Device,HMC8015
#Device Name,
#Date,2018-07-11
#Logging Interval[s],0.100
#Actual Count,45180       
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
232.79,0.0149E-03,-0.0001,50.017,,5E-03,0.0035,0.0035,0.041,3.41,13:58:49.000
232.83,0.0150E-03,-0.0002,50.017,,5E-03,0.0035,0.0035,0.045,3.40,13:58:49.100
232.81,0.0149E-03,-0.0002,50.020,,5E-03,0.0035,0.0035,0.044,3.41,13:58:49.200
232.83,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.041,3.42,13:58:49.300
232.77,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.041,3.39,13:58:49.400
232.67,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.043,3.38,13:58:49.500
232.64,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.37,13:58:49.600
232.68,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.042,3.40,13:58:49.700
232.74,0.0183E-03,-0.0001,50.021,,5E-03,0.0043,0.0043,0.035,3.36,13:58:49.800
232.66,0.0214E-03,-0.0001,50.022,,5E-03,0.0050,0.0050,0.029,3.38,13:58:49.900
232.78,0.0151E-03,-0.0001,50.023,,5E-03,0.0035,0.0035,0.037,3.36,13:58:50.000
232.76,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.042,3.37,13:58:50.100
232.74,0.0150E-03,-0.0002,50.021,,5E-03,0.0035,0.0035,0.044,3.38,13:58:50.200
232.72,0.0149E-03,-0.0002,50.021,,5E-03,0.0035,0.0035,0.043,3.36,13:58:50.300
232.70,0.0150E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.041,3.38,13:58:50.400
232.65,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.043,3.36,13:58:50.500
232.70,0.0149E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.041,3.42,13:58:50.600
232.73,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.40,13:58:50.700
232.73,0.0149E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.042,3.40,13:58:50.800
232.72,0.0150E-03,-0.0001,50.019,,5E-03,0.0035,0.0035,0.042,3.42,13:58:50.900
232.77,0.0149E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.042,3.37,13:58:51.000
232.70,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.041,3.41,13:58:51.100
232.70,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.041,3.39,13:58:51.200
232.66,0.0149E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.041,3.40,13:58:51.300
232.66,0.0150E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.040,3.40,13:58:51.400
232.66,0.0150E-03,-0.0002,50.020,,5E-03,0.0035,0.0035,0.044,3.40,13:58:51.500
232.66,0.0150E-03,-0.0002,50.020,,5E-03,0.0035,0.0035,0.044,3.39,13:58:51.600
232.68,0.0149E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.44,13:58:51.700
232.67,0.0149E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.040,3.38,13:58:51.800
232.66,0.0149E-03,-0.0002,50.021,,5E-03,0.0035,0.0035,0.044,3.41,13:58:51.900
232.72,0.0150E-03,-0.0001,50.019,,5E-03,0.0035,0.0035,0.040,3.38,13:58:52.000
232.75,0.0149E-03,-0.0001,50.017,,5E-03,0.0035,0.0035,0.041,3.38,13:58:52.100
232.74,0.0150E-03,-0.0002,50.019,,5E-03,0.0035,0.0035,0.044,3.36,13:58:52.200
232.73,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.040,3.38,13:58:52.300
232.76,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.41,13:58:52.400
232.74,0.0151E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.38,13:58:52.500
232.74,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.041,3.38,13:58:52.600
232.70,0.0150E-03,-0.0002,50.021,,5E-03,0.0035,0.0035,0.045,3.36,13:58:52.700
232.72,0.0149E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.39,13:58:52.800
232.69,0.0149E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.040,3.34,13:58:52.900
232.76,0.0149E-03,-0.0001,50.023,,5E-03,0.0035,0.0035,0.041,3.35,13:58:53.000
232.74,0.0150E-03,-0.0001,50.025,,5E-03,0.0035,0.0035,0.042,3.35,13:58:53.100
232.70,0.0150E-03,-0.0001,50.024,,5E-03,0.0035,0.0035,0.042,3.34,13:58:53.200
232.73,0.0150E-03,-0.0002,50.023,,5E-03,0.0035,0.0035,0.043,3.35,13:58:53.300
232.72,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.35,13:58:53.400
232.71,0.0150E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.038,3.34,13:58:53.500
232.69,0.0151E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.042,3.33,13:58:53.600
232.73,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.041,3.35,13:58:53.700
232.75,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.041,3.32,13:58:53.800
232.76,0.0150E-03,-0.0001,50.023,,5E-03,0.0035,0.0035,0.043,3.34,13:58:53.900
232.76,0.0150E-03,-0.0002,50.023,,5E-03,0.0035,0.0035,0.044,3.33,13:58:54.000
232.75,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.041,3.30,13:58:54.100
232.75,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.043,3.35,13:58:54.200
232.66,0.0149E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.043,3.31,13:58:54.300
232.73,0.0150E-03,-0.0001,50.023,,5E-03,0.0035,0.0035,0.042,3.31,13:58:54.400
232.74,0.0150E-03,-0.0001,50.025,,5E-03,0.0035,0.0035,0.041,3.35,13:58:54.500
232.74,0.0150E-03,-0.0001,50.023,,5E-03,0.0035,0.0035,0.042,3.33,13:58:54.600
232.74,0.0150E-03,-0.0001,50.024,,5E-03,0.0035,0.0035,0.041,3.32,13:58:54.700
232.76,0.0150E-03,-0.0001,50.024,,5E-03,0.0035,0.0035,0.042,3.34,13:58:54.800
232.75,0.0150E-03,-0.0001,50.024,,5E-03,0.0035,0.0035,0.039,3.33,13:58:54.900
232.74,0.0149E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.041,3.33,13:58:55.000
232.79,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.043,3.31,13:58:55.100
232.80,0.0150E-03,-0.0001,50.023,,5E-03,0.0035,0.0035,0.040,3.33,13:58:55.200
232.75,0.0150E-03,-0.0001,50.023,,5E-03,0.0035,0.0035,0.040,3.29,13:58:55.300
232.73,0.0150E-03,-0.0001,50.023,,5E-03,0.0035,0.0035,0.043,3.32,13:58:55.400
232.70,0.0150E-03,-0.0001,50.023,,5E-03,0.0035,0.0035,0.042,3.36,13:58:55.500
232.70,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.042,3.31,13:58:55.600
232.68,0.0149E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.33,13:58:55.700
232.73,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.043,3.37,13:58:55.800
232.75,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.042,3.33,13:58:55.900
232.75,0.0150E-03,-0.0001,50.024,,5E-03,0.0035,0.0035,0.043,3.32,13:58:56.000
232.79,0.0150E-03,-0.0001,50.024,,5E-03,0.0035,0.0035,0.042,3.35,13:58:56.100
232.73,0.0150E-03,-0.0002,50.021,,5E-03,0.0035,0.0035,0.043,3.34,13:58:56.200
232.75,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.34,13:58:56.300
232.69,0.0150E-03,-0.0001,50.019,,5E-03,0.0035,0.0035,0.042,3.36,13:58:56.400
232.67,0.0149E-03,-0.0001,50.018,,5E-03,0.0035,0.0035,0.041,3.33,13:58:56.500
232.63,0.0150E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.040,3.33,13:58:56.600
232.67,0.0149E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.038,3.33,13:58:56.700
232.63,0.0150E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.041,3.35,13:58:56.800
232.71,0.0149E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.040,3.37,13:58:56.900
232.66,0.0149E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.040,3.33,13:58:57.000
232.60,0.0149E-03,-0.0001,50.018,,5E-03,0.0035,0.0035,0.042,3.34,13:58:57.100
232.66,0.0149E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.037,3.37,13:58:57.200
232.66,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.040,3.38,13:58:57.300
232.64,0.0150E-03,-0.0001,50.024,,5E-03,0.0035,0.0035,0.042,3.35,13:58:57.400
232.62,0.0150E-03,-0.0002,50.023,,5E-03,0.0035,0.0035,0.043,3.35,13:58:57.500
232.68,0.0149E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.042,3.37,13:58:57.600
232.69,0.0149E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.041,3.37,13:58:57.700
232.63,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.36,13:58:57.800
232.68,0.0150E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.040,3.39,13:58:57.900
232.72,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.042,3.39,13:58:58.000
232.84,0.0150E-03,-0.0001,50.023,,5E-03,0.0035,0.0035,0.042,3.40,13:58:58.100
232.80,0.0150E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.041,3.36,13:58:58.200
232.78,0.0149E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.042,3.36,13:58:58.300
232.75,0.0150E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.042,3.39,13:58:58.400
232.71,0.0149E-03,-0.0001,50.019,,5E-03,0.0035,0.0035,0.041,3.39,13:58:58.500
232.71,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.39,13:58:58.600
232.70,0.0149E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.043,3.39,13:58:58.700
232.76,0.0149E-03,-0.0001,50.022,,5E-03,0.0035,0.0035,0.042,3.36,13:58:58.800
232.74,0.0150E-03,-0.0002,50.023,,5E-03,0.0035,0.0035,0.044,3.40,13:58:58.900
232.74,0.0150E-03,-0.0001,50.021,,5E-03,0.0035,0.0035,0.042,3.38,13:58:59.000
232.79,0.0150E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.041,3.36,13:58:59.100
232.74,0.0149E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.043,3.36,13:58:59.200
232.75,0.0149E-03,-0.0001,50.019,,5E-03,0.0035,0.0035,0.042,3.39,13:58:59.300
232.73,0.0149E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.042,3.39,13:58:59.400
232.77,0.0150E-03,-0.0002,50.022,,5E-03,0.0035,0.0035,0.043,3.40,13:58:59.500
232.74,0.0150E-03,-0.0001,50.020,,5E-03,0.0035,0.0035,0.039,3.37,13:58:59.600
232.72,0.0149E-03,-0.0001,50.019,,5E-03,0.0035,0.0035,0.041,3.37,13:58:59.700
232.79,0.0150E-03,-0.0001,50.019,,5E-03,0.0035,0.0035,0.041,3.38,13:58:59.800
232.76,0.0150E-03,-0.0001,50.018,,5E-03,0.0035,0.0035,0.043,3.41,13:58:59.900
232.84,0.0149E-03,-0.0001,50.018,,5E-03,0.0035,0.0035,0.041,3.38,13:59:00.000
232.81,0.0150E-03,-0.0001,50.018,,5E-03,0.0035,0.0035,0.041,3.35,13:59:00.100
232.74,0.0149E-03,-0.0001,50.017,,5E-03,0.0035,0.0035,0.041,3.37,13:59:00.200
232.69,0.0150E-03,-0.0001,50.016,,5E-03,0.0035,0.0035,0.040,3.38,13:59:00.300
232.66,0.0167E-03,-0.0001,50.015,,5E-03,0.0039,0.0039,0.036,3.42,13:59:01.000
232.71,0.0207E-03,-0.0001,50.014,,5E-03,0.0048,0.0048,0.031,3.44,13:59:01.100
232.75,0.0151E-03,-0.0002,50.015,,5E-03,0.0035,0.0035,0.043,3.44,13:59:01.200
232.77,0.0150E-03,-0.0002,50.016,,5E-03,0.0035,0.0035,0.043,3.40,13:59:01.300
232.70,0.0150E-03,-0.0001,50.014,,5E-03,0.0035,0.0035,0.043,3.41,13:59:01.400
232.70,0.0150E-03,-0.0001,50.015,,5E-03,0.0035,0.0035,0.040,3.41,13:59:01.500
232.73,0.0150E-03,-0.0001,50.014,,5E-03,0.0035,0.0035,0.040,3.40,13:59:01.600
232.69,0.0150E-03,-0.0001,50.015,,5E-03,0.0035,0.0035,0.042,3.42,13:59:01.700
232.68,0.0149E-03,-0.0001,50.016,,5E-03,0.0035,0.0035,0.042,3.43,13:59:01.800
232.68,0.0150E-03,-0.0001,50.016,,5E-03,0.0035,0.0035,0.042,3.41,13:59:01.900
232.77,0.0153E-03,-0.0002,50.017,,5E-03,0.0036,0.0036,0.044,3.43,13:59:02.000
232.79,0.0206E-03,-0.0001,50.019,,5E-03,0.0048,0.0048,0.031,3.42,13:59:02.100
232.77,0.0163E-03,-0.0001,50.019,,5E-03,0.0038,0.0038,0.037,3.42,13:59:02.200
232.78,0.0196E-03,-0.0001,50.018,,5E-03,0.0046,0.0046,0.033,3.41,13:59:02.300
232.73,0.0180E-03,-0.0001,50.018,,5E-03,0.0042,0.0042,0.034,3.43,13:59:02.400
232.67,0.0206E-03,-0.0001,50.017,,5E-03,0.0048,0.0048,0.030,3.41,13:59:02.500
232.66,0.0158E-03,-0.0001,50.018,,5E-03,0.0037,0.0037,0.038,3.39,13:59:02.600
