#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,229         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
231.89,132.50E-03,13.17,49.988,,500E-03,30.73,27.76,0.429,3.33,11:16:17.000
231.91,110.65E-03,10.63,49.988,,500E-03,25.66,23.36,0.414,3.32,11:16:17.100
231.86,117.58E-03,11.37,49.989,,500E-03,27.26,24.78,0.417,3.33,11:16:17.200
231.88,121.17E-03,11.84,49.990,,500E-03,28.10,25.48,0.422,3.34,11:16:17.300
231.88,129.22E-03,12.67,49.988,,500E-03,29.96,27.15,0.423,3.32,11:16:17.400
231.86,121.35E-03,11.83,49.985,,500E-03,28.14,25.53,0.420,3.38,11:16:17.500
231.85,126.08E-03,12.74,49.985,,500E-03,29.23,26.31,0.436,3.31,11:16:17.600
231.86,115.57E-03,11.28,49.985,,500E-03,26.80,24.31,0.421,3.37,11:16:17.700
231.85,118.05E-03,11.53,49.987,,500E-03,27.37,24.82,0.421,3.31,11:16:17.800
231.86,131.66E-03,12.93,49.989,,500E-03,30.53,27.65,0.424,3.35,11:16:17.900
231.84,175.24E-03,17.67,49.988,,500E-03,40.63,36.58,0.435,3.34,11:16:18.000
231.79,inf,inf,49.989,,500E-03,inf,inf,inf,3.36,11:16:18.100
nan,nan,nan,nan,,2,nan,nan,nan,nan,11:16:18.200
nan,nan,nan,nan,,2,nan,nan,nan,nan,11:16:18.300
nan,nan,nan,nan,,2,nan,nan,nan,nan,11:16:18.400
231.80,0.2567,28.77,49.989,,2,59.51,52.09,0.483,3.36,11:16:18.500
231.69,0.3890,43.26,49.989,,2,90.13,79.07,0.480,3.38,11:16:18.600
231.74,0.4155,46.11,49.988,,2,96.29,84.54,0.479,3.38,11:16:18.700
231.72,0.4203,46.46,49.992,,2,97.39,85.59,0.477,3.36,11:16:18.800
231.68,0.4019,44.47,49.991,,2,93.11,81.81,0.478,3.33,11:16:18.900
231.71,0.4007,44.44,49.991,,2,92.84,81.52,0.479,3.32,11:16:19.000
231.67,0.3974,44.27,49.991,,2,92.08,80.73,0.481,3.36,11:16:19.100
nan,nan,nan,nan,,1,nan,nan,nan,nan,11:16:19.200
nan,nan,nan,nan,,1,nan,nan,nan,nan,11:16:19.300
nan,nan,nan,nan,,1,nan,nan,nan,nan,11:16:19.400
231.72,0.2836,31.65,49.993,,1,65.71,57.58,0.482,3.31,11:16:19.500
231.71,0.2609,28.80,49.993,,1,60.46,53.16,0.476,3.37,11:16:19.600
231.72,0.2721,29.76,49.993,,1,63.05,55.58,0.472,3.33,11:16:19.700
231.68,0.3072,34.43,49.989,,1,71.16,62.28,0.484,3.32,11:16:19.800
231.67,0.2668,29.43,49.989,,1,61.82,54.37,0.476,3.32,11:16:19.900
231.75,0.2092,22.79,49.990,,1,48.48,42.79,0.470,3.30,11:16:20.000
231.69,0.3225,36.07,49.989,,1,74.72,65.44,0.483,3.37,11:16:20.100
231.64,0.4087,45.06,49.988,,1,94.68,83.26,0.476,3.36,11:16:20.200
231.70,0.3036,33.05,49.988,,1,70.35,62.10,0.470,3.37,11:16:20.300
231.72,0.2270,24.24,49.988,,1,52.60,46.68,0.461,3.33,11:16:20.400
231.71,0.2482,27.32,49.990,,1,57.50,50.60,0.475,3.38,11:16:20.500
231.72,0.2308,24.95,49.990,,1,53.47,47.30,0.467,3.36,11:16:20.600
