#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,210         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
232.32,8.993E-03,0.236,50.008,,50E-03,2.089,2.076,0.113,3.23,11:17:13.000
232.33,8.979E-03,0.243,50.005,,50E-03,2.086,2.072,0.116,3.18,11:17:13.100
232.30,8.815E-03,0.213,50.004,,50E-03,2.048,2.036,0.104,3.24,11:17:13.200
232.27,8.784E-03,0.200,50.004,,50E-03,2.040,2.030,0.098,3.23,11:17:13.300
232.27,8.845E-03,0.211,50.005,,50E-03,2.054,2.044,0.102,3.24,11:17:13.400
232.28,9.184E-03,0.261,50.005,,50E-03,2.133,2.117,0.122,3.23,11:17:13.500
232.28,9.931E-03,0.380,50.002,,50E-03,2.307,2.275,0.165,3.26,11:17:13.600
232.29,11.056E-03,0.492,50.002,,50E-03,2.568,2.521,0.192,3.21,11:17:13.700
232.28,12.876E-03,0.687,50.002,,50E-03,2.991,2.911,0.230,3.23,11:17:13.800
232.28,12.698E-03,0.663,50.001,,50E-03,2.950,2.874,0.225,3.21,11:17:13.900
232.26,inf,inf,50.001,,50E-03,inf,inf,inf,3.21,11:17:14.000
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,11:17:14.100
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,11:17:14.200
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,11:17:14.300
232.15,inf,inf,50.000,,200E-03,inf,inf,inf,3.24,11:17:14.400
nan,nan,nan,nan,,1,nan,nan,nan,nan,11:17:14.500
nan,nan,nan,nan,,1,nan,nan,nan,nan,11:17:14.600
nan,nan,nan,nan,,1,nan,nan,nan,nan,11:17:14.700
232.11,0.2577,28.88,50.002,,1,59.82,52.39,0.483,3.24,11:17:14.800
232.13,0.2710,30.56,50.002,,1,62.92,54.99,0.486,3.25,11:17:14.900
232.11,0.2697,30.17,50.001,,1,62.61,54.86,0.482,3.23,11:17:15.000
232.16,0.2697,30.03,50.004,,1,62.61,54.93,0.480,3.26,11:17:15.100
232.13,0.2588,28.99,50.003,,1,60.06,52.61,0.483,3.24,11:17:15.200
232.13,0.2501,28.01,50.003,,1,58.06,50.86,0.482,3.26,11:17:15.300
232.09,0.2492,27.91,50.003,,1,57.85,50.67,0.483,3.21,11:17:15.400
232.07,0.2538,28.34,50.004,,1,58.91,51.64,0.481,3.28,11:17:15.500
232.08,0.2576,29.17,50.002,,1,59.78,52.17,0.488,3.25,11:17:15.600
232.07,0.2474,27.90,50.002,,1,57.42,50.18,0.486,3.26,11:17:15.700
232.12,0.2570,29.02,50.000,,1,59.66,52.12,0.486,3.23,11:17:15.800
232.12,0.2645,29.44,50.000,,1,61.40,53.89,0.479,3.27,11:17:15.900
232.19,0.2635,29.51,50.001,,1,61.18,53.59,0.482,3.25,11:17:16.000
232.20,0.2511,28.64,50.001,,1,58.29,50.78,0.491,3.23,11:17:16.100
232.20,0.2629,29.71,50.000,,1,61.04,53.32,0.487,3.20,11:17:16.200
232.25,0.2697,30.57,50.001,,1,62.63,54.66,0.488,3.23,11:17:16.300
232.27,0.2698,30.47,50.002,,1,62.66,54.75,0.486,3.23,11:17:16.400
232.29,0.2721,30.68,49.999,,1,63.21,55.27,0.485,3.22,11:17:16.500
232.30,0.2681,30.42,50.000,,1,62.27,54.34,0.488,3.24,11:17:16.600
232.30,0.2689,30.47,50.002,,1,62.46,54.52,0.488,3.27,11:17:16.700
232.27,0.3520,39.00,50.001,,1,81.75,71.85,0.477,3.23,11:17:16.800
232.25,0.3935,43.78,50.001,,1,91.40,80.23,0.479,3.24,11:17:16.900
232.25,0.3960,43.89,50.001,,1,91.96,80.81,0.477,3.24,11:17:17.000
232.22,0.3969,44.03,50.001,,1,92.18,80.98,0.478,3.24,11:17:17.100
232.21,0.3928,44.06,50.001,,1,91.22,79.87,0.483,3.20,11:17:17.200
232.25,0.3973,44.26,50.004,,1,92.28,80.97,0.480,3.22,11:17:17.300
232.19,0.3979,44.24,50.002,,1,92.38,81.10,0.479,3.22,11:17:17.400
232.24,0.3957,44.12,50.004,,1,91.90,80.61,0.480,3.25,11:17:17.500
