#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,1374        
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
231.52,301.38E-03,62.41,49.966,,500E-03,69.77,31.20,0.894,3.22,11:19:57.000
231.61,300.89E-03,62.33,49.967,,500E-03,69.69,31.17,0.894,3.14,11:19:57.100
231.58,305.85E-03,63.29,49.968,,500E-03,70.83,31.79,0.894,3.23,11:19:57.200
231.60,304.37E-03,63.09,49.970,,500E-03,70.49,31.45,0.895,3.21,11:19:57.300
231.56,316.36E-03,65.69,49.973,,500E-03,73.26,32.42,0.897,3.22,11:19:57.400
231.48,323.64E-03,67.24,49.971,,500E-03,74.92,33.04,0.897,3.19,11:19:57.500
231.43,303.03E-03,62.77,49.973,,500E-03,70.13,31.28,0.895,3.14,11:19:57.600
231.50,306.02E-03,63.47,49.973,,500E-03,70.84,31.48,0.896,3.19,11:19:57.700
231.62,302.29E-03,62.64,49.976,,500E-03,70.01,31.28,0.895,3.21,11:19:57.800
231.62,312.47E-03,64.87,49.976,,500E-03,72.38,32.10,0.896,3.22,11:19:57.900
231.60,300.23E-03,62.19,49.977,,500E-03,69.53,31.10,0.894,3.25,11:19:58.000
231.54,301.82E-03,62.51,49.978,,500E-03,69.88,31.25,0.894,3.18,11:19:58.100
231.57,307.67E-03,63.83,49.977,,500E-03,71.25,31.64,0.896,3.19,11:19:58.200
231.57,302.31E-03,62.63,49.978,,500E-03,70.00,31.27,0.895,3.20,11:19:58.300
231.51,302.81E-03,62.77,49.977,,500E-03,70.10,31.22,0.895,3.18,11:19:58.400
231.44,310.78E-03,64.46,49.977,,500E-03,71.93,31.92,0.896,3.21,11:19:58.500
231.47,307.42E-03,63.74,49.978,,500E-03,71.16,31.65,0.896,3.23,11:19:58.600
231.56,303.93E-03,62.99,49.975,,500E-03,70.38,31.39,0.895,3.16,11:19:58.700
231.61,309.74E-03,64.28,49.975,,500E-03,71.74,31.86,0.896,3.23,11:19:58.800
231.64,312.28E-03,64.84,49.976,,500E-03,72.34,32.07,0.896,3.19,11:19:58.900
231.64,305.16E-03,63.28,49.975,,500E-03,70.69,31.50,0.895,3.17,11:19:59.000
231.66,305.54E-03,63.39,49.977,,500E-03,70.78,31.50,0.896,3.23,11:19:59.100
231.66,301.85E-03,62.56,49.977,,500E-03,69.93,31.25,0.895,3.19,11:19:59.200
