#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,399         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
nan,nan,nan,nan,,2,nan,nan,nan,nan,11:18:22.000
nan,nan,nan,nan,,2,nan,nan,nan,nan,11:18:22.100
232.78,0.3093,34.06,49.994,,2,72.00,63.44,0.473,3.15,11:18:22.200
232.79,0.3678,40.24,49.995,,2,85.63,75.58,0.470,3.11,11:18:22.300
232.74,0.4270,46.89,49.995,,2,99.37,87.61,0.472,3.11,11:18:22.400
232.77,0.3600,39.74,49.994,,2,83.80,73.78,0.474,3.16,11:18:22.500
232.80,0.2827,30.37,49.994,,2,65.82,58.40,0.461,3.15,11:18:22.600
232.81,0.2107,22.30,49.994,,2,49.04,43.68,0.455,3.13,11:18:22.700
232.80,0.1629,16.62,49.994,,2,37.93,34.09,0.438,3.13,11:18:22.800
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,11:18:22.900
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,11:18:23.000
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,11:18:23.100
232.84,205.25E-03,22.29,49.996,,500E-03,47.79,42.28,0.466,3.15,11:18:23.200
232.83,217.42E-03,23.05,49.996,,500E-03,50.62,45.07,0.455,3.14,11:18:23.300
232.79,inf,inf,49.997,,500E-03,inf,inf,inf,3.13,11:18:23.400
nan,nan,nan,nan,,2,nan,nan,nan,nan,11:18:23.500
nan,nan,nan,nan,,2,nan,nan,nan,nan,11:18:23.600
nan,nan,nan,nan,,2,nan,nan,nan,nan,11:18:23.700
232.79,0.4079,44.71,49.998,,2,94.95,83.77,0.471,3.16,11:18:23.800
232.76,0.4081,45.04,50.002,,2,94.99,83.63,0.474,3.15,11:18:23.900
232.61,0.2843,31.11,49.999,,2,66.13,58.36,0.470,3.14,11:18:24.000
232.82,0.3086,33.92,50.000,,2,71.85,63.34,0.472,3.12,11:18:24.100
232.87,0.2058,21.22,50.000,,2,47.92,42.97,0.443,3.16,11:18:24.200
232.93,0.2096,21.64,49.999,,2,48.83,43.77,0.443,3.13,11:18:24.300
232.96,0.1992,20.58,49.999,,2,46.40,41.59,0.444,3.12,11:18:24.400
nan,nan,nan,nan,,1,nan,nan,nan,nan,11:18:24.500
nan,nan,nan,nan,,1,nan,nan,nan,nan,11:18:24.600
nan,nan,nan,nan,,1,nan,nan,nan,nan,11:18:24.700
232.81,0.2614,28.82,49.999,,1,60.85,53.60,0.474,3.13,11:18:24.800
232.89,0.1686,17.68,49.996,,1,39.27,35.06,0.450,3.12,11:18:24.900
232.91,0.2408,25.70,49.999,,1,56.09,49.85,0.458,3.13,11:18:25.000
232.92,0.1739,17.73,49.999,,1,40.50,36.41,0.438,3.10,11:18:25.100
232.97,0.2177,22.37,49.998,,1,50.72,45.52,0.441,3.15,11:18:25.200
232.92,0.2814,31.08,50.000,,1,65.55,57.71,0.474,3.15,11:18:25.300
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,11:18:25.400
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,11:18:25.500
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,11:18:25.600
232.93,225.48E-03,23.84,50.001,,500E-03,52.52,46.80,0.454,3.14,11:18:25.700
232.98,218.44E-03,23.54,50.000,,500E-03,50.89,45.12,0.462,3.14,11:18:25.800
232.98,211.51E-03,22.67,50.002,,500E-03,49.28,43.75,0.460,3.12,11:18:25.900
232.91,212.92E-03,22.34,49.998,,500E-03,49.59,44.28,0.450,3.13,11:18:26.000
232.90,275.31E-03,29.77,49.999,,500E-03,64.12,56.79,0.464,3.11,11:18:26.100
232.92,206.68E-03,21.54,50.000,,500E-03,48.14,43.05,0.447,3.12,11:18:26.200
232.93,206.01E-03,21.95,49.999,,500E-03,47.99,42.67,0.457,3.16,11:18:26.300
232.96,219.32E-03,23.35,49.998,,500E-03,51.09,45.45,0.457,3.11,11:18:26.400
232.98,217.89E-03,22.89,49.998,,500E-03,50.77,45.31,0.451,3.16,11:18:26.500
232.95,244.81E-03,26.30,49.999,,500E-03,57.03,50.60,0.461,3.14,11:18:26.600
232.99,214.57E-03,22.96,50.000,,500E-03,49.99,44.41,0.459,3.12,11:18:26.700
232.97,198.69E-03,21.15,50.001,,500E-03,46.29,41.17,0.457,3.17,11:18:26.800
232.94,205.73E-03,21.42,50.001,,500E-03,47.92,42.87,0.447,3.12,11:18:26.900
