#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,580         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
nan,nan,nan,nan,,20,nan,nan,nan,nan,10:10:15.000
223.96,8.147,1.8247E+03,50.036,,20,1.8247E+03,0.0108E+03,1.000,3.63,10:10:15.100
223.90,8.128,1.8198E+03,50.037,,20,1.8199E+03,0.0118E+03,1.000,3.64,10:10:15.200
226.71,8.224,1.8644E+03,50.036,,20,1.8644E+03,0.0103E+03,1.000,3.68,10:10:15.300
223.89,8.113,1.8164E+03,50.033,,20,1.8164E+03,0.0126E+03,1.000,3.62,10:10:15.400
223.89,8.097,1.8129E+03,50.032,,20,1.8130E+03,0.0131E+03,1.000,3.62,10:10:15.500
223.67,8.083,1.8079E+03,50.031,,20,1.8080E+03,0.0133E+03,1.000,3.61,10:10:15.600
nan,nan,nan,nan,,10,nan,nan,nan,nan,10:10:15.700
nan,nan,nan,nan,,10,nan,nan,nan,nan,10:10:15.800
nan,nan,nan,nan,,10,nan,nan,nan,nan,10:10:15.900
223.94,8.073,1.8078E+03,50.033,,10,1.8079E+03,0.0137E+03,1.000,3.65,10:10:16.000
223.98,8.071,1.8078E+03,50.033,,10,1.8079E+03,0.0136E+03,1.000,3.66,10:10:16.100
223.96,8.070,1.8074E+03,50.032,,10,1.8074E+03,0.0136E+03,1.000,3.70,10:10:16.200
223.85,8.062,1.8046E+03,50.031,,10,1.8046E+03,0.0136E+03,1.000,3.65,10:10:16.300
223.60,8.050,1.7999E+03,50.035,,10,1.8000E+03,0.0136E+03,1.000,3.64,10:10:16.400
223.68,8.051,1.8008E+03,50.036,,10,1.8008E+03,0.0136E+03,1.000,3.65,10:10:16.500
223.72,8.051,1.8011E+03,50.036,,10,1.8011E+03,0.0136E+03,1.000,3.68,10:10:16.600
223.95,8.056,1.8040E+03,50.036,,10,1.8041E+03,0.0136E+03,1.000,3.66,10:10:16.700
223.99,8.056,1.8044E+03,50.036,,10,1.8045E+03,0.0136E+03,1.000,3.65,10:10:16.800
