#Device,HMC8015
#Device Name,
#Date,2018-07-10
#Logging Interval[s],0.100
#Actual Count,345         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
230.65,3.8297E-03,0.7384,50.012,,5E-03,0.8833,0.4847,0.836,3.18,14:30:58.000
230.72,3.8311E-03,0.7389,50.011,,5E-03,0.8839,0.4850,0.836,3.17,14:30:58.100
230.67,3.8307E-03,0.7387,50.011,,5E-03,0.8836,0.4849,0.836,3.20,14:30:58.200
230.77,3.8326E-03,0.7394,50.012,,5E-03,0.8844,0.4853,0.836,3.20,14:30:58.300
230.70,inf,inf,50.012,,5E-03,inf,inf,inf,3.18,14:30:58.400
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,14:30:58.500
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,14:30:58.600
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,14:30:58.700
230.60,inf,inf,50.013,,20E-03,inf,inf,inf,3.22,14:30:58.800
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,14:30:58.900
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,14:30:59.000
nan,nan,nan,nan,,20,nan,nan,nan,nan,14:30:59.100
nan,nan,nan,nan,,20,nan,nan,nan,nan,14:30:59.200
nan,nan,nan,nan,,20,nan,nan,nan,nan,14:30:59.300
226.96,3.694,0.8331E+03,50.016,,20,0.8384E+03,0.0943E+03,0.994,3.17,14:30:59.400
226.81,3.866,0.8715E+03,50.017,,20,0.8768E+03,0.0967E+03,0.994,3.21,14:30:59.500
226.73,3.970,0.8947E+03,50.016,,20,0.9001E+03,0.0983E+03,0.994,3.18,14:30:59.600
224.25,6.387,1.4184E+03,50.016,,20,1.4323E+03,0.1993E+03,0.990,3.18,14:30:59.700
223.71,6.878,1.5296E+03,50.016,,20,1.5387E+03,0.1669E+03,0.994,3.19,14:30:59.800
223.50,7.091,1.5758E+03,50.016,,20,1.5849E+03,0.1697E+03,0.994,3.20,14:30:59.900
nan,nan,nan,nan,,10,nan,nan,nan,nan,14:31:00.000
nan,nan,nan,nan,,10,nan,nan,nan,nan,14:31:00.100
nan,nan,nan,nan,,10,nan,nan,nan,nan,14:31:00.200
222.50,8.270,1.8309E+03,50.017,,10,1.8400E+03,0.1834E+03,0.995,3.20,14:31:00.300
222.20,8.522,1.8844E+03,50.017,,10,1.8936E+03,0.1861E+03,0.995,3.20,14:31:00.400
222.03,8.621,1.9050E+03,50.022,,10,1.9141E+03,0.1871E+03,0.995,3.24,14:31:00.500
221.66,8.945,1.9735E+03,50.023,,10,1.9828E+03,0.1909E+03,0.995,3.24,14:31:00.600
221.40,9.134,2.0131E+03,50.024,,10,2.0223E+03,0.1927E+03,0.995,3.25,14:31:00.700
221.20,9.316,2.0514E+03,50.023,,10,2.0606E+03,0.1946E+03,0.996,3.25,14:31:00.800
221.04,9.480,2.0861E+03,50.024,,10,2.0953E+03,0.1964E+03,0.996,3.23,14:31:00.900
220.70,9.701,2.1317E+03,50.025,,10,2.1410E+03,0.1992E+03,0.996,3.18,14:31:01.000
220.39,9.772,2.1443E+03,50.025,,10,2.1536E+03,0.2004E+03,0.996,3.25,14:31:01.100
220.34,9.868,2.1650E+03,50.024,,10,2.1744E+03,0.2021E+03,0.996,3.26,14:31:01.200
220.15,9.957,2.1826E+03,50.023,,10,2.1921E+03,0.2035E+03,0.996,3.28,14:31:01.300
220.12,10.142,2.2229E+03,50.023,,10,2.2325E+03,0.2065E+03,0.996,3.32,14:31:01.400
220.06,10.219,2.2392E+03,50.018,,10,2.2488E+03,0.2081E+03,0.996,3.32,14:31:01.500
220.08,10.288,2.2545E+03,50.018,,10,2.2642E+03,0.2094E+03,0.996,3.30,14:31:01.600
219.96,10.339,2.2643E+03,50.017,,10,2.2741E+03,0.2103E+03,0.996,3.25,14:31:01.700
219.77,10.418,2.2797E+03,50.018,,10,2.2895E+03,0.2116E+03,0.996,3.28,14:31:01.800
219.80,10.465,2.2903E+03,50.018,,10,2.3001E+03,0.2125E+03,0.996,3.27,14:31:01.900
219.86,10.513,2.3015E+03,50.019,,10,2.3114E+03,0.2137E+03,0.996,3.22,14:31:02.000
219.95,10.605,2.3227E+03,50.020,,10,2.3326E+03,0.2153E+03,0.996,3.31,14:31:02.100
219.92,10.645,2.3311E+03,50.019,,10,2.3411E+03,0.2161E+03,0.996,3.26,14:31:02.200
