#Device,HMC8015
#Device Name,
#Date,2018-07-10
#Logging Interval[s],0.100
#Actual Count,396         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
225.44,4.904,1.0976E+03,50.001,,10,1.1056E+03,0.1330E+03,0.993,3.23,14:21:57.000
225.46,4.904,1.0977E+03,50.000,,10,1.1057E+03,0.1330E+03,0.993,3.24,14:21:57.100
225.48,4.904,1.0978E+03,50.000,,10,1.1058E+03,0.1331E+03,0.993,3.22,14:21:57.200
225.48,4.904,1.0978E+03,50.000,,10,1.1058E+03,0.1330E+03,0.993,3.24,14:21:57.300
225.50,4.904,1.0979E+03,50.000,,10,1.1059E+03,0.1331E+03,0.993,3.24,14:21:57.400
225.50,4.904,1.0978E+03,50.000,,10,1.1058E+03,0.1332E+03,0.993,3.26,14:21:57.500
225.50,4.904,1.0979E+03,50.001,,10,1.1059E+03,0.1330E+03,0.993,3.27,14:21:57.600
225.50,4.904,1.0977E+03,50.000,,10,1.1057E+03,0.1331E+03,0.993,3.26,14:21:57.700
225.51,4.904,1.0978E+03,50.001,,10,1.1058E+03,0.1331E+03,0.993,3.24,14:21:57.800
225.52,4.904,1.0979E+03,50.001,,10,1.1059E+03,0.1331E+03,0.993,3.23,14:21:57.900
225.46,4.902,1.0972E+03,50.002,,10,1.1053E+03,0.1331E+03,0.993,3.22,14:21:58.000
225.47,4.904,1.0977E+03,50.002,,10,1.1057E+03,0.1330E+03,0.993,3.23,14:21:58.100
225.49,4.904,1.0976E+03,50.001,,10,1.1057E+03,0.1330E+03,0.993,3.23,14:21:58.200
225.47,4.903,1.0975E+03,50.002,,10,1.1055E+03,0.1330E+03,0.993,3.22,14:21:58.300
225.45,4.902,1.0972E+03,50.002,,10,1.1052E+03,0.1330E+03,0.993,3.23,14:21:58.400
225.47,4.903,1.0975E+03,50.003,,10,1.1055E+03,0.1330E+03,0.993,3.22,14:21:58.500
225.42,4.901,1.0968E+03,50.003,,10,1.1048E+03,0.1329E+03,0.993,3.23,14:21:58.600
225.44,4.903,1.0973E+03,50.003,,10,1.1053E+03,0.1329E+03,0.993,3.24,14:21:58.700
225.46,4.904,1.0976E+03,50.001,,10,1.1057E+03,0.1331E+03,0.993,3.24,14:21:58.800
225.45,4.904,1.0976E+03,50.000,,10,1.1056E+03,0.1330E+03,0.993,3.23,14:21:58.900
225.46,4.903,1.0975E+03,50.000,,10,1.1055E+03,0.1330E+03,0.993,3.23,14:21:59.000
225.45,4.904,1.0976E+03,50.001,,10,1.1056E+03,0.1330E+03,0.993,3.24,14:21:59.100
225.44,4.902,1.0972E+03,50.000,,10,1.1052E+03,0.1330E+03,0.993,3.23,14:21:59.200
225.47,4.904,1.0976E+03,49.999,,10,1.1057E+03,0.1331E+03,0.993,3.23,14:21:59.300
225.48,4.905,1.0978E+03,50.000,,10,1.1059E+03,0.1332E+03,0.993,3.25,14:21:59.400
225.46,4.903,1.0974E+03,49.998,,10,1.1055E+03,0.1331E+03,0.993,3.24,14:21:59.500
225.49,4.905,1.0980E+03,49.999,,10,1.1060E+03,0.1332E+03,0.993,3.24,14:21:59.600
225.46,4.905,1.0979E+03,50.000,,10,1.1059E+03,0.1331E+03,0.993,3.26,14:21:59.700
225.45,4.905,1.0978E+03,50.001,,10,1.1059E+03,0.1332E+03,0.993,3.25,14:21:59.800
225.46,4.905,1.0980E+03,50.001,,10,1.1060E+03,0.1331E+03,0.993,3.28,14:21:59.900
225.43,4.904,1.0975E+03,50.000,,10,1.1055E+03,0.1331E+03,0.993,3.28,14:22:00.000
225.43,4.904,1.0975E+03,50.001,,10,1.1055E+03,0.1330E+03,0.993,3.27,14:22:00.100
225.44,4.906,1.0979E+03,50.002,,10,1.1059E+03,0.1329E+03,0.993,3.26,14:22:00.200
225.45,4.905,1.0978E+03,50.003,,10,1.1058E+03,0.1330E+03,0.993,3.25,14:22:00.300
225.44,4.904,1.0975E+03,50.001,,10,1.1056E+03,0.1330E+03,0.993,3.25,14:22:00.400
225.49,4.905,1.0980E+03,50.001,,10,1.1060E+03,0.1330E+03,0.993,3.25,14:22:00.500
225.46,4.905,1.0978E+03,50.000,,10,1.1059E+03,0.1329E+03,0.993,3.26,14:22:00.600
225.48,4.904,1.0978E+03,49.999,,10,1.1058E+03,0.1330E+03,0.993,3.26,14:22:00.700
225.50,4.905,1.0980E+03,49.999,,10,1.1061E+03,0.1331E+03,0.993,3.25,14:22:00.800
225.53,4.905,1.0982E+03,49.999,,10,1.1062E+03,0.1332E+03,0.993,3.25,14:22:00.900
225.53,4.906,1.0983E+03,49.999,,10,1.1064E+03,0.1333E+03,0.993,3.23,14:22:01.000
225.54,4.905,1.0982E+03,49.997,,10,1.1063E+03,0.1332E+03,0.993,3.23,14:22:01.100
225.52,4.903,1.0977E+03,49.996,,10,1.1057E+03,0.1332E+03,0.993,3.23,14:22:01.200
225.53,4.903,1.0978E+03,49.996,,10,1.1059E+03,0.1332E+03,0.993,3.25,14:22:01.300
225.55,4.904,1.0981E+03,49.997,,10,1.1061E+03,0.1333E+03,0.993,3.24,14:22:01.400
225.55,4.904,1.0980E+03,49.996,,10,1.1061E+03,0.1332E+03,0.993,3.24,14:22:01.500
225.54,4.905,1.0982E+03,49.996,,10,1.1063E+03,0.1332E+03,0.993,3.23,14:22:01.600
225.52,4.904,1.0980E+03,49.997,,10,1.1060E+03,0.1331E+03,0.993,3.22,14:22:01.700
225.49,4.903,1.0976E+03,49.997,,10,1.1056E+03,0.1331E+03,0.993,3.22,14:22:01.800
225.46,4.902,1.0972E+03,49.996,,10,1.1053E+03,0.1330E+03,0.993,3.24,14:22:01.900
225.50,4.904,1.0977E+03,49.996,,10,1.1058E+03,0.1330E+03,0.993,3.24,14:22:02.000
225.54,4.905,1.0982E+03,49.997,,10,1.1063E+03,0.1331E+03,0.993,3.22,14:22:02.100
225.54,4.904,1.0980E+03,49.997,,10,1.1060E+03,0.1331E+03,0.993,3.22,14:22:02.200
225.52,4.903,1.0976E+03,49.997,,10,1.1056E+03,0.1331E+03,0.993,3.25,14:22:02.300
225.53,4.903,1.0978E+03,49.996,,10,1.1059E+03,0.1332E+03,0.993,3.25,14:22:02.400
225.52,4.903,1.0976E+03,49.996,,10,1.1056E+03,0.1331E+03,0.993,3.24,14:22:02.500
225.50,4.903,1.0975E+03,49.995,,10,1.1056E+03,0.1332E+03,0.993,3.28,14:22:02.600
225.46,4.901,1.0970E+03,49.994,,10,1.1050E+03,0.1332E+03,0.993,3.20,14:22:02.700
225.45,4.903,1.0974E+03,49.994,,10,1.1055E+03,0.1331E+03,0.993,3.25,14:22:02.800
225.48,4.904,1.0977E+03,49.994,,10,1.1058E+03,0.1331E+03,0.993,3.22,14:22:02.900
225.49,4.903,1.0976E+03,49.994,,10,1.1056E+03,0.1331E+03,0.993,3.21,14:22:03.000
225.48,4.902,1.0974E+03,49.993,,10,1.1054E+03,0.1330E+03,0.993,3.20,14:22:03.100
225.49,4.903,1.0976E+03,49.994,,10,1.1056E+03,0.1331E+03,0.993,3.21,14:22:03.200
225.51,4.903,1.0977E+03,49.993,,10,1.1057E+03,0.1331E+03,0.993,3.22,14:22:03.300
225.52,4.904,1.0979E+03,49.993,,10,1.1059E+03,0.1331E+03,0.993,3.21,14:22:03.400
225.53,4.904,1.0980E+03,49.993,,10,1.1060E+03,0.1332E+03,0.993,3.23,14:22:03.500
225.55,4.903,1.0979E+03,49.993,,10,1.1059E+03,0.1331E+03,0.993,3.21,14:22:03.600
225.54,4.903,1.0978E+03,49.993,,10,1.1059E+03,0.1331E+03,0.993,3.22,14:22:03.700
225.54,4.903,1.0977E+03,49.993,,10,1.1057E+03,0.1331E+03,0.993,3.23,14:22:03.800
225.52,4.902,1.0975E+03,49.991,,10,1.1056E+03,0.1330E+03,0.993,3.23,14:22:03.900
225.52,4.902,1.0975E+03,49.992,,10,1.1056E+03,0.1330E+03,0.993,3.22,14:22:04.000
225.50,4.902,1.0972E+03,49.992,,10,1.1053E+03,0.1330E+03,0.993,3.23,14:22:04.100
225.49,4.902,1.0973E+03,49.991,,10,1.1053E+03,0.1329E+03,0.993,3.25,14:22:04.200
225.51,4.902,1.0974E+03,49.991,,10,1.1055E+03,0.1330E+03,0.993,3.24,14:22:04.300
