#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,596         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
227.94,5.612,0.8876E+03,50.001,,20,1.2791E+03,0.9210E+03,0.694,3.78,10:25:06.000
227.80,5.601,0.8855E+03,50.000,,20,1.2760E+03,0.9187E+03,0.694,3.78,10:25:06.100
227.84,5.594,0.8844E+03,50.000,,20,1.2746E+03,0.9178E+03,0.694,3.78,10:25:06.200
227.90,5.592,0.8843E+03,49.999,,20,1.2745E+03,0.9178E+03,0.694,3.78,10:25:06.300
227.95,5.588,0.8839E+03,49.999,,20,1.2738E+03,0.9172E+03,0.694,3.81,10:25:06.400
nan,nan,nan,nan,,10,nan,nan,nan,nan,10:25:06.500
nan,nan,nan,nan,,10,nan,nan,nan,nan,10:25:06.600
nan,nan,nan,nan,,10,nan,nan,nan,nan,10:25:06.700
227.96,5.572,0.8816E+03,49.998,,10,1.2702E+03,0.9145E+03,0.694,3.78,10:25:06.800
227.88,5.569,0.8808E+03,49.997,,10,1.2691E+03,0.9136E+03,0.694,3.75,10:25:06.900
230.98,5.312,0.8017E+03,49.997,,10,1.2271E+03,0.9290E+03,0.653,3.75,10:25:07.000
227.93,5.569,0.8810E+03,49.997,,10,1.2694E+03,0.9139E+03,0.694,3.75,10:25:07.100
227.94,5.567,0.8808E+03,49.998,,10,1.2691E+03,0.9137E+03,0.694,3.78,10:25:07.200
227.89,5.566,0.8803E+03,49.999,,10,1.2684E+03,0.9132E+03,0.694,3.77,10:25:07.300
227.79,5.564,0.8797E+03,49.998,,10,1.2675E+03,0.9125E+03,0.694,3.79,10:25:07.400
227.77,5.564,0.8795E+03,49.998,,10,1.2672E+03,0.9124E+03,0.694,3.79,10:25:07.500
227.79,5.564,0.8796E+03,49.997,,10,1.2674E+03,0.9125E+03,0.694,3.82,10:25:07.600
227.80,5.565,0.8798E+03,49.997,,10,1.2677E+03,0.9127E+03,0.694,3.77,10:25:07.700
227.80,5.565,0.8798E+03,49.999,,10,1.2676E+03,0.9127E+03,0.694,3.80,10:25:07.800
227.82,5.565,0.8798E+03,50.000,,10,1.2677E+03,0.9128E+03,0.694,3.76,10:25:07.900
227.86,5.566,0.8803E+03,50.000,,10,1.2683E+03,0.9131E+03,0.694,3.78,10:25:08.000
227.88,5.567,0.8804E+03,50.000,,10,1.2685E+03,0.9132E+03,0.694,3.77,10:25:08.100
227.92,5.567,0.8807E+03,49.998,,10,1.2689E+03,0.9136E+03,0.694,3.74,10:25:08.200
227.89,5.567,0.8805E+03,49.997,,10,1.2687E+03,0.9134E+03,0.694,3.75,10:25:08.300
227.86,5.566,0.8802E+03,49.998,,10,1.2683E+03,0.9131E+03,0.694,3.74,10:25:08.400
227.85,5.565,0.8800E+03,49.999,,10,1.2681E+03,0.9129E+03,0.694,3.78,10:25:08.500
227.83,5.565,0.8799E+03,50.000,,10,1.2678E+03,0.9127E+03,0.694,3.76,10:25:08.600
227.86,5.565,0.8801E+03,50.000,,10,1.2681E+03,0.9129E+03,0.694,3.74,10:25:08.700
227.88,5.565,0.8802E+03,49.999,,10,1.2683E+03,0.9131E+03,0.694,3.74,10:25:08.800
227.87,5.565,0.8801E+03,49.998,,10,1.2681E+03,0.9130E+03,0.694,3.77,10:25:08.900
227.85,5.564,0.8799E+03,49.999,,10,1.2678E+03,0.9128E+03,0.694,3.77,10:25:09.000
227.86,5.564,0.8799E+03,50.000,,10,1.2679E+03,0.9128E+03,0.694,3.75,10:25:09.100
227.84,5.564,0.8798E+03,49.999,,10,1.2676E+03,0.9126E+03,0.694,3.73,10:25:09.200
227.85,5.563,0.8797E+03,49.998,,10,1.2676E+03,0.9126E+03,0.694,3.79,10:25:09.300
227.80,5.562,0.8793E+03,49.998,,10,1.2670E+03,0.9122E+03,0.694,3.75,10:25:09.400
227.80,5.562,0.8793E+03,49.997,,10,1.2669E+03,0.9121E+03,0.694,3.77,10:25:09.500
227.76,5.560,0.8789E+03,49.996,,10,1.2664E+03,0.9118E+03,0.694,3.80,10:25:09.600
227.81,5.561,0.8792E+03,49.996,,10,1.2669E+03,0.9121E+03,0.694,3.77,10:25:09.700
227.81,5.561,0.8793E+03,49.995,,10,1.2669E+03,0.9121E+03,0.694,3.75,10:25:09.800
227.79,5.560,0.8790E+03,49.996,,10,1.2665E+03,0.9118E+03,0.694,3.72,10:25:09.900
227.82,5.561,0.8792E+03,49.996,,10,1.2669E+03,0.9121E+03,0.694,3.74,10:25:10.000
227.78,5.559,0.8789E+03,49.996,,10,1.2663E+03,0.9117E+03,0.694,3.81,10:25:10.100
227.73,5.558,0.8785E+03,49.996,,10,1.2657E+03,0.9112E+03,0.694,3.74,10:25:10.200
227.74,5.558,0.8784E+03,49.996,,10,1.2657E+03,0.9112E+03,0.694,3.76,10:25:10.300
227.77,5.558,0.8787E+03,49.995,,10,1.2660E+03,0.9114E+03,0.694,3.75,10:25:10.400
227.80,5.559,0.8789E+03,49.994,,10,1.2663E+03,0.9116E+03,0.694,3.75,10:25:10.500
227.74,5.557,0.8783E+03,49.994,,10,1.2655E+03,0.9110E+03,0.694,3.79,10:25:10.600
227.81,5.558,0.8787E+03,49.993,,10,1.2662E+03,0.9116E+03,0.694,3.78,10:25:10.700
227.82,5.558,0.8789E+03,49.993,,10,1.2663E+03,0.9116E+03,0.694,3.76,10:25:10.800
227.86,5.559,0.8791E+03,49.993,,10,1.2667E+03,0.9119E+03,0.694,3.77,10:25:10.900
227.91,5.559,0.8793E+03,49.995,,10,1.2670E+03,0.9122E+03,0.694,3.75,10:25:11.000
227.96,5.560,0.8797E+03,49.994,,10,1.2675E+03,0.9125E+03,0.694,3.73,10:25:11.100
227.96,5.560,0.8797E+03,49.994,,10,1.2675E+03,0.9125E+03,0.694,3.75,10:25:11.200
227.97,5.560,0.8797E+03,49.995,,10,1.2675E+03,0.9125E+03,0.694,3.75,10:25:11.300
227.96,5.559,0.8796E+03,49.997,,10,1.2673E+03,0.9124E+03,0.694,3.75,10:25:11.400
227.92,5.558,0.8793E+03,49.998,,10,1.2669E+03,0.9120E+03,0.694,3.78,10:25:11.500
227.89,5.557,0.8790E+03,49.997,,10,1.2665E+03,0.9118E+03,0.694,3.78,10:25:11.600
227.85,5.556,0.8786E+03,49.997,,10,1.2659E+03,0.9114E+03,0.694,3.75,10:25:11.700
227.91,5.557,0.8790E+03,49.997,,10,1.2665E+03,0.9118E+03,0.694,3.77,10:25:11.800
227.84,5.555,0.8785E+03,49.997,,10,1.2657E+03,0.9112E+03,0.694,3.75,10:25:11.900
227.80,5.554,0.8781E+03,49.995,,10,1.2652E+03,0.9109E+03,0.694,3.75,10:25:12.000
227.84,5.555,0.8784E+03,49.994,,10,1.2656E+03,0.9112E+03,0.694,3.76,10:25:12.100
227.78,5.553,0.8778E+03,49.994,,10,1.2648E+03,0.9106E+03,0.694,3.75,10:25:12.200
227.79,5.553,0.8779E+03,49.993,,10,1.2649E+03,0.9106E+03,0.694,3.77,10:25:12.300
227.75,5.551,0.8775E+03,49.993,,10,1.2643E+03,0.9102E+03,0.694,3.76,10:25:12.400
227.82,5.553,0.8780E+03,49.993,,10,1.2651E+03,0.9108E+03,0.694,3.78,10:25:12.500
227.86,5.553,0.8783E+03,49.993,,10,1.2654E+03,0.9110E+03,0.694,3.76,10:25:12.600
