#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,668         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
nan,nan,nan,nan,,20,nan,nan,nan,nan,10:33:26.000
nan,nan,nan,nan,,20,nan,nan,nan,nan,10:33:26.100
223.63,6.941,1.5312E+03,50.015,,20,1.5523E+03,0.2554E+03,0.986,3.91,10:33:26.200
223.70,6.936,1.5306E+03,50.015,,20,1.5515E+03,0.2535E+03,0.987,3.91,10:33:26.300
220.26,6.798,1.4772E+03,50.016,,20,1.4973E+03,0.2443E+03,0.987,3.92,10:33:26.400
223.73,6.928,1.5296E+03,50.015,,20,1.5501E+03,0.2516E+03,0.987,3.89,10:33:26.500
223.67,6.916,1.5267E+03,50.012,,20,1.5469E+03,0.2491E+03,0.987,3.93,10:33:26.600
223.64,6.910,1.5254E+03,50.011,,20,1.5454E+03,0.2480E+03,0.987,3.93,10:33:26.700
nan,nan,nan,nan,,10,nan,nan,nan,nan,10:33:26.800
nan,nan,nan,nan,,10,nan,nan,nan,nan,10:33:26.900
nan,nan,nan,nan,,10,nan,nan,nan,nan,10:33:27.000
223.79,6.895,1.5235E+03,50.014,,10,1.5431E+03,0.2452E+03,0.987,3.92,10:33:27.100
223.74,6.890,1.5220E+03,50.012,,10,1.5416E+03,0.2448E+03,0.987,3.91,10:33:27.200
223.78,6.890,1.5222E+03,50.012,,10,1.5418E+03,0.2447E+03,0.987,3.93,10:33:27.300
223.76,6.885,1.5210E+03,50.014,,10,1.5405E+03,0.2444E+03,0.987,3.91,10:33:27.400
223.73,6.881,1.5201E+03,50.014,,10,1.5395E+03,0.2442E+03,0.987,3.94,10:33:27.500
223.73,6.878,1.5193E+03,50.015,,10,1.5388E+03,0.2440E+03,0.987,3.94,10:33:27.600
223.72,6.876,1.5188E+03,50.016,,10,1.5382E+03,0.2439E+03,0.987,3.94,10:33:27.700
223.76,6.872,1.5181E+03,50.016,,10,1.5376E+03,0.2439E+03,0.987,3.95,10:33:27.800
223.71,6.868,1.5171E+03,50.015,,10,1.5366E+03,0.2437E+03,0.987,3.93,10:33:27.900
223.69,6.865,1.5163E+03,50.015,,10,1.5357E+03,0.2436E+03,0.987,3.95,10:33:28.000
223.68,6.864,1.5158E+03,50.015,,10,1.5352E+03,0.2435E+03,0.987,3.96,10:33:28.100
223.70,6.862,1.5155E+03,50.015,,10,1.5349E+03,0.2435E+03,0.987,3.94,10:33:28.200
223.72,6.861,1.5156E+03,50.016,,10,1.5351E+03,0.2435E+03,0.987,3.98,10:33:28.300
223.72,6.861,1.5154E+03,50.015,,10,1.5349E+03,0.2435E+03,0.987,3.96,10:33:28.400
223.75,6.860,1.5155E+03,50.015,,10,1.5350E+03,0.2435E+03,0.987,3.97,10:33:28.500
223.75,6.859,1.5152E+03,50.015,,10,1.5346E+03,0.2434E+03,0.987,3.97,10:33:28.600
223.71,6.856,1.5144E+03,50.015,,10,1.5338E+03,0.2433E+03,0.987,3.95,10:33:28.700
224.00,6.864,1.5180E+03,50.014,,10,1.5375E+03,0.2439E+03,0.987,3.84,10:33:28.800
224.04,6.864,1.5183E+03,50.014,,10,1.5378E+03,0.2440E+03,0.987,3.84,10:33:28.900
223.98,6.860,1.5169E+03,50.015,,10,1.5364E+03,0.2438E+03,0.987,3.86,10:33:29.000
223.93,6.857,1.5160E+03,50.014,,10,1.5355E+03,0.2437E+03,0.987,3.85,10:33:29.100
223.79,6.852,1.5139E+03,50.016,,10,1.5333E+03,0.2433E+03,0.987,3.92,10:33:29.200
223.73,6.849,1.5129E+03,50.014,,10,1.5324E+03,0.2431E+03,0.987,3.88,10:33:29.300
223.86,6.851,1.5142E+03,50.014,,10,1.5337E+03,0.2434E+03,0.987,3.88,10:33:29.400
223.93,6.853,1.5151E+03,50.013,,10,1.5346E+03,0.2436E+03,0.987,3.90,10:33:29.500
223.94,6.852,1.5151E+03,50.015,,10,1.5345E+03,0.2436E+03,0.987,3.90,10:33:29.600
223.94,6.852,1.5149E+03,50.014,,10,1.5343E+03,0.2436E+03,0.987,3.88,10:33:29.700
223.86,6.848,1.5135E+03,50.015,,10,1.5329E+03,0.2434E+03,0.987,3.88,10:33:29.800
223.78,6.845,1.5123E+03,50.015,,10,1.5318E+03,0.2432E+03,0.987,3.87,10:33:29.900
223.80,6.845,1.5124E+03,50.015,,10,1.5319E+03,0.2432E+03,0.987,3.88,10:33:30.000
223.78,6.844,1.5120E+03,50.016,,10,1.5314E+03,0.2431E+03,0.987,3.88,10:33:30.100
223.72,6.841,1.5109E+03,50.014,,10,1.5303E+03,0.2429E+03,0.987,3.88,10:33:30.200
