#Device,HMC8015
#Device Name,
#Date,2018-07-15
#Logging Interval[s],0.100
#Actual Count,432         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
227.37,0.0369E-03,0.0015,50.011,,5E-03,0.0084,0.0083,0.177,2.36,09:13:35.000
227.36,0.0370E-03,0.0015,50.010,,5E-03,0.0084,0.0083,0.176,2.36,09:13:35.100
227.34,0.0369E-03,0.0015,50.011,,5E-03,0.0084,0.0083,0.177,2.34,09:13:35.200
227.39,0.0370E-03,0.0015,50.011,,5E-03,0.0084,0.0083,0.176,2.34,09:13:35.300
227.35,0.0369E-03,0.0015,50.010,,5E-03,0.0084,0.0083,0.176,2.37,09:13:35.400
227.38,0.0370E-03,0.0015,50.008,,5E-03,0.0084,0.0083,0.177,2.34,09:13:35.500
227.39,0.0369E-03,0.0015,50.008,,5E-03,0.0084,0.0083,0.177,2.35,09:13:35.600
227.37,0.0369E-03,0.0015,50.009,,5E-03,0.0084,0.0083,0.177,2.37,09:13:35.700
227.42,0.0369E-03,0.0015,50.010,,5E-03,0.0084,0.0083,0.176,2.33,09:13:35.800
227.43,0.0369E-03,0.0015,50.011,,5E-03,0.0084,0.0083,0.177,2.33,09:13:35.900
227.46,0.0369E-03,0.0015,50.010,,5E-03,0.0084,0.0083,0.177,2.34,09:13:36.000
227.39,0.0369E-03,0.0015,50.011,,5E-03,0.0084,0.0083,0.177,2.29,09:13:36.100
227.37,0.0369E-03,0.0015,50.008,,5E-03,0.0084,0.0083,0.177,2.28,09:13:36.200
227.33,0.0370E-03,0.0015,50.008,,5E-03,0.0084,0.0083,0.176,2.31,09:13:36.300
227.36,0.0369E-03,0.0015,50.009,,5E-03,0.0084,0.0083,0.177,2.32,09:13:36.400
227.36,0.0368E-03,0.0015,50.012,,5E-03,0.0084,0.0082,0.176,2.31,09:13:36.500
227.38,0.0370E-03,0.0015,50.012,,5E-03,0.0084,0.0083,0.176,2.32,09:13:36.600
227.36,0.0369E-03,0.0015,50.013,,5E-03,0.0084,0.0083,0.176,2.32,09:13:36.700
227.31,0.0369E-03,0.0015,50.011,,5E-03,0.0084,0.0083,0.177,2.32,09:13:36.800
227.29,0.0369E-03,0.0015,50.010,,5E-03,0.0084,0.0083,0.175,2.32,09:13:36.900
227.27,0.0369E-03,0.0015,50.012,,5E-03,0.0084,0.0083,0.177,2.32,09:13:37.000
227.10,0.0369E-03,0.0015,50.013,,5E-03,0.0084,0.0082,0.177,2.31,09:13:37.100
227.07,0.0368E-03,0.0015,50.016,,5E-03,0.0084,0.0082,0.177,2.33,09:13:37.200
227.10,0.0369E-03,0.0015,50.016,,5E-03,0.0084,0.0082,0.177,2.29,09:13:37.300
227.06,0.0369E-03,0.0015,50.017,,5E-03,0.0084,0.0082,0.177,2.31,09:13:37.400
227.03,0.0369E-03,0.0015,50.017,,5E-03,0.0084,0.0082,0.177,2.30,09:13:37.500
227.03,0.0368E-03,0.0015,50.016,,5E-03,0.0084,0.0082,0.176,2.30,09:13:37.600
226.95,0.0368E-03,0.0015,50.017,,5E-03,0.0084,0.0082,0.177,2.28,09:13:37.700
226.96,0.0369E-03,0.0015,50.018,,5E-03,0.0084,0.0082,0.177,2.31,09:13:37.800
226.92,0.0368E-03,0.0015,50.018,,5E-03,0.0084,0.0082,0.176,2.26,09:13:37.900
227.00,0.0368E-03,0.0015,50.016,,5E-03,0.0084,0.0082,0.177,2.28,09:13:38.000
226.91,0.0368E-03,0.0015,50.014,,5E-03,0.0084,0.0082,0.175,2.32,09:13:38.100
226.82,0.0368E-03,0.0015,50.016,,5E-03,0.0084,0.0082,0.176,2.23,09:13:38.200
226.74,0.0368E-03,0.0015,50.020,,5E-03,0.0083,0.0082,0.177,2.26,09:13:38.300
226.76,0.0368E-03,0.0015,50.018,,5E-03,0.0083,0.0082,0.176,2.29,09:13:38.400
226.86,0.0369E-03,0.0015,50.017,,5E-03,0.0084,0.0082,0.176,2.26,09:13:38.500
226.84,0.0368E-03,0.0015,50.016,,5E-03,0.0084,0.0082,0.176,2.28,09:13:38.600
226.90,0.0368E-03,0.0015,50.012,,5E-03,0.0084,0.0082,0.177,2.30,09:13:38.700
226.83,0.0368E-03,0.0015,50.013,,5E-03,0.0083,0.0082,0.177,2.25,09:13:38.800
226.86,0.0368E-03,0.0015,50.016,,5E-03,0.0084,0.0082,0.177,2.28,09:13:38.900
226.91,0.0368E-03,0.0015,50.016,,5E-03,0.0084,0.0082,0.177,2.29,09:13:39.000
226.90,0.0368E-03,0.0015,50.017,,5E-03,0.0084,0.0082,0.177,2.27,09:13:39.100
226.93,0.0368E-03,0.0015,50.014,,5E-03,0.0083,0.0082,0.178,2.27,09:13:39.200
226.91,0.0368E-03,0.0015,50.009,,5E-03,0.0083,0.0082,0.176,2.27,09:13:39.300
226.93,0.0368E-03,0.0015,50.010,,5E-03,0.0084,0.0082,0.177,2.28,09:13:39.400
226.91,0.0369E-03,0.0015,50.012,,5E-03,0.0084,0.0082,0.176,2.29,09:13:39.500
226.90,0.0368E-03,0.0015,50.013,,5E-03,0.0083,0.0082,0.177,2.30,09:13:39.600
226.89,0.0368E-03,0.0015,50.015,,5E-03,0.0084,0.0082,0.176,2.26,09:13:39.700
226.88,0.0368E-03,0.0015,50.012,,5E-03,0.0084,0.0082,0.176,2.29,09:13:39.800
226.93,0.0369E-03,0.0015,50.008,,5E-03,0.0084,0.0082,0.176,2.30,09:13:39.900
226.94,0.0368E-03,0.0015,50.010,,5E-03,0.0083,0.0082,0.177,2.29,09:13:40.000
226.91,0.0368E-03,0.0015,50.012,,5E-03,0.0084,0.0082,0.176,2.29,09:13:40.100
226.91,0.0368E-03,0.0015,50.015,,5E-03,0.0084,0.0082,0.177,2.31,09:13:40.200
226.91,0.0368E-03,0.0015,50.016,,5E-03,0.0084,0.0082,0.176,2.27,09:13:40.300
226.95,0.0368E-03,0.0015,50.014,,5E-03,0.0083,0.0082,0.176,2.29,09:13:40.400
226.96,0.0369E-03,0.0015,50.012,,5E-03,0.0084,0.0082,0.177,2.31,09:13:40.500
226.96,0.0368E-03,0.0015,50.013,,5E-03,0.0083,0.0082,0.177,2.28,09:13:40.600
226.86,0.0369E-03,0.0015,50.015,,5E-03,0.0084,0.0082,0.177,2.28,09:13:40.700
226.92,0.0368E-03,0.0015,50.017,,5E-03,0.0084,0.0082,0.176,2.30,09:13:40.800
226.94,0.0368E-03,0.0015,50.020,,5E-03,0.0084,0.0082,0.177,2.27,09:13:40.900
226.95,0.0368E-03,0.0015,50.017,,5E-03,0.0084,0.0082,0.176,2.29,09:13:41.000
226.95,0.0368E-03,0.0015,50.015,,5E-03,0.0084,0.0082,0.176,2.32,09:13:41.100
226.94,0.0368E-03,0.0015,50.015,,5E-03,0.0084,0.0082,0.178,2.28,09:13:41.200
226.92,0.0368E-03,0.0015,50.015,,5E-03,0.0084,0.0082,0.177,2.29,09:13:41.300
226.97,0.0368E-03,0.0015,50.016,,5E-03,0.0084,0.0082,0.177,2.32,09:13:41.400
226.97,0.0369E-03,0.0015,50.018,,5E-03,0.0084,0.0082,0.176,2.29,09:13:41.500
227.03,0.0369E-03,0.0015,50.015,,5E-03,0.0084,0.0082,0.177,2.31,09:13:41.600
227.05,0.0369E-03,0.0015,50.012,,5E-03,0.0084,0.0082,0.178,2.33,09:13:41.700
227.04,0.0368E-03,0.0015,50.012,,5E-03,0.0084,0.0082,0.176,2.30,09:13:41.800
227.08,0.0368E-03,0.0015,50.012,,5E-03,0.0084,0.0082,0.177,2.32,09:13:41.900
227.04,0.0368E-03,0.0015,50.016,,5E-03,0.0083,0.0082,0.177,2.33,09:13:42.000
227.08,0.0369E-03,0.0015,50.018,,5E-03,0.0084,0.0082,0.177,2.30,09:13:42.100
227.08,0.0369E-03,0.0015,50.015,,5E-03,0.0084,0.0082,0.176,2.33,09:13:42.200
