#Device,HMC8015
#Device Name,
#Date,2018-07-15
#Logging Interval[s],0.100
#Actual Count,241         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
216.17,7.036,1.5210E+03,49.985,,10,1.5210E+03,0.0015E+03,1.000,2.44,09:16:34.000
216.17,7.036,1.5210E+03,49.986,,10,1.5210E+03,0.0013E+03,1.000,2.39,09:16:34.100
216.21,7.037,1.5214E+03,49.988,,10,1.5214E+03,0.0014E+03,1.000,2.38,09:16:34.200
216.25,7.038,1.5220E+03,49.988,,10,1.5220E+03,0.0015E+03,1.000,2.45,09:16:34.300
216.20,7.036,1.5212E+03,49.987,,10,1.5212E+03,0.0012E+03,1.000,2.41,09:16:34.400
216.25,7.037,1.5218E+03,49.985,,10,1.5218E+03,0.0015E+03,1.000,2.39,09:16:34.500
216.18,7.035,1.5208E+03,49.983,,10,1.5208E+03,0.0013E+03,1.000,2.40,09:16:34.600
216.18,7.034,1.5206E+03,49.986,,10,1.5206E+03,0.0014E+03,1.000,2.39,09:16:34.700
216.25,7.036,1.5216E+03,49.989,,10,1.5216E+03,0.0012E+03,1.000,2.38,09:16:34.800
216.24,7.035,1.5213E+03,49.990,,10,1.5213E+03,0.0015E+03,1.000,2.40,09:16:34.900
216.27,7.036,1.5216E+03,49.991,,10,1.5216E+03,0.0015E+03,1.000,2.40,09:16:35.000
216.26,7.035,1.5214E+03,49.989,,10,1.5214E+03,0.0014E+03,1.000,2.40,09:16:35.100
216.33,7.037,1.5223E+03,49.985,,10,1.5223E+03,0.0013E+03,1.000,2.41,09:16:35.200
216.30,7.036,1.5219E+03,49.989,,10,1.5219E+03,0.0013E+03,1.000,2.37,09:16:35.300
216.28,7.035,1.5215E+03,49.993,,10,1.5215E+03,0.0013E+03,1.000,2.40,09:16:35.400
216.32,7.036,1.5220E+03,49.995,,10,1.5220E+03,0.0012E+03,1.000,2.43,09:16:35.500
216.48,7.041,1.5242E+03,49.997,,10,1.5242E+03,0.0014E+03,1.000,2.43,09:16:35.600
216.49,7.041,1.5242E+03,49.994,,10,1.5242E+03,0.0017E+03,1.000,2.40,09:16:35.700
216.45,7.039,1.5236E+03,49.992,,10,1.5236E+03,0.0014E+03,1.000,2.41,09:16:35.800
216.39,7.037,1.5227E+03,49.994,,10,1.5227E+03,0.0014E+03,1.000,2.41,09:16:35.900
216.22,7.031,1.5202E+03,49.995,,10,1.5202E+03,0.0014E+03,1.000,2.48,09:16:36.000
216.25,7.032,1.5206E+03,49.997,,10,1.5206E+03,0.0013E+03,1.000,2.51,09:16:36.100
216.25,7.031,1.5205E+03,49.999,,10,1.5205E+03,0.0013E+03,1.000,2.44,09:16:36.200
216.20,7.030,1.5198E+03,49.995,,10,1.5198E+03,0.0013E+03,1.000,2.45,09:16:36.300
216.25,7.031,1.5204E+03,49.992,,10,1.5204E+03,0.0015E+03,1.000,2.47,09:16:36.400
216.11,7.026,1.5185E+03,49.991,,10,1.5185E+03,0.0013E+03,1.000,2.43,09:16:36.500
216.17,7.028,1.5191E+03,49.992,,10,1.5191E+03,0.0014E+03,1.000,2.45,09:16:36.600
216.26,7.031,1.5204E+03,49.994,,10,1.5204E+03,0.0012E+03,1.000,2.46,09:16:36.700
216.29,7.031,1.5207E+03,49.995,,10,1.5207E+03,0.0014E+03,1.000,2.43,09:16:36.800
216.32,7.032,1.5211E+03,49.993,,10,1.5211E+03,0.0014E+03,1.000,2.44,09:16:36.900
216.13,7.025,1.5184E+03,49.991,,10,1.5184E+03,0.0012E+03,1.000,2.44,09:16:37.000
216.10,7.024,1.5179E+03,49.991,,10,1.5179E+03,0.0013E+03,1.000,2.43,09:16:37.100
216.14,7.025,1.5184E+03,49.989,,10,1.5184E+03,0.0015E+03,1.000,2.44,09:16:37.200
216.20,7.027,1.5191E+03,49.991,,10,1.5191E+03,0.0013E+03,1.000,2.44,09:16:37.300
216.22,7.027,1.5194E+03,49.993,,10,1.5194E+03,0.0013E+03,1.000,2.43,09:16:37.400
216.16,7.025,1.5185E+03,49.993,,10,1.5185E+03,0.0012E+03,1.000,2.46,09:16:37.500
216.15,7.024,1.5183E+03,49.992,,10,1.5183E+03,0.0013E+03,1.000,2.43,09:16:37.600
216.15,7.024,1.5183E+03,49.992,,10,1.5183E+03,0.0015E+03,1.000,2.43,09:16:37.700
216.15,7.024,1.5182E+03,49.991,,10,1.5182E+03,0.0013E+03,1.000,2.43,09:16:37.800
216.16,7.024,1.5183E+03,49.992,,10,1.5183E+03,0.0015E+03,1.000,2.46,09:16:37.900
216.02,7.019,1.5162E+03,49.993,,10,1.5162E+03,0.0012E+03,1.000,2.45,09:16:38.000
216.08,7.021,1.5170E+03,49.993,,10,1.5170E+03,0.0014E+03,1.000,2.44,09:16:38.100
216.09,7.021,1.5171E+03,49.995,,10,1.5171E+03,0.0014E+03,1.000,2.44,09:16:38.200
216.10,7.021,1.5172E+03,49.996,,10,1.5172E+03,0.0012E+03,1.000,2.43,09:16:38.300
216.06,7.019,1.5166E+03,49.995,,10,1.5166E+03,0.0014E+03,1.000,2.45,09:16:38.400
