#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,225         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
232.84,29.51E-03,3.175,50.029,,100E-03,6.871,6.093,0.462,3.87,08:30:45.000
232.81,29.47E-03,3.166,50.028,,100E-03,6.861,6.087,0.462,3.88,08:30:45.100
232.87,29.56E-03,3.170,50.027,,100E-03,6.882,6.109,0.461,3.91,08:30:45.200
232.74,29.48E-03,3.162,50.027,,100E-03,6.861,6.089,0.461,3.88,08:30:45.300
232.76,29.46E-03,3.168,50.027,,100E-03,6.857,6.081,0.462,3.87,08:30:45.400
232.83,29.40E-03,3.179,50.026,,100E-03,6.845,6.061,0.464,3.83,08:30:45.500
232.81,29.34E-03,3.164,50.024,,100E-03,6.831,6.054,0.463,3.82,08:30:45.600
232.87,29.38E-03,3.176,50.023,,100E-03,6.842,6.060,0.464,3.84,08:30:45.700
232.88,29.40E-03,3.170,50.023,,100E-03,6.846,6.067,0.463,3.88,08:30:45.800
232.94,29.44E-03,3.179,50.022,,100E-03,6.858,6.076,0.464,3.88,08:30:45.900
232.94,29.24E-03,3.173,50.023,,100E-03,6.811,6.027,0.466,3.88,08:30:46.000
232.87,24.85E-03,2.577,50.024,,100E-03,5.787,5.181,0.445,3.88,08:30:46.100
232.86,20.81E-03,2.048,50.023,,100E-03,4.847,4.393,0.423,3.86,08:30:46.200
232.88,16.38E-03,1.503,50.023,,100E-03,3.814,3.505,0.394,3.88,08:30:46.300
232.87,11.64E-03,1.012,50.022,,100E-03,2.710,2.514,0.373,3.88,08:30:46.400
232.83,10.69E-03,0.926,50.023,,100E-03,2.489,2.310,0.372,3.85,08:30:46.500
232.84,10.71E-03,0.922,50.023,,100E-03,2.493,2.317,0.370,3.89,08:30:46.600
232.89,10.77E-03,0.927,50.023,,100E-03,2.508,2.331,0.370,3.90,08:30:46.700
232.96,10.71E-03,0.924,50.023,,100E-03,2.494,2.316,0.371,3.91,08:30:46.800
233.04,10.73E-03,0.920,50.021,,100E-03,2.501,2.326,0.368,3.94,08:30:46.900
nan,nan,nan,nan,,50E-03,nan,nan,nan,nan,08:30:47.000
nan,nan,nan,nan,,50E-03,nan,nan,nan,nan,08:30:47.100
nan,nan,nan,nan,,50E-03,nan,nan,nan,nan,08:30:47.200
233.00,6.936E-03,0.584,50.022,,50E-03,1.616,1.507,0.361,3.85,08:30:47.300
232.97,1.759E-03,0.133,50.021,,50E-03,0.410,0.387,0.326,3.93,08:30:47.400
232.98,1.760E-03,0.135,50.021,,50E-03,0.410,0.387,0.329,3.92,08:30:47.500
232.93,1.799E-03,0.139,50.021,,50E-03,0.419,0.395,0.332,3.88,08:30:47.600
233.07,1.786E-03,0.138,50.023,,50E-03,0.416,0.393,0.333,3.92,08:30:47.700
233.06,1.764E-03,0.137,50.024,,50E-03,0.411,0.388,0.333,3.91,08:30:47.800
233.04,1.792E-03,0.139,50.025,,50E-03,0.418,0.394,0.333,3.89,08:30:47.900
233.05,1.793E-03,0.139,50.024,,50E-03,0.418,0.394,0.333,3.88,08:30:48.000
233.05,1.729E-03,0.132,50.022,,50E-03,0.403,0.381,0.329,3.90,08:30:48.100
232.89,1.678E-03,0.126,50.022,,50E-03,0.391,0.370,0.323,3.86,08:30:48.200
nan,nan,nan,nan,,10E-03,nan,nan,nan,nan,08:30:48.300
nan,nan,nan,nan,,10E-03,nan,nan,nan,nan,08:30:48.400
nan,nan,nan,nan,,10E-03,nan,nan,nan,nan,08:30:48.500
232.97,1.635E-03,0.1267,50.023,,10E-03,0.3809,0.3592,0.333,3.89,08:30:48.600
232.96,1.741E-03,0.1352,50.022,,10E-03,0.4056,0.3824,0.333,3.91,08:30:48.700
233.02,1.809E-03,0.1405,50.021,,10E-03,0.4215,0.3974,0.333,3.88,08:30:48.800
233.05,1.796E-03,0.1383,50.021,,10E-03,0.4185,0.3950,0.330,3.88,08:30:48.900
233.11,1.801E-03,0.1404,50.023,,10E-03,0.4197,0.3955,0.335,3.89,08:30:49.000
233.16,1.774E-03,0.1375,50.024,,10E-03,0.4136,0.3901,0.333,3.88,08:30:49.100
233.18,1.778E-03,0.1375,50.024,,10E-03,0.4146,0.3911,0.332,3.87,08:30:49.200
233.18,1.843E-03,0.1402,50.024,,10E-03,0.4297,0.4062,0.326,3.86,08:30:49.300
233.17,1.749E-03,0.1350,50.024,,10E-03,0.4079,0.3849,0.331,3.86,08:30:49.400
233.17,1.726E-03,0.1310,50.023,,10E-03,0.4024,0.3805,0.326,3.85,08:30:49.500
233.12,1.767E-03,0.1337,50.025,,10E-03,0.4119,0.3896,0.325,3.89,08:30:49.600
233.19,1.849E-03,0.1444,50.025,,10E-03,0.4312,0.4063,0.335,3.90,08:30:49.700
233.18,1.764E-03,0.1377,50.024,,10E-03,0.4114,0.3877,0.335,3.87,08:30:49.800
233.19,1.731E-03,0.1357,50.025,,10E-03,0.4036,0.3801,0.336,3.85,08:30:49.900
233.12,1.703E-03,0.1311,50.024,,10E-03,0.3970,0.3747,0.330,3.84,08:30:50.000
233.07,1.773E-03,0.1376,50.023,,10E-03,0.4132,0.3896,0.333,3.84,08:30:50.100
233.11,1.776E-03,0.1370,50.023,,10E-03,0.4141,0.3908,0.331,3.83,08:30:50.200
233.14,1.856E-03,0.1425,50.022,,10E-03,0.4327,0.4085,0.329,3.84,08:30:50.300
233.09,1.770E-03,0.1365,50.024,,10E-03,0.4125,0.3892,0.331,3.86,08:30:50.400
233.05,1.742E-03,0.1341,50.025,,10E-03,0.4060,0.3832,0.330,3.86,08:30:50.500
233.04,1.767E-03,0.1343,50.023,,10E-03,0.4119,0.3894,0.326,3.85,08:30:50.600
233.04,1.756E-03,0.1334,50.024,,10E-03,0.4093,0.3870,0.326,3.84,08:30:50.700
233.04,1.803E-03,0.1396,50.024,,10E-03,0.4203,0.3964,0.332,3.77,08:30:50.800
233.04,1.752E-03,0.1354,50.025,,10E-03,0.4082,0.3851,0.332,3.79,08:30:50.900
233.03,1.752E-03,0.1354,50.024,,10E-03,0.4082,0.3851,0.332,3.79,08:30:51.000
232.97,1.649E-03,0.1271,50.022,,10E-03,0.3841,0.3625,0.331,3.79,08:30:51.100
232.94,1.784E-03,0.1388,50.021,,10E-03,0.4156,0.3917,0.334,3.79,08:30:51.200
232.99,1.755E-03,0.1356,50.023,,10E-03,0.4088,0.3857,0.332,3.78,08:30:51.300
232.98,1.726E-03,0.1332,50.022,,10E-03,0.4021,0.3794,0.331,3.77,08:30:51.400
232.99,1.778E-03,0.1380,50.020,,10E-03,0.4141,0.3905,0.333,3.89,08:30:51.500
232.74,1.656E-03,0.1273,50.021,,10E-03,0.3855,0.3638,0.330,3.65,08:30:51.600
232.80,2.366E-03,0.1873,50.021,,10E-03,0.5508,0.5180,0.340,3.88,08:30:51.700
232.81,1.857E-03,0.1465,50.021,,10E-03,0.4324,0.4068,0.339,3.77,08:30:51.800
232.80,1.684E-03,0.1321,50.021,,10E-03,0.3920,0.3691,0.337,3.76,08:30:51.900
232.66,1.627E-03,0.1255,50.024,,10E-03,0.3785,0.3571,0.332,3.76,08:30:52.000
232.86,1.795E-03,0.1414,50.026,,10E-03,0.4181,0.3934,0.338,3.78,08:30:52.100
232.89,1.674E-03,0.1320,50.026,,10E-03,0.3899,0.3669,0.338,3.77,08:30:52.200
232.81,1.675E-03,0.1310,50.026,,10E-03,0.3899,0.3672,0.336,3.77,08:30:52.300
232.85,1.771E-03,0.1394,50.027,,10E-03,0.4124,0.3881,0.338,3.78,08:30:52.400
232.85,1.923E-03,0.1426,50.029,,10E-03,0.4478,0.4244,0.319,3.76,08:30:52.500
232.87,1.799E-03,0.1411,50.029,,10E-03,0.4190,0.3946,0.337,3.79,08:30:52.600
232.92,1.767E-03,0.1391,50.029,,10E-03,0.4115,0.3873,0.338,3.77,08:30:52.700
232.95,1.745E-03,0.1369,50.029,,10E-03,0.4064,0.3827,0.337,3.81,08:30:52.800
233.00,1.828E-03,0.1436,50.028,,10E-03,0.4259,0.4009,0.337,3.83,08:30:52.900
232.99,1.702E-03,0.1329,50.026,,10E-03,0.3965,0.3736,0.335,3.80,08:30:53.000
232.95,1.752E-03,0.1369,50.026,,10E-03,0.4080,0.3844,0.335,3.79,08:30:53.100
232.92,1.726E-03,0.1348,50.026,,10E-03,0.4019,0.3786,0.335,3.78,08:30:53.200
232.90,1.679E-03,0.1309,50.026,,10E-03,0.3911,0.3686,0.335,3.78,08:30:53.300
232.97,1.802E-03,0.1413,50.024,,10E-03,0.4199,0.3954,0.337,3.80,08:30:53.400
232.96,1.740E-03,0.1363,50.025,,10E-03,0.4053,0.3817,0.336,3.81,08:30:53.500
232.94,1.752E-03,0.1373,50.025,,10E-03,0.4081,0.3843,0.336,3.79,08:30:53.600
232.92,1.760E-03,0.1373,50.025,,10E-03,0.4100,0.3863,0.335,3.78,08:30:53.700
232.94,1.734E-03,0.1357,50.026,,10E-03,0.4039,0.3804,0.336,3.77,08:30:53.800
232.85,1.643E-03,0.1282,50.026,,10E-03,0.3826,0.3604,0.335,3.76,08:30:53.900
232.89,1.729E-03,0.1347,50.026,,10E-03,0.4026,0.3794,0.335,3.77,08:30:54.000
nan,nan,nan,nan,,5E-03,nan,nan,nan,nan,08:30:54.100
nan,nan,nan,nan,,5E-03,nan,nan,nan,nan,08:30:54.200
nan,nan,nan,nan,,5E-03,nan,nan,nan,nan,08:30:54.300
232.98,1.6233E-03,0.1265,50.027,,5E-03,0.3782,0.3564,0.335,3.80,08:30:54.400
232.80,1.4197E-03,0.1093,50.027,,5E-03,0.3305,0.3119,0.331,3.77,08:30:54.500
233.03,1.8098E-03,0.1418,50.026,,5E-03,0.4217,0.3972,0.336,3.78,08:30:54.600
232.91,1.8785E-03,0.1462,50.025,,5E-03,0.4375,0.4124,0.334,3.84,08:30:54.700
232.89,1.6932E-03,0.1310,50.026,,5E-03,0.3943,0.3719,0.332,3.78,08:30:54.800
233.03,1.8278E-03,0.1424,50.026,,5E-03,0.4259,0.4014,0.334,3.82,08:30:54.900
232.99,1.7014E-03,0.1318,50.028,,5E-03,0.3964,0.3739,0.332,3.79,08:30:55.000
232.97,1.7425E-03,0.1355,50.026,,5E-03,0.4059,0.3827,0.334,3.77,08:30:55.100
232.95,1.7197E-03,0.1328,50.025,,5E-03,0.4006,0.3779,0.332,3.76,08:30:55.200
232.93,1.7733E-03,0.1366,50.026,,5E-03,0.4131,0.3898,0.331,3.76,08:30:55.300
232.92,1.8297E-03,0.1405,50.026,,5E-03,0.4262,0.4023,0.330,3.76,08:30:55.400
232.99,1.7287E-03,0.1332,50.025,,5E-03,0.4028,0.3801,0.331,3.78,08:30:55.500
233.03,1.8159E-03,0.1413,50.025,,5E-03,0.4232,0.3989,0.334,3.81,08:30:55.600
233.04,1.6994E-03,0.1326,50.027,,5E-03,0.3960,0.3732,0.335,3.82,08:30:55.700
233.02,1.7391E-03,0.1365,50.026,,5E-03,0.4053,0.3816,0.337,3.81,08:30:55.800
233.02,inf,inf,50.026,,5E-03,inf,inf,inf,3.80,08:30:55.900
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,08:30:56.000
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,08:30:56.100
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,08:30:56.200
233.01,1.816E-03,0.1414,50.029,,20E-03,0.4232,0.3988,0.334,3.80,08:30:56.300
233.01,1.643E-03,0.1259,50.028,,20E-03,0.3829,0.3616,0.329,3.81,08:30:56.400
233.03,1.766E-03,0.1382,50.029,,20E-03,0.4115,0.3876,0.336,3.81,08:30:56.500
233.02,1.776E-03,0.1380,50.030,,20E-03,0.4138,0.3901,0.333,3.79,08:30:56.600
233.03,1.741E-03,0.1347,50.029,,20E-03,0.4057,0.3826,0.332,3.80,08:30:56.700
233.08,1.808E-03,0.1396,50.029,,20E-03,0.4213,0.3975,0.331,3.78,08:30:56.800
nan,nan,nan,nan,,10E-03,nan,nan,nan,nan,08:30:56.900
nan,nan,nan,nan,,10E-03,nan,nan,nan,nan,08:30:57.000
nan,nan,nan,nan,,10E-03,nan,nan,nan,nan,08:30:57.100
233.02,1.749E-03,0.1356,50.029,,10E-03,0.4076,0.3843,0.333,3.80,08:30:57.200
233.04,1.782E-03,0.1383,50.028,,10E-03,0.4152,0.3916,0.333,3.82,08:30:57.300
233.07,1.752E-03,0.1367,50.028,,10E-03,0.4082,0.3847,0.335,3.83,08:30:57.400
233.11,1.764E-03,0.1374,50.028,,10E-03,0.4113,0.3877,0.334,3.86,08:30:57.500
233.14,1.816E-03,0.1406,50.028,,10E-03,0.4234,0.3994,0.332,3.82,08:30:57.600
233.17,1.827E-03,0.1416,50.028,,10E-03,0.4260,0.4017,0.333,3.83,08:30:57.700
233.17,1.694E-03,0.1297,50.026,,10E-03,0.3949,0.3730,0.328,3.83,08:30:57.800
233.13,1.582E-03,0.1222,50.027,,10E-03,0.3688,0.3480,0.331,3.92,08:30:57.900
233.14,1.748E-03,0.1362,50.027,,10E-03,0.4075,0.3840,0.334,3.86,08:30:58.000
233.17,1.786E-03,0.1391,50.027,,10E-03,0.4165,0.3926,0.334,3.85,08:30:58.100
233.16,1.778E-03,0.1389,50.026,,10E-03,0.4146,0.3907,0.335,3.84,08:30:58.200
233.11,1.748E-03,0.1358,50.027,,10E-03,0.4074,0.3841,0.333,3.84,08:30:58.300
232.99,1.660E-03,0.1284,50.027,,10E-03,0.3868,0.3649,0.332,3.81,08:30:58.400
