#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,124         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
232.67,1.771E-03,0.1357,50.010,,10E-03,0.4120,0.3891,0.329,3.86,08:28:44.000
232.65,1.770E-03,0.1355,50.011,,10E-03,0.4118,0.3889,0.329,3.85,08:28:44.100
232.56,1.672E-03,0.1267,50.011,,10E-03,0.3889,0.3676,0.326,3.89,08:28:44.200
232.66,1.932E-03,0.1491,50.010,,10E-03,0.4495,0.4241,0.332,3.88,08:28:44.300
232.67,1.810E-03,0.1377,50.009,,10E-03,0.4211,0.3979,0.327,3.85,08:28:44.400
232.68,1.867E-03,0.1418,50.009,,10E-03,0.4344,0.4106,0.326,3.86,08:28:44.500
232.70,1.693E-03,0.1280,50.009,,10E-03,0.3940,0.3726,0.325,3.85,08:28:44.600
232.72,1.887E-03,0.1434,50.008,,10E-03,0.4391,0.4150,0.327,3.84,08:28:44.700
232.73,1.794E-03,0.1360,50.008,,10E-03,0.4174,0.3946,0.326,3.81,08:28:44.800
232.71,1.784E-03,0.1339,50.009,,10E-03,0.4151,0.3929,0.323,3.79,08:28:44.900
232.75,1.850E-03,0.1408,50.010,,10E-03,0.4305,0.4068,0.327,3.83,08:28:45.000
232.77,1.796E-03,0.1368,50.009,,10E-03,0.4181,0.3951,0.327,3.80,08:28:45.100
232.77,1.689E-03,0.1280,50.008,,10E-03,0.3931,0.3717,0.326,3.81,08:28:45.200
232.72,1.773E-03,0.1357,50.010,,10E-03,0.4127,0.3897,0.329,3.78,08:28:45.300
232.75,1.878E-03,0.1426,50.010,,10E-03,0.4372,0.4133,0.326,3.79,08:28:45.400
232.80,1.795E-03,0.1351,50.009,,10E-03,0.4179,0.3954,0.323,3.79,08:28:45.500
232.83,1.846E-03,0.1393,50.008,,10E-03,0.4298,0.4066,0.324,3.84,08:28:45.600
232.80,1.783E-03,0.1352,50.008,,10E-03,0.4150,0.3924,0.326,3.84,08:28:45.700
232.71,1.756E-03,0.1318,50.006,,10E-03,0.4086,0.3868,0.323,3.79,08:28:45.800
232.74,1.707E-03,0.1258,50.007,,10E-03,0.3973,0.3769,0.317,3.83,08:28:45.900
232.76,1.887E-03,0.1410,50.007,,10E-03,0.4393,0.4161,0.321,3.86,08:28:46.000
232.77,inf,inf,50.007,,10E-03,inf,inf,inf,3.85,08:28:46.100
nan,nan,nan,nan,,50E-03,nan,nan,nan,nan,08:28:46.200
nan,nan,nan,nan,,50E-03,nan,nan,nan,nan,08:28:46.300
nan,nan,nan,nan,,50E-03,nan,nan,nan,nan,08:28:46.400
232.79,inf,inf,50.009,,50E-03,inf,inf,inf,3.86,08:28:46.500
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,08:28:46.600
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,08:28:46.700
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,08:28:46.800
232.93,29.40E-03,3.177,50.011,,200E-03,6.847,6.066,0.464,3.88,08:28:46.900
232.90,29.04E-03,3.167,50.012,,200E-03,6.763,5.976,0.468,3.92,08:28:47.000
