#Device,HMC8015
#Device Name,
#Date,2018-07-11
#Logging Interval[s],0.100
#Actual Count,559         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
230.70,52.51E-03,6.309,50.000,,100E-03,12.114,10.342,0.521,4.01,15:32:12.000
230.67,52.79E-03,6.316,49.999,,100E-03,12.177,10.411,0.519,4.01,15:32:12.100
230.69,52.71E-03,6.298,50.000,,100E-03,12.161,10.403,0.518,4.02,15:32:12.200
230.68,52.76E-03,6.333,50.001,,100E-03,12.170,10.393,0.520,3.98,15:32:12.300
230.68,52.73E-03,6.322,50.000,,100E-03,12.164,10.393,0.520,4.01,15:32:12.400
230.68,52.66E-03,6.320,50.000,,100E-03,12.148,10.375,0.520,4.01,15:32:12.500
230.66,52.66E-03,6.310,50.000,,100E-03,12.146,10.379,0.520,3.98,15:32:12.600
230.68,52.96E-03,6.320,50.001,,100E-03,12.218,10.456,0.517,3.99,15:32:12.700
230.63,52.88E-03,6.310,49.999,,100E-03,12.196,10.437,0.517,4.04,15:32:12.800
230.63,52.99E-03,6.320,49.998,,100E-03,12.222,10.461,0.517,4.02,15:32:12.900
230.66,52.81E-03,6.321,49.999,,100E-03,12.180,10.412,0.519,4.00,15:32:13.000
230.66,52.73E-03,6.311,50.000,,100E-03,12.162,10.396,0.519,4.02,15:32:13.100
230.67,52.91E-03,6.323,50.000,,100E-03,12.205,10.439,0.518,4.03,15:32:13.200
230.65,52.74E-03,6.317,50.001,,100E-03,12.164,10.395,0.519,4.05,15:32:13.300
230.66,52.97E-03,6.328,50.000,,100E-03,12.218,10.452,0.518,4.01,15:32:13.400
230.66,52.88E-03,6.321,49.999,,100E-03,12.198,10.433,0.518,4.01,15:32:13.500
230.63,53.08E-03,6.318,50.001,,100E-03,12.241,10.485,0.516,4.01,15:32:13.600
230.59,53.03E-03,6.321,50.001,,100E-03,12.229,10.469,0.517,3.99,15:32:13.700
230.62,53.04E-03,6.316,50.002,,100E-03,12.231,10.475,0.516,4.01,15:32:13.800
230.60,52.96E-03,6.315,50.003,,100E-03,12.213,10.454,0.517,4.01,15:32:13.900
230.57,53.07E-03,6.320,50.002,,100E-03,12.236,10.478,0.516,4.01,15:32:14.000
231.03,inf,inf,49.997,,100E-03,inf,inf,inf,4.21,15:32:14.100
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,15:32:14.200
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,15:32:14.300
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,15:32:14.400
231.10,53.46E-03,6.31,49.997,,500E-03,12.36,10.62,0.511,3.81,15:32:14.500
231.12,53.53E-03,6.31,49.997,,500E-03,12.37,10.64,0.510,3.84,15:32:14.600
231.08,53.22E-03,6.30,49.997,,500E-03,12.30,10.56,0.512,3.82,15:32:14.700
231.08,53.21E-03,6.30,49.996,,500E-03,12.30,10.56,0.512,3.85,15:32:14.800
231.08,53.28E-03,6.30,49.995,,500E-03,12.31,10.58,0.511,3.79,15:32:14.900
231.08,53.24E-03,6.30,49.996,,500E-03,12.30,10.57,0.512,3.81,15:32:15.000
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,15:32:15.100
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,15:32:15.200
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,15:32:15.300
231.16,53.12E-03,6.335,50.001,,100E-03,12.279,10.519,0.516,3.80,15:32:15.400
231.15,52.82E-03,6.295,50.000,,100E-03,12.208,10.460,0.516,3.82,15:32:15.500
231.17,52.92E-03,6.331,49.999,,100E-03,12.233,10.467,0.518,3.82,15:32:15.600
231.16,53.29E-03,6.326,49.999,,100E-03,12.320,10.572,0.513,3.81,15:32:15.700
231.13,53.20E-03,6.329,49.999,,100E-03,12.296,10.542,0.515,3.83,15:32:15.800
231.14,53.16E-03,6.324,50.000,,100E-03,12.288,10.536,0.515,3.83,15:32:15.900
231.15,53.31E-03,6.328,49.999,,100E-03,12.322,10.573,0.514,3.82,15:32:16.000
231.13,53.05E-03,6.322,49.998,,100E-03,12.261,10.505,0.516,3.81,15:32:16.100
231.10,53.27E-03,6.318,49.999,,100E-03,12.311,10.566,0.513,3.83,15:32:16.200
231.09,53.49E-03,6.325,49.999,,100E-03,12.362,10.621,0.512,3.83,15:32:16.300
231.12,53.48E-03,6.333,50.000,,100E-03,12.361,10.615,0.512,3.85,15:32:16.400
231.11,53.02E-03,6.331,49.999,,100E-03,12.254,10.492,0.517,3.83,15:32:16.500
231.10,53.20E-03,6.326,50.001,,100E-03,12.294,10.542,0.515,3.85,15:32:16.600
231.07,53.30E-03,6.329,50.001,,100E-03,12.316,10.565,0.514,3.81,15:32:16.700
231.10,53.14E-03,6.328,50.002,,100E-03,12.280,10.524,0.515,3.82,15:32:16.800
231.13,53.26E-03,6.336,50.002,,100E-03,12.310,10.554,0.515,3.81,15:32:16.900
231.17,53.10E-03,6.333,50.003,,100E-03,12.275,10.515,0.516,3.81,15:32:17.000
231.17,52.98E-03,6.321,50.005,,100E-03,12.248,10.491,0.516,3.80,15:32:17.100
231.15,52.99E-03,6.328,50.004,,100E-03,12.249,10.487,0.517,3.84,15:32:17.200
230.97,53.09E-03,6.319,50.006,,100E-03,12.262,10.508,0.515,3.84,15:32:17.300
230.83,52.99E-03,6.301,50.006,,100E-03,12.232,10.485,0.515,3.71,15:32:17.400
230.87,53.29E-03,6.309,50.006,,100E-03,12.304,10.563,0.513,3.90,15:32:17.500
230.92,53.37E-03,6.365,50.005,,100E-03,12.325,10.554,0.516,3.88,15:32:17.600
231.00,53.16E-03,6.335,50.005,,100E-03,12.280,10.520,0.516,3.83,15:32:17.700
231.07,53.19E-03,6.331,50.004,,100E-03,12.291,10.535,0.515,3.84,15:32:17.800
231.10,52.72E-03,6.312,50.004,,100E-03,12.183,10.420,0.518,3.81,15:32:17.900
231.13,53.61E-03,6.357,50.003,,100E-03,12.390,10.635,0.513,3.81,15:32:18.000
231.16,52.66E-03,6.332,50.001,,100E-03,12.173,10.397,0.520,3.80,15:32:18.100
231.18,52.84E-03,6.334,50.001,,100E-03,12.216,10.446,0.519,3.82,15:32:18.200
231.19,52.67E-03,6.323,49.999,,100E-03,12.176,10.406,0.519,3.82,15:32:18.300
231.19,52.77E-03,6.325,49.999,,100E-03,12.200,10.433,0.518,3.83,15:32:18.400
231.14,52.83E-03,6.331,49.998,,100E-03,12.212,10.442,0.518,3.82,15:32:18.500
231.14,52.95E-03,6.336,49.998,,100E-03,12.240,10.473,0.518,3.83,15:32:18.600
231.16,52.93E-03,6.340,49.998,,100E-03,12.237,10.466,0.518,3.80,15:32:18.700
231.19,52.77E-03,6.326,49.998,,100E-03,12.200,10.432,0.519,3.83,15:32:18.800
231.09,52.66E-03,6.317,49.999,,100E-03,12.170,10.402,0.519,3.82,15:32:18.900
231.13,52.89E-03,6.337,49.999,,100E-03,12.225,10.454,0.518,3.78,15:32:19.000
231.12,52.82E-03,6.332,50.001,,100E-03,12.207,10.436,0.519,3.81,15:32:19.100
231.12,52.96E-03,6.335,50.000,,100E-03,12.240,10.473,0.518,3.81,15:32:19.200
231.13,52.65E-03,6.326,50.000,,100E-03,12.168,10.395,0.520,3.82,15:32:19.300
231.15,52.67E-03,6.332,50.001,,100E-03,12.176,10.400,0.520,3.80,15:32:19.400
231.19,52.84E-03,6.340,50.004,,100E-03,12.215,10.440,0.519,3.80,15:32:19.500
231.18,52.84E-03,6.324,50.004,,100E-03,12.216,10.452,0.518,3.82,15:32:19.600
231.15,52.97E-03,6.334,50.003,,100E-03,12.244,10.478,0.517,3.80,15:32:19.700
231.16,52.79E-03,6.328,50.004,,100E-03,12.203,10.434,0.519,3.82,15:32:19.800
231.15,52.96E-03,6.341,50.003,,100E-03,12.241,10.471,0.518,3.81,15:32:19.900
231.12,52.63E-03,6.330,50.004,,100E-03,12.165,10.388,0.520,3.86,15:32:20.000
231.09,52.78E-03,6.339,50.001,,100E-03,12.196,10.420,0.520,3.81,15:32:20.100
231.11,52.85E-03,6.322,50.002,,100E-03,12.215,10.451,0.518,3.81,15:32:20.200
231.16,52.99E-03,6.348,50.002,,100E-03,12.250,10.477,0.518,3.81,15:32:20.300
231.13,52.79E-03,6.328,50.001,,100E-03,12.202,10.433,0.519,3.81,15:32:20.400
231.10,53.08E-03,6.339,49.999,,100E-03,12.267,10.502,0.517,3.84,15:32:20.500
231.09,53.00E-03,6.332,49.999,,100E-03,12.248,10.484,0.517,3.79,15:32:20.600
231.11,53.10E-03,6.341,50.000,,100E-03,12.272,10.508,0.517,3.80,15:32:20.700
231.09,52.81E-03,6.334,50.000,,100E-03,12.204,10.431,0.519,3.82,15:32:20.800
231.08,53.12E-03,6.341,50.000,,100E-03,12.274,10.509,0.517,3.81,15:32:20.900
231.11,53.01E-03,6.338,50.000,,100E-03,12.251,10.484,0.517,3.83,15:32:21.000
231.12,53.06E-03,6.345,50.002,,100E-03,12.262,10.493,0.517,3.81,15:32:21.100
231.07,53.03E-03,6.336,50.001,,100E-03,12.254,10.489,0.517,3.78,15:32:21.200
231.16,52.72E-03,6.345,50.001,,100E-03,12.187,10.405,0.521,3.83,15:32:21.300
231.15,53.13E-03,6.334,50.001,,100E-03,12.282,10.522,0.516,3.82,15:32:21.400
231.17,53.30E-03,6.335,50.001,,100E-03,12.321,10.567,0.514,3.81,15:32:21.500
231.14,53.21E-03,6.343,50.000,,100E-03,12.300,10.538,0.516,3.84,15:32:21.600
231.11,53.10E-03,6.346,49.999,,100E-03,12.272,10.504,0.517,3.81,15:32:21.700
231.12,52.89E-03,6.329,49.999,,100E-03,12.224,10.458,0.518,3.83,15:32:21.800
231.13,53.02E-03,6.337,49.999,,100E-03,12.256,10.490,0.517,3.81,15:32:21.900
231.13,53.19E-03,6.340,49.999,,100E-03,12.293,10.532,0.516,3.83,15:32:22.000
231.12,53.01E-03,6.341,49.999,,100E-03,12.252,10.483,0.518,3.81,15:32:22.100
231.13,52.92E-03,6.341,49.999,,100E-03,12.232,10.460,0.518,3.84,15:32:22.200
231.17,53.00E-03,6.340,50.000,,100E-03,12.251,10.483,0.517,3.82,15:32:22.300
231.14,53.06E-03,6.338,50.000,,100E-03,12.265,10.501,0.517,3.80,15:32:22.400
231.12,53.09E-03,6.341,50.000,,100E-03,12.270,10.505,0.517,3.83,15:32:22.500
231.09,53.33E-03,6.341,49.999,,100E-03,12.323,10.567,0.515,3.84,15:32:22.600
231.09,52.85E-03,6.329,50.001,,100E-03,12.213,10.445,0.518,3.83,15:32:22.700
231.07,53.02E-03,6.353,50.000,,100E-03,12.251,10.475,0.519,3.83,15:32:22.800
231.07,52.87E-03,6.333,50.000,,100E-03,12.216,10.447,0.518,3.84,15:32:22.900
231.04,52.95E-03,6.345,49.999,,100E-03,12.234,10.460,0.519,3.83,15:32:23.000
231.04,53.02E-03,6.336,49.998,,100E-03,12.250,10.484,0.517,3.80,15:32:23.100
231.05,53.15E-03,6.349,49.998,,100E-03,12.280,10.511,0.517,3.82,15:32:23.200
231.09,53.00E-03,6.345,49.999,,100E-03,12.247,10.475,0.518,3.81,15:32:23.300
231.06,53.10E-03,6.346,49.998,,100E-03,12.269,10.500,0.517,3.80,15:32:23.400
231.07,52.90E-03,6.331,49.999,,100E-03,12.224,10.456,0.518,3.83,15:32:23.500
231.06,53.01E-03,6.341,50.000,,100E-03,12.248,10.479,0.518,3.82,15:32:23.600
231.06,53.15E-03,6.337,49.999,,100E-03,12.281,10.520,0.516,3.83,15:32:23.700
231.10,53.24E-03,6.353,49.998,,100E-03,12.304,10.537,0.516,3.83,15:32:23.800
231.10,53.04E-03,6.336,49.997,,100E-03,12.257,10.492,0.517,3.82,15:32:23.900
231.09,53.24E-03,6.353,49.998,,100E-03,12.305,10.537,0.516,3.82,15:32:24.000
231.12,53.12E-03,6.330,49.999,,100E-03,12.276,10.519,0.516,3.82,15:32:24.100
231.08,53.19E-03,6.350,49.999,,100E-03,12.291,10.524,0.517,3.79,15:32:24.200
231.09,53.09E-03,6.334,49.998,,100E-03,12.269,10.507,0.516,3.85,15:32:24.300
231.11,53.26E-03,6.349,49.999,,100E-03,12.310,10.546,0.516,3.83,15:32:24.400
231.11,52.91E-03,6.342,49.997,,100E-03,12.227,10.454,0.519,3.81,15:32:24.500
231.11,53.13E-03,6.341,49.998,,100E-03,12.279,10.515,0.516,3.82,15:32:24.600
231.10,53.09E-03,6.336,49.999,,100E-03,12.270,10.507,0.516,3.82,15:32:24.700
231.11,53.14E-03,6.345,49.999,,100E-03,12.281,10.515,0.517,3.83,15:32:24.800
231.13,52.89E-03,6.340,49.999,,100E-03,12.224,10.451,0.519,3.84,15:32:24.900
231.15,52.95E-03,6.353,49.999,,100E-03,12.238,10.460,0.519,3.79,15:32:25.000
231.15,52.89E-03,6.340,49.999,,100E-03,12.225,10.453,0.519,3.78,15:32:25.100
231.11,53.05E-03,6.337,49.999,,100E-03,12.260,10.495,0.517,3.83,15:32:25.200
231.13,53.23E-03,6.339,49.999,,100E-03,12.304,10.545,0.515,3.80,15:32:25.300
231.15,53.18E-03,6.343,49.998,,100E-03,12.293,10.529,0.516,3.80,15:32:25.400
231.14,52.97E-03,6.352,49.999,,100E-03,12.243,10.466,0.519,3.82,15:32:25.500
231.16,52.94E-03,6.344,49.998,,100E-03,12.238,10.466,0.518,3.80,15:32:25.600
231.17,53.08E-03,6.335,49.998,,100E-03,12.270,10.509,0.516,3.80,15:32:25.700
231.15,53.09E-03,6.334,49.999,,100E-03,12.272,10.510,0.516,3.82,15:32:25.800
231.15,53.04E-03,6.349,49.999,,100E-03,12.259,10.487,0.518,3.79,15:32:25.900
231.18,53.10E-03,6.349,49.999,,100E-03,12.275,10.506,0.517,3.82,15:32:26.000
231.20,53.05E-03,6.343,49.999,,100E-03,12.265,10.498,0.517,3.81,15:32:26.100
231.16,52.95E-03,6.328,49.999,,100E-03,12.240,10.477,0.517,3.79,15:32:26.200
231.11,53.17E-03,6.350,49.999,,100E-03,12.287,10.519,0.517,3.81,15:32:26.300
231.11,53.02E-03,6.342,50.000,,100E-03,12.254,10.486,0.518,3.82,15:32:26.400
231.11,53.09E-03,6.340,50.000,,100E-03,12.270,10.505,0.517,3.78,15:32:26.500
231.13,53.03E-03,6.346,49.999,,100E-03,12.256,10.486,0.518,3.77,15:32:26.600
231.13,53.12E-03,6.348,49.999,,100E-03,12.277,10.509,0.517,3.82,15:32:26.700
231.09,53.01E-03,6.337,49.999,,100E-03,12.250,10.484,0.517,3.81,15:32:26.800
231.06,53.07E-03,6.347,49.999,,100E-03,12.263,10.492,0.518,3.80,15:32:26.900
231.09,53.26E-03,6.350,49.999,,100E-03,12.308,10.543,0.516,3.80,15:32:27.000
231.10,52.97E-03,6.359,49.999,,100E-03,12.242,10.460,0.519,3.80,15:32:27.100
231.11,52.95E-03,6.337,49.999,,100E-03,12.238,10.470,0.518,3.81,15:32:27.200
231.08,52.91E-03,6.342,50.000,,100E-03,12.226,10.453,0.519,3.83,15:32:27.300
231.06,53.08E-03,6.338,50.000,,100E-03,12.266,10.501,0.517,3.82,15:32:27.400
231.04,53.05E-03,6.353,50.001,,100E-03,12.256,10.481,0.518,3.79,15:32:27.500
231.14,53.02E-03,6.348,50.002,,100E-03,12.255,10.483,0.518,3.80,15:32:27.600
231.11,52.91E-03,6.340,50.002,,100E-03,12.228,10.457,0.518,3.82,15:32:27.700
231.12,52.91E-03,6.345,50.002,,100E-03,12.230,10.455,0.519,3.78,15:32:27.800
231.13,53.01E-03,6.349,50.003,,100E-03,12.252,10.479,0.518,3.80,15:32:27.900
231.10,53.09E-03,6.343,50.003,,100E-03,12.268,10.501,0.517,3.84,15:32:28.000
231.09,53.08E-03,6.350,50.003,,100E-03,12.267,10.496,0.518,3.80,15:32:28.100
231.11,53.12E-03,6.349,50.003,,100E-03,12.276,10.506,0.517,3.77,15:32:28.200
231.12,53.28E-03,6.346,50.003,,100E-03,12.314,10.553,0.515,3.79,15:32:28.300
231.11,53.10E-03,6.346,50.002,,100E-03,12.271,10.503,0.517,3.82,15:32:28.400
231.12,53.21E-03,6.357,50.003,,100E-03,12.298,10.528,0.517,3.81,15:32:28.500
231.12,53.08E-03,6.341,50.003,,100E-03,12.269,10.503,0.517,3.81,15:32:28.600
231.14,53.32E-03,6.357,50.003,,100E-03,12.325,10.559,0.516,3.81,15:32:28.700
231.13,53.17E-03,6.348,50.003,,100E-03,12.290,10.523,0.517,3.80,15:32:28.800
231.16,53.10E-03,6.354,50.001,,100E-03,12.275,10.503,0.518,3.81,15:32:28.900
231.16,52.91E-03,6.343,50.001,,100E-03,12.231,10.458,0.519,3.81,15:32:29.000
231.19,52.89E-03,6.341,50.002,,100E-03,12.228,10.456,0.519,3.82,15:32:29.100
231.14,53.05E-03,6.357,50.003,,100E-03,12.262,10.486,0.518,3.81,15:32:29.200
231.19,53.16E-03,6.365,50.004,,100E-03,12.291,10.514,0.518,3.85,15:32:29.300
231.16,53.25E-03,6.352,50.002,,100E-03,12.309,10.543,0.516,3.79,15:32:29.400
231.16,53.18E-03,6.342,49.999,,100E-03,12.294,10.532,0.516,3.79,15:32:29.500
231.17,53.16E-03,6.359,50.000,,100E-03,12.290,10.517,0.517,3.80,15:32:29.600
231.14,53.17E-03,6.352,50.000,,100E-03,12.290,10.521,0.517,3.82,15:32:29.700
231.10,53.07E-03,6.342,49.999,,100E-03,12.266,10.499,0.517,3.82,15:32:29.800
231.10,53.19E-03,6.344,49.999,,100E-03,12.293,10.529,0.516,3.83,15:32:29.900
231.10,53.34E-03,6.359,50.001,,100E-03,12.326,10.559,0.516,3.83,15:32:30.000
231.10,53.10E-03,6.354,50.001,,100E-03,12.272,10.499,0.518,3.83,15:32:30.100
231.11,52.98E-03,6.353,49.999,,100E-03,12.243,10.466,0.519,3.82,15:32:30.200
231.13,53.14E-03,6.344,49.998,,100E-03,12.281,10.516,0.517,3.77,15:32:30.300
231.12,53.24E-03,6.347,50.000,,100E-03,12.305,10.542,0.516,3.80,15:32:30.400
231.10,53.27E-03,6.349,50.002,,100E-03,12.312,10.548,0.516,3.83,15:32:30.500
231.08,53.22E-03,6.359,50.000,,100E-03,12.299,10.527,0.517,3.83,15:32:30.600
231.07,52.94E-03,6.346,50.001,,100E-03,12.234,10.459,0.519,3.82,15:32:30.700
231.07,53.23E-03,6.353,50.002,,100E-03,12.299,10.531,0.517,3.81,15:32:30.800
231.09,53.32E-03,6.350,50.002,,100E-03,12.321,10.558,0.515,3.83,15:32:30.900
