#Device,HMC8015
#Device Name,
#Date,2018-07-10
#Logging Interval[s],0.100
#Actual Count,414         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
229.75,161.98E-03,29.89,49.982,,500E-03,37.21,22.18,0.803,3.70,13:08:53.000
229.75,150.67E-03,27.84,49.982,,500E-03,34.62,20.58,0.804,3.71,13:08:53.100
229.78,149.38E-03,27.76,49.981,,500E-03,34.32,20.19,0.809,3.73,13:08:53.200
229.80,152.22E-03,28.07,49.980,,500E-03,34.98,20.88,0.802,3.74,13:08:53.300
229.78,192.70E-03,36.11,49.981,,500E-03,44.28,25.63,0.815,3.72,13:08:53.400
229.74,220.18E-03,42.50,49.980,,500E-03,50.58,27.43,0.840,3.73,13:08:53.500
229.68,295.66E-03,59.57,49.981,,500E-03,67.91,32.59,0.877,3.72,13:08:53.600
229.69,291.88E-03,59.17,49.982,,500E-03,67.04,31.51,0.883,3.74,13:08:53.700
229.89,154.95E-03,28.83,49.982,,500E-03,35.62,20.92,0.809,3.76,13:08:53.800
229.85,200.97E-03,37.13,49.983,,500E-03,46.19,27.48,0.804,3.75,13:08:53.900
229.71,272.13E-03,54.03,49.983,,500E-03,62.51,31.43,0.864,3.73,13:08:54.000
229.76,235.14E-03,45.03,49.983,,500E-03,54.03,29.86,0.833,3.71,13:08:54.100
229.81,236.58E-03,45.32,49.984,,500E-03,54.37,30.03,0.834,3.72,13:08:54.200
229.76,284.45E-03,57.23,49.984,,500E-03,65.36,31.57,0.876,3.71,13:08:54.300
229.73,294.45E-03,59.65,49.984,,500E-03,67.65,31.90,0.882,3.72,13:08:54.400
229.78,275.36E-03,55.57,49.984,,500E-03,63.27,30.26,0.878,3.73,13:08:54.500
229.85,227.51E-03,45.13,49.983,,500E-03,52.29,26.41,0.863,3.72,13:08:54.600
229.83,203.38E-03,39.74,49.982,,500E-03,46.74,24.61,0.850,3.75,13:08:54.700
229.88,188.02E-03,36.47,49.982,,500E-03,43.22,23.19,0.844,3.74,13:08:54.800
229.84,196.39E-03,38.32,49.982,,500E-03,45.14,23.86,0.849,3.73,13:08:54.900
