#Device,HMC8015
#Device Name,
#Date,2018-07-10
#Logging Interval[s],0.100
#Actual Count,316         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
229.57,61.29E-03,0.379,50.007,,100E-03,14.070,14.065,0.027,3.82,13:10:01.000
229.58,61.29E-03,0.379,50.008,,100E-03,14.071,14.066,0.027,3.81,13:10:01.100
229.64,61.29E-03,0.380,50.007,,100E-03,14.075,14.070,0.027,3.80,13:10:01.200
229.62,62.65E-03,0.701,50.006,,100E-03,14.386,14.369,0.049,3.80,13:10:01.300
229.60,62.05E-03,0.578,50.005,,100E-03,14.246,14.234,0.041,3.80,13:10:01.400
229.65,62.45E-03,0.674,50.004,,100E-03,14.343,14.327,0.047,3.82,13:10:01.500
229.63,62.74E-03,0.752,50.004,,100E-03,14.408,14.388,0.052,3.81,13:10:01.600
229.60,62.76E-03,0.750,50.004,,100E-03,14.409,14.390,0.052,3.81,13:10:01.700
229.58,62.70E-03,0.752,50.003,,100E-03,14.394,14.374,0.052,3.81,13:10:01.800
229.56,62.79E-03,0.758,50.003,,100E-03,14.415,14.395,0.053,3.81,13:10:01.900
229.63,62.74E-03,0.756,50.002,,100E-03,14.407,14.387,0.053,3.83,13:10:02.000
229.58,62.72E-03,0.751,50.001,,100E-03,14.399,14.379,0.052,3.83,13:10:02.100
229.58,62.69E-03,0.754,50.003,,100E-03,14.393,14.374,0.052,3.85,13:10:02.200
229.56,62.71E-03,0.754,50.003,,100E-03,14.395,14.375,0.052,3.83,13:10:02.300
229.58,62.79E-03,0.759,50.002,,100E-03,14.415,14.395,0.053,3.80,13:10:02.400
229.58,64.34E-03,1.539,50.003,,100E-03,14.771,14.691,0.104,3.79,13:10:02.500
229.51,81.45E-03,9.046,50.003,,100E-03,18.695,16.361,0.484,3.81,13:10:02.600
229.50,91.41E-03,12.035,50.003,,100E-03,20.978,17.182,0.574,3.82,13:10:02.700
229.46,114.77E-03,19.119,50.003,,100E-03,26.334,18.109,0.726,3.80,13:10:02.800
