#Device,HMC8015
#Device Name,
#Date,2018-07-10
#Logging Interval[s],0.100
#Actual Count,379         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
228.99,114.33E-03,17.238,49.990,,200E-03,26.179,19.703,0.658,4.06,13:07:24.000
228.99,112.76E-03,16.674,49.991,,200E-03,25.820,19.714,0.646,4.06,13:07:24.100
228.99,112.67E-03,16.555,49.990,,200E-03,25.802,19.790,0.642,4.05,13:07:24.200
228.99,113.20E-03,16.697,49.990,,200E-03,25.921,19.827,0.644,4.05,13:07:24.300
228.93,113.06E-03,16.686,49.989,,200E-03,25.884,19.788,0.645,4.08,13:07:24.400
228.89,113.04E-03,16.650,49.990,,200E-03,25.873,19.804,0.644,4.07,13:07:24.500
228.91,113.37E-03,16.772,49.992,,200E-03,25.951,19.803,0.646,4.07,13:07:24.600
228.96,113.05E-03,16.659,49.991,,200E-03,25.885,19.812,0.644,4.06,13:07:24.700
228.94,113.87E-03,16.882,49.991,,200E-03,26.070,19.866,0.648,4.07,13:07:24.800
228.94,114.32E-03,17.094,49.991,,200E-03,26.174,19.820,0.653,4.09,13:07:24.900
228.96,113.45E-03,16.750,49.990,,200E-03,25.976,19.854,0.645,4.11,13:07:25.000
228.97,113.20E-03,16.692,49.990,,200E-03,25.919,19.829,0.644,4.10,13:07:25.100
228.98,113.37E-03,16.732,49.990,,200E-03,25.960,19.848,0.645,4.08,13:07:25.200
228.98,114.00E-03,16.915,49.991,,200E-03,26.103,19.880,0.648,4.06,13:07:25.300
228.96,113.34E-03,16.732,49.991,,200E-03,25.951,19.837,0.645,4.03,13:07:25.400
228.91,113.52E-03,16.849,49.990,,200E-03,25.987,19.784,0.648,4.03,13:07:25.500
228.86,113.18E-03,16.734,49.988,,200E-03,25.903,19.773,0.646,4.09,13:07:25.600
228.89,113.34E-03,16.717,49.989,,200E-03,25.942,19.838,0.644,4.07,13:07:25.700
228.91,112.99E-03,16.668,49.989,,200E-03,25.864,19.778,0.644,4.08,13:07:25.800
228.93,113.61E-03,16.795,49.989,,200E-03,26.008,19.859,0.646,4.05,13:07:25.900
228.98,113.73E-03,16.866,49.989,,200E-03,26.042,19.843,0.648,4.05,13:07:26.000
229.01,113.24E-03,16.649,49.990,,200E-03,25.933,19.884,0.642,4.06,13:07:26.100
229.01,113.10E-03,16.706,49.990,,200E-03,25.900,19.792,0.645,4.07,13:07:26.200
228.98,113.17E-03,16.703,49.990,,200E-03,25.914,19.813,0.645,4.05,13:07:26.300
228.98,112.51E-03,16.490,49.989,,200E-03,25.763,19.795,0.640,4.05,13:07:26.400
228.96,112.47E-03,16.451,49.989,,200E-03,25.753,19.814,0.639,4.05,13:07:26.500
228.96,113.20E-03,16.794,49.990,,200E-03,25.918,19.742,0.648,4.04,13:07:26.600
228.95,113.35E-03,16.765,49.990,,200E-03,25.952,19.810,0.646,4.04,13:07:26.700
228.94,112.88E-03,16.539,49.989,,200E-03,25.842,19.856,0.640,4.05,13:07:26.800
228.96,113.34E-03,16.733,49.991,,200E-03,25.951,19.836,0.645,4.02,13:07:26.900
228.96,112.81E-03,16.549,49.991,,200E-03,25.829,19.831,0.641,4.07,13:07:27.000
228.91,113.32E-03,16.776,49.990,,200E-03,25.942,19.788,0.647,4.06,13:07:27.100
228.90,113.40E-03,16.788,49.990,,200E-03,25.956,19.796,0.647,4.04,13:07:27.200
228.89,113.11E-03,16.651,49.987,,200E-03,25.889,19.825,0.643,4.06,13:07:27.300
228.96,113.00E-03,16.598,49.986,,200E-03,25.873,19.847,0.642,4.06,13:07:27.400
228.96,112.91E-03,16.620,49.988,,200E-03,25.852,19.801,0.643,4.05,13:07:27.500
228.98,113.28E-03,16.667,49.988,,200E-03,25.938,19.874,0.643,4.08,13:07:27.600
228.94,113.10E-03,16.633,49.988,,200E-03,25.894,19.846,0.642,4.04,13:07:27.700
228.94,114.08E-03,17.028,49.990,,200E-03,26.118,19.803,0.652,4.02,13:07:27.800
228.95,112.29E-03,16.435,49.989,,200E-03,25.709,19.770,0.639,4.05,13:07:27.900
228.91,112.45E-03,16.432,49.987,,200E-03,25.740,19.813,0.638,4.05,13:07:28.000
228.95,112.91E-03,16.588,49.987,,200E-03,25.850,19.826,0.642,4.07,13:07:28.100
228.97,112.72E-03,16.540,49.987,,200E-03,25.811,19.814,0.641,4.09,13:07:28.200
228.96,113.14E-03,16.732,49.990,,200E-03,25.905,19.777,0.646,4.06,13:07:28.300
228.97,112.98E-03,16.630,49.992,,200E-03,25.869,19.815,0.643,4.04,13:07:28.400
228.92,112.65E-03,16.523,49.991,,200E-03,25.789,19.800,0.641,4.04,13:07:28.500
228.89,112.76E-03,16.532,49.989,,200E-03,25.811,19.822,0.641,4.07,13:07:28.600
228.84,112.54E-03,16.539,49.988,,200E-03,25.754,19.741,0.642,4.09,13:07:28.700
228.90,112.66E-03,16.523,49.986,,200E-03,25.788,19.799,0.641,4.07,13:07:28.800
228.90,114.09E-03,16.942,49.986,,200E-03,26.116,19.875,0.649,4.05,13:07:28.900
228.90,113.22E-03,16.669,49.986,,200E-03,25.916,19.845,0.643,4.04,13:07:29.000
228.83,113.61E-03,16.853,49.986,,200E-03,25.997,19.795,0.648,4.07,13:07:29.100
228.83,112.10E-03,16.350,49.986,,200E-03,25.651,19.764,0.637,4.07,13:07:29.200
228.82,112.73E-03,16.566,49.985,,200E-03,25.795,19.772,0.642,4.03,13:07:29.300
228.86,113.15E-03,16.632,49.984,,200E-03,25.896,19.848,0.642,4.04,13:07:29.400
228.85,112.36E-03,16.435,49.985,,200E-03,25.713,19.775,0.639,4.06,13:07:29.500
228.88,114.28E-03,17.109,49.986,,200E-03,26.157,19.785,0.654,4.05,13:07:29.600
228.89,113.03E-03,16.657,49.987,,200E-03,25.870,19.794,0.644,4.05,13:07:29.700
228.89,113.13E-03,16.696,49.984,,200E-03,25.894,19.792,0.645,4.06,13:07:29.800
228.90,113.18E-03,16.694,49.985,,200E-03,25.908,19.812,0.644,4.03,13:07:29.900
228.94,113.22E-03,16.671,49.984,,200E-03,25.921,19.849,0.643,4.04,13:07:30.000
228.95,113.29E-03,16.684,49.984,,200E-03,25.937,19.859,0.643,4.02,13:07:30.100
228.90,113.58E-03,16.856,49.986,,200E-03,25.999,19.794,0.648,4.00,13:07:30.200
228.81,113.10E-03,16.698,49.986,,200E-03,25.878,19.770,0.645,4.03,13:07:30.300
228.87,114.84E-03,17.261,49.985,,200E-03,26.282,19.819,0.657,4.02,13:07:30.400
228.85,113.07E-03,16.661,49.983,,200E-03,25.875,19.796,0.644,4.01,13:07:30.500
228.86,113.03E-03,16.650,49.984,,200E-03,25.868,19.797,0.644,4.04,13:07:30.600
228.82,113.14E-03,16.648,49.984,,200E-03,25.888,19.825,0.643,4.01,13:07:30.700
228.84,113.29E-03,16.701,49.986,,200E-03,25.926,19.830,0.644,4.01,13:07:30.800
228.83,113.15E-03,16.643,49.985,,200E-03,25.893,19.835,0.643,4.01,13:07:30.900
228.81,113.33E-03,16.679,49.985,,200E-03,25.932,19.856,0.643,4.02,13:07:31.000
228.82,113.26E-03,16.670,49.985,,200E-03,25.917,19.844,0.643,4.05,13:07:31.100
228.80,113.63E-03,16.822,49.983,,200E-03,25.998,19.822,0.647,4.04,13:07:31.200
228.82,113.22E-03,16.717,49.983,,200E-03,25.908,19.793,0.645,4.01,13:07:31.300
228.82,113.57E-03,16.804,49.984,,200E-03,25.987,19.822,0.647,4.04,13:07:31.400
228.83,113.08E-03,16.658,49.984,,200E-03,25.875,19.800,0.644,4.02,13:07:31.500
228.83,113.22E-03,16.676,49.982,,200E-03,25.907,19.826,0.644,4.04,13:07:31.600
228.85,113.25E-03,16.691,49.983,,200E-03,25.916,19.826,0.644,4.05,13:07:31.700
228.85,113.85E-03,16.876,49.983,,200E-03,26.054,19.849,0.648,4.03,13:07:31.800
228.68,112.98E-03,16.593,49.984,,200E-03,25.836,19.803,0.642,4.16,13:07:31.900
228.61,113.10E-03,16.686,49.984,,200E-03,25.855,19.751,0.645,3.87,13:07:32.000
228.64,113.06E-03,16.661,49.983,,200E-03,25.850,19.765,0.645,4.12,13:07:32.100
228.72,113.99E-03,17.000,49.983,,200E-03,26.072,19.767,0.652,4.04,13:07:32.200
228.81,113.44E-03,16.760,49.983,,200E-03,25.956,19.819,0.646,4.05,13:07:32.300
228.87,113.30E-03,16.776,49.982,,200E-03,25.930,19.771,0.647,4.01,13:07:32.400
228.95,113.92E-03,16.881,49.982,,200E-03,26.082,19.882,0.647,4.04,13:07:32.500
228.94,113.14E-03,16.700,49.982,,200E-03,25.901,19.798,0.645,4.05,13:07:32.600
229.00,113.10E-03,16.688,49.981,,200E-03,25.901,19.808,0.644,4.04,13:07:32.700
