#Device,HMC8015
#Device Name,
#Date,2018-07-11
#Logging Interval[s],0.100
#Actual Count,289         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
230.84,9.613E-03,0.6804,50.010,,20E-03,2.2192,2.1123,0.307,3.97,15:37:46.000
230.87,9.645E-03,0.6837,50.009,,20E-03,2.2269,2.1193,0.307,3.98,15:37:46.100
230.91,10.003E-03,0.6817,50.008,,20E-03,2.3099,2.2070,0.295,3.99,15:37:46.200
230.93,9.568E-03,0.6781,50.009,,20E-03,2.2096,2.1029,0.307,3.96,15:37:46.300
230.92,9.684E-03,0.6843,50.012,,20E-03,2.2362,2.1289,0.306,3.97,15:37:46.400
230.91,9.776E-03,0.6851,50.010,,20E-03,2.2573,2.1508,0.304,3.92,15:37:46.500
230.91,9.596E-03,0.6797,50.010,,20E-03,2.2159,2.1091,0.307,3.94,15:37:46.600
230.89,9.608E-03,0.6781,50.011,,20E-03,2.2185,2.1124,0.306,3.96,15:37:46.700
230.88,9.631E-03,0.6824,50.012,,20E-03,2.2237,2.1164,0.307,3.95,15:37:46.800
230.90,9.712E-03,0.6860,50.010,,20E-03,2.2424,2.1349,0.306,3.95,15:37:46.900
230.89,9.744E-03,0.6840,50.010,,20E-03,2.2497,2.1433,0.304,3.95,15:37:47.000
230.91,9.981E-03,0.6810,50.011,,20E-03,2.3047,2.2018,0.295,3.96,15:37:47.100
230.90,9.683E-03,0.6791,50.011,,20E-03,2.2358,2.1301,0.304,3.94,15:37:47.200
230.87,9.612E-03,0.6798,50.010,,20E-03,2.2191,2.1124,0.306,3.93,15:37:47.300
230.90,9.632E-03,0.6867,50.009,,20E-03,2.2240,2.1153,0.309,3.93,15:37:47.400
230.90,9.607E-03,0.6833,50.008,,20E-03,2.2182,2.1104,0.308,3.95,15:37:47.500
230.91,9.584E-03,0.6785,50.008,,20E-03,2.2131,2.1065,0.307,3.93,15:37:47.600
230.90,9.632E-03,0.6828,50.007,,20E-03,2.2240,2.1166,0.307,3.89,15:37:47.700
230.87,9.627E-03,0.6801,50.006,,20E-03,2.2225,2.1159,0.306,3.92,15:37:47.800
230.88,inf,inf,50.008,,20E-03,inf,inf,inf,3.96,15:37:47.900
nan,nan,nan,nan,,20,nan,nan,nan,nan,15:37:48.000
nan,nan,nan,nan,,20,nan,nan,nan,nan,15:37:48.100
nan,nan,nan,nan,,20,nan,nan,nan,nan,15:37:48.200
230.06,2.672,0.1619E+03,49.989,,20,0.6147E+03,0.5930E+03,0.263,3.96,15:37:48.300
230.07,2.671,0.1592E+03,49.987,,20,0.6145E+03,0.5936E+03,0.259,3.97,15:37:48.400
227.44,2.750,0.1636E+03,49.988,,20,0.6254E+03,0.6036E+03,0.262,3.94,15:37:48.500
230.10,2.672,0.1564E+03,49.986,,20,0.6148E+03,0.5946E+03,0.254,3.93,15:37:48.600
230.18,2.675,0.1532E+03,49.987,,20,0.6158E+03,0.5964E+03,0.249,3.94,15:37:48.700
230.14,2.672,0.1517E+03,49.986,,20,0.6150E+03,0.5960E+03,0.247,3.99,15:37:48.800
nan,nan,nan,nan,,5,nan,nan,nan,nan,15:37:48.900
nan,nan,nan,nan,,5,nan,nan,nan,nan,15:37:49.000
nan,nan,nan,nan,,5,nan,nan,nan,nan,15:37:49.100
230.12,2.6635,0.1449E+03,50.003,,5,0.6129E+03,0.5956E+03,0.236,4.01,15:37:49.200
230.11,2.6604,0.1438E+03,50.004,,5,0.6122E+03,0.5951E+03,0.235,4.01,15:37:49.300
230.13,2.6626,0.1435E+03,50.005,,5,0.6127E+03,0.5957E+03,0.234,3.99,15:37:49.400
230.14,2.6615,0.1429E+03,50.005,,5,0.6125E+03,0.5956E+03,0.233,3.99,15:37:49.500
230.12,2.6603,0.1429E+03,50.007,,5,0.6122E+03,0.5953E+03,0.233,3.99,15:37:49.600
230.15,2.6630,0.1440E+03,50.008,,5,0.6129E+03,0.5958E+03,0.235,3.99,15:37:49.700
230.13,2.6633,0.1503E+03,50.008,,5,0.6129E+03,0.5942E+03,0.245,3.93,15:37:49.800
229.99,2.6631,0.1663E+03,50.010,,5,0.6125E+03,0.5895E+03,0.271,3.95,15:37:49.900
229.91,2.6659,0.1786E+03,50.010,,5,0.6129E+03,0.5863E+03,0.291,3.98,15:37:50.000
229.82,2.6791,0.1981E+03,50.011,,5,0.6157E+03,0.5830E+03,0.322,3.93,15:37:50.100
229.77,2.7054,0.2217E+03,50.010,,5,0.6216E+03,0.5807E+03,0.357,3.94,15:37:50.200
229.34,2.8032,0.3053E+03,50.007,,5,0.6429E+03,0.5658E+03,0.475,3.92,15:37:50.300
229.22,2.8658,0.3394E+03,50.007,,5,0.6569E+03,0.5624E+03,0.517,3.93,15:37:50.400
229.08,2.9361,0.3703E+03,50.007,,5,0.6726E+03,0.5615E+03,0.551,3.96,15:37:50.500
228.73,3.1465,0.4468E+03,50.005,,5,0.7197E+03,0.5643E+03,0.621,4.01,15:37:50.600
226.22,4.9924,0.9545E+03,49.996,,5,1.1294E+03,0.6036E+03,0.845,4.12,15:37:50.700
224.67,5.8928,1.2703E+03,49.998,,5,1.3239E+03,0.3732E+03,0.959,4.05,15:37:50.800
224.71,5.8693,1.2667E+03,49.997,,5,1.3189E+03,0.3672E+03,0.960,4.03,15:37:50.900
224.77,5.8617,1.2662E+03,49.995,,5,1.3175E+03,0.3639E+03,0.961,4.02,15:37:51.000
224.72,5.8544,1.2655E+03,49.996,,5,1.3156E+03,0.3598E+03,0.962,4.02,15:37:51.100
224.70,5.8472,1.2641E+03,49.998,,5,1.3139E+03,0.3581E+03,0.962,4.04,15:37:51.200
224.71,5.8471,1.2643E+03,50.001,,5,1.3139E+03,0.3576E+03,0.962,4.05,15:37:51.300
