#Device,HMC8015
#Device Name,
#Date,2018-07-10
#Logging Interval[s],0.100
#Actual Count,4498        
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
232.18,1.1398E-03,0.2605,50.005,,5E-03,0.2647,0.0468,0.984,3.18,14:49:30.000
232.23,1.1401E-03,0.2606,50.004,,5E-03,0.2648,0.0468,0.984,3.20,14:49:30.100
232.21,1.1401E-03,0.2606,50.005,,5E-03,0.2647,0.0468,0.984,3.17,14:49:30.200
232.15,1.1397E-03,0.2604,50.007,,5E-03,0.2646,0.0468,0.984,3.18,14:49:30.300
232.14,1.1395E-03,0.2604,50.007,,5E-03,0.2645,0.0468,0.984,3.18,14:49:30.400
232.14,1.1395E-03,0.2604,50.007,,5E-03,0.2645,0.0467,0.984,3.19,14:49:30.500
232.13,1.1395E-03,0.2604,50.007,,5E-03,0.2645,0.0468,0.984,3.17,14:49:30.600
232.16,1.1398E-03,0.2604,50.007,,5E-03,0.2646,0.0468,0.984,3.21,14:49:30.700
232.07,1.1390E-03,0.2602,50.006,,5E-03,0.2643,0.0468,0.984,3.17,14:49:30.800
232.06,1.1390E-03,0.2602,50.006,,5E-03,0.2643,0.0468,0.984,3.20,14:49:30.900
232.06,1.1390E-03,0.2601,50.008,,5E-03,0.2643,0.0468,0.984,3.15,14:49:31.000
232.08,1.1392E-03,0.2602,50.007,,5E-03,0.2644,0.0468,0.984,3.18,14:49:31.100
232.08,1.1392E-03,0.2602,50.006,,5E-03,0.2644,0.0468,0.984,3.17,14:49:31.200
nan,nan,nan,nan,,20,nan,nan,nan,nan,14:49:31.300
nan,nan,nan,nan,,20,nan,nan,nan,nan,14:49:31.400
nan,nan,nan,nan,,20,nan,nan,nan,nan,14:49:31.500
225.73,6.232,1.4067E+03,50.009,,20,1.4067E+03,0.0005E+03,1.000,3.15,14:49:31.600
225.71,6.233,1.4068E+03,50.009,,20,1.4068E+03,0.0009E+03,1.000,3.19,14:49:31.700
225.69,6.236,1.4074E+03,50.009,,20,1.4074E+03,0.0010E+03,1.000,3.18,14:49:31.800
225.67,6.238,1.4077E+03,50.008,,20,1.4077E+03,0.0005E+03,1.000,3.21,14:49:31.900
225.67,6.238,1.4078E+03,50.008,,20,1.4078E+03,0.0006E+03,1.000,3.19,14:49:32.000
225.68,6.239,1.4080E+03,50.008,,20,1.4080E+03,0.0005E+03,1.000,3.21,14:49:32.100
225.67,6.239,1.4079E+03,50.008,,20,1.4079E+03,0.0006E+03,1.000,3.18,14:49:32.200
nan,nan,nan,nan,,10,nan,nan,nan,nan,14:49:32.300
nan,nan,nan,nan,,10,nan,nan,nan,nan,14:49:32.400
nan,nan,nan,nan,,10,nan,nan,nan,nan,14:49:32.500
225.68,6.239,1.4081E+03,50.004,,10,1.4081E+03,0.0005E+03,1.000,3.17,14:49:32.600
225.71,6.240,1.4085E+03,50.005,,10,1.4085E+03,,1.000,3.18,14:49:32.700
225.73,6.241,1.4088E+03,50.005,,10,1.4088E+03,0.0006E+03,1.000,3.17,14:49:32.800
225.75,6.242,1.4091E+03,50.005,,10,1.4091E+03,0.0006E+03,1.000,3.19,14:49:32.900
225.73,6.242,1.4089E+03,50.004,,10,1.4089E+03,0.0009E+03,1.000,3.16,14:49:33.000
225.65,6.239,1.4079E+03,50.004,,10,1.4079E+03,0.0006E+03,1.000,3.21,14:49:33.100
225.70,6.241,1.4085E+03,50.005,,10,1.4085E+03,0.0006E+03,1.000,3.20,14:49:33.200
225.72,6.241,1.4087E+03,50.005,,10,1.4087E+03,0.0006E+03,1.000,3.21,14:49:33.300
225.64,6.239,1.4077E+03,50.005,,10,1.4077E+03,0.0006E+03,1.000,3.19,14:49:33.400
225.67,6.239,1.4079E+03,50.005,,10,1.4079E+03,,1.000,3.23,14:49:33.500
225.66,6.237,1.4074E+03,50.005,,10,1.4074E+03,0.0006E+03,1.000,3.24,14:49:33.600
225.68,6.237,1.4076E+03,50.004,,10,1.4076E+03,0.0005E+03,1.000,3.20,14:49:33.700
225.70,6.238,1.4079E+03,50.004,,10,1.4079E+03,,1.000,3.24,14:49:33.800
225.72,6.239,1.4082E+03,50.005,,10,1.4082E+03,,1.000,3.22,14:49:33.900
225.69,6.238,1.4078E+03,50.007,,10,1.4078E+03,0.0006E+03,1.000,3.22,14:49:34.000
225.65,6.237,1.4073E+03,50.007,,10,1.4073E+03,,1.000,3.21,14:49:34.100
225.67,6.237,1.4075E+03,50.007,,10,1.4075E+03,,1.000,3.25,14:49:34.200
225.71,6.239,1.4081E+03,50.007,,10,1.4081E+03,0.0006E+03,1.000,3.20,14:49:34.300
225.69,6.238,1.4079E+03,50.006,,10,1.4079E+03,0.0006E+03,1.000,3.21,14:49:34.400
225.65,6.237,1.4075E+03,50.006,,10,1.4075E+03,,1.000,3.22,14:49:34.500
225.66,6.238,1.4076E+03,50.005,,10,1.4076E+03,0.0006E+03,1.000,3.22,14:49:34.600
225.68,6.238,1.4078E+03,50.006,,10,1.4078E+03,,1.000,3.26,14:49:34.700
225.71,6.239,1.4082E+03,50.006,,10,1.4082E+03,0.0009E+03,1.000,3.26,14:49:34.800
225.68,6.238,1.4079E+03,50.005,,10,1.4079E+03,0.0006E+03,1.000,3.24,14:49:34.900
225.68,6.238,1.4079E+03,50.005,,10,1.4079E+03,,1.000,3.26,14:49:35.000
225.66,6.238,1.4077E+03,50.005,,10,1.4077E+03,,1.000,3.29,14:49:35.100
225.65,6.238,1.4076E+03,50.004,,10,1.4076E+03,0.0006E+03,1.000,3.27,14:49:35.200
225.68,6.239,1.4079E+03,50.003,,10,1.4079E+03,0.0006E+03,1.000,3.22,14:49:35.300
225.69,6.239,1.4081E+03,50.005,,10,1.4081E+03,0.0005E+03,1.000,3.24,14:49:35.400
225.67,6.238,1.4078E+03,50.004,,10,1.4078E+03,0.0006E+03,1.000,3.24,14:49:35.500
225.66,6.238,1.4078E+03,50.004,,10,1.4078E+03,0.0006E+03,1.000,3.20,14:49:35.600
225.68,6.239,1.4080E+03,50.002,,10,1.4080E+03,0.0005E+03,1.000,3.21,14:49:35.700
225.68,6.239,1.4079E+03,50.001,,10,1.4079E+03,0.0005E+03,1.000,3.19,14:49:35.800
