#Device,HMC8015
#Device Name,
#Date,2018-07-10
#Logging Interval[s],0.100
#Actual Count,138         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
232.73,46.96E-03,0.068,50.002,,100E-03,10.930,10.930,0.006,3.96,16:20:56.000
232.73,46.95E-03,0.068,50.002,,100E-03,10.927,10.927,0.006,3.97,16:20:56.100
232.72,46.94E-03,0.069,50.002,,100E-03,10.923,10.923,0.006,3.93,16:20:56.200
232.71,46.94E-03,0.068,50.001,,100E-03,10.922,10.922,0.006,3.92,16:20:56.300
232.74,46.95E-03,0.068,50.003,,100E-03,10.926,10.926,0.006,3.94,16:20:56.400
232.71,46.93E-03,0.068,50.004,,100E-03,10.921,10.921,0.006,3.94,16:20:56.500
232.78,46.91E-03,0.069,50.003,,100E-03,10.920,10.920,0.006,3.90,16:20:56.600
232.67,46.91E-03,0.068,50.002,,100E-03,10.916,10.915,0.006,3.92,16:20:56.700
232.71,46.92E-03,0.068,50.003,,100E-03,10.920,10.919,0.006,3.93,16:20:56.800
232.69,46.90E-03,0.069,49.992,,100E-03,10.913,10.912,0.006,3.94,16:20:56.900
232.65,46.89E-03,0.068,49.991,,100E-03,10.909,10.909,0.006,3.93,16:20:57.000
232.70,46.88E-03,0.069,49.991,,100E-03,10.910,10.909,0.006,3.91,16:20:57.100
232.71,46.88E-03,0.068,49.990,,100E-03,10.911,10.910,0.006,3.92,16:20:57.200
232.74,46.89E-03,0.069,49.991,,100E-03,10.912,10.912,0.006,3.92,16:20:57.300
232.73,46.88E-03,0.069,49.989,,100E-03,10.909,10.909,0.006,3.90,16:20:57.400
232.74,46.89E-03,0.069,49.988,,100E-03,10.913,10.913,0.006,3.90,16:20:57.500
nan,nan,nan,nan,,20,nan,nan,nan,nan,16:20:57.600
nan,nan,nan,nan,,20,nan,nan,nan,nan,16:20:57.700
nan,nan,nan,nan,,20,nan,nan,nan,nan,16:20:57.800
232.66,0.070,0.0036E+03,49.987,,20,0.0164E+03,0.0159E+03,0.222,3.94,16:20:57.900
232.67,0.061,0.0035E+03,49.987,,20,0.0141E+03,0.0136E+03,0.247,3.94,16:20:58.000
232.67,0.057,0.0030E+03,49.986,,20,0.0132E+03,0.0129E+03,0.229,3.93,16:20:58.100
232.63,0.058,0.0031E+03,49.987,,20,0.0134E+03,0.0130E+03,0.234,3.93,16:20:58.200
232.64,0.057,0.0032E+03,49.987,,20,0.0134E+03,0.0130E+03,0.238,3.94,16:20:58.300
232.61,0.057,0.0031E+03,49.988,,20,0.0134E+03,0.0130E+03,0.233,3.94,16:20:58.400
232.58,0.058,0.0032E+03,49.988,,20,0.0134E+03,0.0130E+03,0.235,3.95,16:20:58.500
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,16:20:58.600
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,16:20:58.700
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,16:20:58.800
232.57,58.29E-03,3.228,49.989,,100E-03,13.555,13.165,0.238,3.94,16:20:58.900
232.55,56.66E-03,3.028,49.989,,100E-03,13.175,12.823,0.230,3.97,16:20:59.000
232.53,58.39E-03,3.192,49.989,,100E-03,13.576,13.196,0.235,3.99,16:20:59.100
232.59,57.56E-03,3.049,49.989,,100E-03,13.389,13.037,0.228,3.99,16:20:59.200
232.60,57.54E-03,3.066,49.988,,100E-03,13.383,13.027,0.229,3.96,16:20:59.300
232.59,57.82E-03,3.156,49.987,,100E-03,13.448,13.073,0.235,3.94,16:20:59.400
232.55,57.63E-03,3.089,49.988,,100E-03,13.401,13.040,0.231,3.95,16:20:59.500
232.59,58.31E-03,3.174,49.989,,100E-03,13.563,13.187,0.234,3.96,16:20:59.600
232.58,57.47E-03,3.036,49.990,,100E-03,13.366,13.017,0.227,3.92,16:20:59.700
232.60,57.76E-03,3.126,49.990,,100E-03,13.434,13.066,0.233,3.95,16:20:59.800
232.60,57.31E-03,3.015,49.991,,100E-03,13.331,12.986,0.226,3.96,16:20:59.900
232.60,57.84E-03,3.072,49.991,,100E-03,13.453,13.098,0.228,3.97,16:21:00.000
232.61,57.88E-03,3.056,49.992,,100E-03,13.464,13.112,0.227,3.94,16:21:00.100
232.60,57.44E-03,2.995,49.991,,100E-03,13.361,13.021,0.224,3.94,16:21:00.200
232.61,57.33E-03,2.957,49.992,,100E-03,13.336,13.004,0.222,3.96,16:21:00.300
232.59,58.56E-03,3.157,49.994,,100E-03,13.621,13.250,0.232,3.98,16:21:00.400
232.61,57.72E-03,3.117,49.993,,100E-03,13.426,13.060,0.232,3.94,16:21:00.500
232.65,57.50E-03,3.046,49.992,,100E-03,13.377,13.026,0.228,3.93,16:21:00.600
232.60,58.03E-03,3.053,49.992,,100E-03,13.497,13.147,0.226,3.93,16:21:00.700
232.58,57.83E-03,3.081,49.992,,100E-03,13.450,13.092,0.229,3.94,16:21:00.800
232.60,57.03E-03,2.951,49.992,,100E-03,13.265,12.933,0.222,3.96,16:21:00.900
232.60,57.29E-03,2.973,49.992,,100E-03,13.326,12.990,0.223,3.95,16:21:01.000
232.62,89.50E-03,8.574,49.992,,100E-03,20.820,18.973,0.412,3.94,16:21:01.100
232.59,103.66E-03,10.543,49.992,,100E-03,24.110,21.683,0.437,3.95,16:21:01.200
232.59,104.35E-03,10.570,49.991,,100E-03,24.271,21.848,0.436,3.94,16:21:01.300
