#Device,HMC8015
#Device Name,
#Date,2018-07-10
#Logging Interval[s],0.100
#Actual Count,375         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
232.30,171.74E-03,32.348,50.006,,200E-03,39.894,23.349,0.811,4.07,16:22:07.000
232.28,171.01E-03,32.174,50.004,,200E-03,39.721,23.293,0.810,4.08,16:22:07.100
232.29,171.37E-03,32.267,50.004,,200E-03,39.808,23.314,0.811,4.05,16:22:07.200
232.29,171.67E-03,32.325,49.999,,200E-03,39.878,23.353,0.811,4.14,16:22:07.300
232.27,171.57E-03,32.322,49.999,,200E-03,39.850,23.309,0.811,4.11,16:22:07.400
232.26,170.93E-03,32.158,49.999,,200E-03,39.701,23.281,0.810,4.06,16:22:07.500
232.23,171.35E-03,32.261,50.002,,200E-03,39.791,23.294,0.811,4.11,16:22:07.600
232.19,171.72E-03,32.338,50.001,,200E-03,39.871,23.322,0.811,4.10,16:22:07.700
232.21,171.65E-03,32.332,50.002,,200E-03,39.859,23.310,0.811,4.10,16:22:07.800
232.21,171.03E-03,32.187,50.001,,200E-03,39.714,23.264,0.810,4.08,16:22:07.900
232.21,171.30E-03,32.253,50.002,,200E-03,39.777,23.281,0.811,4.09,16:22:08.000
232.19,171.74E-03,32.336,50.004,,200E-03,39.878,23.337,0.811,4.04,16:22:08.100
232.23,171.63E-03,32.339,50.004,,200E-03,39.857,23.297,0.811,4.07,16:22:08.200
232.24,170.99E-03,32.179,50.009,,200E-03,39.711,23.270,0.810,4.07,16:22:08.300
232.27,171.41E-03,32.256,50.008,,200E-03,39.812,23.336,0.810,4.05,16:22:08.400
232.27,171.75E-03,32.335,50.007,,200E-03,39.891,23.360,0.811,4.09,16:22:08.500
232.27,171.63E-03,32.325,50.005,,200E-03,39.865,23.330,0.811,4.10,16:22:08.600
232.24,170.97E-03,32.163,50.006,,200E-03,39.705,23.281,0.810,4.10,16:22:08.700
232.26,171.38E-03,32.267,50.006,,200E-03,39.805,23.309,0.811,4.10,16:22:08.800
232.29,171.67E-03,32.335,50.006,,200E-03,39.877,23.337,0.811,4.10,16:22:08.900
232.27,171.59E-03,32.328,50.006,,200E-03,39.856,23.311,0.811,4.11,16:22:09.000
232.34,171.00E-03,32.170,50.005,,200E-03,39.729,23.312,0.810,4.09,16:22:09.100
232.35,171.27E-03,32.246,50.005,,200E-03,39.794,23.318,0.810,4.09,16:22:09.200
232.33,171.77E-03,32.347,50.005,,200E-03,39.907,23.371,0.811,4.08,16:22:09.300
232.31,171.65E-03,32.330,50.006,,200E-03,39.876,23.342,0.811,4.07,16:22:09.400
232.28,170.96E-03,32.173,50.007,,200E-03,39.709,23.276,0.810,4.06,16:22:09.500
232.24,171.39E-03,32.260,50.005,,200E-03,39.804,23.317,0.810,4.03,16:22:09.600
232.22,171.73E-03,32.332,50.005,,200E-03,39.878,23.344,0.811,4.05,16:22:09.700
232.27,171.64E-03,32.330,50.005,,200E-03,39.866,23.325,0.811,4.05,16:22:09.800
232.30,170.96E-03,32.175,50.005,,200E-03,39.715,23.282,0.810,4.09,16:22:09.900
232.29,171.32E-03,32.249,50.006,,200E-03,39.797,23.319,0.810,4.09,16:22:10.000
232.30,171.71E-03,32.335,50.008,,200E-03,39.889,23.358,0.811,4.12,16:22:10.100
