#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,109         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
232.57,149.69E-03,13.845,49.991,,200E-03,34.814,31.943,0.398,3.41,14:06:39.000
232.58,149.51E-03,13.849,49.991,,200E-03,34.773,31.896,0.398,3.36,14:06:39.100
232.56,148.90E-03,13.818,49.988,,200E-03,34.627,31.751,0.399,3.40,14:06:39.200
232.52,148.45E-03,13.748,49.989,,200E-03,34.516,31.660,0.398,3.39,14:06:39.300
232.49,149.22E-03,13.821,49.990,,200E-03,34.693,31.822,0.398,3.39,14:06:39.400
232.52,149.18E-03,13.799,49.996,,200E-03,34.689,31.826,0.398,3.44,14:06:39.500
232.47,149.94E-03,13.860,49.996,,200E-03,34.857,31.983,0.398,3.39,14:06:39.600
232.51,149.86E-03,13.877,49.997,,200E-03,34.844,31.961,0.398,3.40,14:06:39.700
232.57,149.30E-03,13.850,49.997,,200E-03,34.722,31.840,0.399,3.41,14:06:39.800
232.52,149.61E-03,13.838,49.997,,200E-03,34.788,31.917,0.398,3.38,14:06:39.900
232.57,149.45E-03,13.842,49.995,,200E-03,34.758,31.883,0.398,3.43,14:06:40.000
232.57,149.57E-03,13.888,49.995,,200E-03,34.786,31.893,0.399,3.42,14:06:40.100
232.55,148.59E-03,13.785,49.997,,200E-03,34.555,31.686,0.399,3.41,14:06:40.200
232.61,116.86E-03,7.317,49.996,,200E-03,27.183,26.179,0.269,3.39,14:06:40.300
232.63,84.51E-03,0.634,49.996,,200E-03,19.660,19.649,0.032,3.37,14:06:40.400
232.65,84.56E-03,0.555,49.990,,200E-03,19.673,19.666,0.028,3.42,14:06:40.500
232.66,84.54E-03,0.576,49.992,,200E-03,19.669,19.660,0.029,3.42,14:06:40.600
232.70,84.69E-03,0.594,49.991,,200E-03,19.708,19.699,0.030,3.41,14:06:40.700
232.70,84.42E-03,0.546,49.990,,200E-03,19.645,19.637,0.028,3.38,14:06:40.800
232.70,84.45E-03,0.566,49.991,,200E-03,19.652,19.644,0.029,3.42,14:06:40.900
232.68,84.49E-03,0.525,49.992,,200E-03,19.659,19.652,0.027,3.36,14:06:41.000
232.67,84.40E-03,0.531,49.992,,200E-03,19.638,19.631,0.027,3.37,14:06:41.100
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,14:06:41.200
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,14:06:41.300
nan,nan,nan,nan,,100E-03,nan,nan,nan,nan,14:06:41.400
232.62,84.39E-03,0.425,49.997,,100E-03,19.630,19.626,0.022,3.38,14:06:41.500
232.61,84.59E-03,0.429,49.996,,100E-03,19.677,19.673,0.022,3.40,14:06:41.600
232.61,84.52E-03,0.561,49.995,,100E-03,19.660,19.652,0.029,3.36,14:06:41.700
232.61,84.36E-03,0.508,49.996,,100E-03,19.623,19.617,0.026,3.37,14:06:41.800
232.62,84.27E-03,0.518,49.996,,100E-03,19.602,19.595,0.026,3.36,14:06:41.900
232.63,84.40E-03,0.514,49.997,,100E-03,19.633,19.626,0.026,3.40,14:06:42.000
232.65,84.47E-03,0.549,49.997,,100E-03,19.653,19.645,0.028,3.38,14:06:42.100
232.68,84.45E-03,0.522,49.997,,100E-03,19.651,19.644,0.027,3.39,14:06:42.200
232.65,84.44E-03,0.544,49.995,,100E-03,19.644,19.636,0.028,3.35,14:06:42.300
232.63,84.38E-03,0.508,49.996,,100E-03,19.630,19.623,0.026,3.35,14:06:42.400
232.62,84.44E-03,0.544,49.996,,100E-03,19.643,19.636,0.028,3.36,14:06:42.500
232.62,84.44E-03,0.505,49.996,,100E-03,19.643,19.636,0.026,3.35,14:06:42.600
232.61,84.39E-03,0.566,49.996,,100E-03,19.630,19.622,0.029,3.37,14:06:42.700
232.63,84.41E-03,0.556,49.996,,100E-03,19.636,19.628,0.028,3.38,14:06:42.800
232.63,84.40E-03,0.541,49.995,,100E-03,19.634,19.627,0.028,3.40,14:06:42.900
232.63,84.45E-03,0.529,49.994,,100E-03,19.644,19.637,0.027,3.34,14:06:43.000
232.64,84.36E-03,0.525,49.994,,100E-03,19.625,19.618,0.027,3.35,14:06:43.100
232.64,84.45E-03,0.511,49.993,,100E-03,19.647,19.640,0.026,3.35,14:06:43.200
232.67,84.33E-03,0.523,49.996,,100E-03,19.622,19.615,0.027,3.37,14:06:43.300
232.63,84.40E-03,0.560,49.995,,100E-03,19.634,19.626,0.029,3.36,14:06:43.400
232.60,84.50E-03,0.530,49.996,,100E-03,19.656,19.648,0.027,3.39,14:06:43.500
232.60,84.42E-03,0.545,49.997,,100E-03,19.635,19.627,0.028,3.37,14:06:43.600
232.62,84.38E-03,0.534,49.996,,100E-03,19.628,19.620,0.027,3.41,14:06:43.700
232.64,84.39E-03,0.553,49.996,,100E-03,19.633,19.625,0.028,3.36,14:06:43.800
232.61,84.39E-03,0.522,49.996,,100E-03,19.629,19.622,0.027,3.32,14:06:43.900
232.62,84.48E-03,0.529,49.996,,100E-03,19.652,19.645,0.027,3.38,14:06:44.000
232.65,84.65E-03,0.570,49.997,,100E-03,19.693,19.684,0.029,3.38,14:06:44.100
232.67,84.45E-03,0.521,49.996,,100E-03,19.648,19.641,0.027,3.35,14:06:44.200
232.68,84.47E-03,0.549,49.994,,100E-03,19.656,19.648,0.028,3.39,14:06:44.300
232.67,84.71E-03,0.519,49.994,,100E-03,19.710,19.703,0.026,3.37,14:06:44.400
232.64,84.46E-03,0.511,49.994,,100E-03,19.648,19.642,0.026,3.37,14:06:44.500
232.60,84.46E-03,0.538,49.994,,100E-03,19.646,19.639,0.027,3.34,14:06:44.600
232.62,84.46E-03,0.532,49.995,,100E-03,19.647,19.640,0.027,3.33,14:06:44.700
232.65,84.54E-03,0.551,49.995,,100E-03,19.668,19.661,0.028,3.36,14:06:44.800
232.63,84.50E-03,0.506,49.996,,100E-03,19.656,19.650,0.026,3.36,14:06:44.900
232.61,84.47E-03,0.531,49.995,,100E-03,19.648,19.640,0.027,3.33,14:06:45.000
232.62,84.45E-03,0.535,49.996,,100E-03,19.645,19.638,0.027,3.35,14:06:45.100
232.55,84.59E-03,0.509,49.996,,100E-03,19.672,19.665,0.026,3.36,14:06:45.200
