#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,250         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
233.16,84.48E-03,0.526,50.001,,100E-03,19.697,19.690,0.027,3.22,14:07:17.000
233.15,84.51E-03,0.536,50.002,,100E-03,19.703,19.695,0.027,3.25,14:07:17.100
233.20,84.54E-03,0.537,50.001,,100E-03,19.715,19.708,0.027,3.26,14:07:17.200
233.20,84.61E-03,0.555,50.000,,100E-03,19.731,19.723,0.028,3.21,14:07:17.300
233.26,84.50E-03,0.563,50.002,,100E-03,19.711,19.703,0.029,3.21,14:07:17.400
233.24,84.56E-03,0.551,50.002,,100E-03,19.724,19.716,0.028,3.22,14:07:17.500
233.21,84.57E-03,0.505,50.001,,100E-03,19.722,19.715,0.026,3.18,14:07:17.600
233.19,84.47E-03,0.554,50.001,,100E-03,19.697,19.690,0.028,3.19,14:07:17.700
233.20,inf,inf,50.001,,100E-03,inf,inf,inf,3.20,14:07:17.800
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,14:07:17.900
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,14:07:18.000
nan,nan,nan,nan,,500E-03,nan,nan,nan,nan,14:07:18.100
233.03,133.21E-03,11.10,50.003,,500E-03,31.04,28.99,0.358,3.21,14:07:18.200
232.96,133.42E-03,11.26,50.006,,500E-03,31.08,28.97,0.362,3.23,14:07:18.300
233.10,132.86E-03,11.16,50.004,,500E-03,30.97,28.89,0.360,3.23,14:07:18.400
233.10,132.90E-03,11.18,50.004,,500E-03,30.98,28.89,0.361,3.23,14:07:18.500
233.15,133.08E-03,11.19,50.006,,500E-03,31.03,28.94,0.360,3.25,14:07:18.600
233.09,132.61E-03,11.08,50.008,,500E-03,30.91,28.86,0.359,3.23,14:07:18.700
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,14:07:18.800
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,14:07:18.900
nan,nan,nan,nan,,200E-03,nan,nan,nan,nan,14:07:19.000
233.09,inf,inf,50.004,,200E-03,inf,inf,inf,3.26,14:07:19.100
nan,nan,nan,nan,,1,nan,nan,nan,nan,14:07:19.200
nan,nan,nan,nan,,1,nan,nan,nan,nan,14:07:19.300
nan,nan,nan,nan,,1,nan,nan,nan,nan,14:07:19.400
233.03,inf,inf,49.999,,1,inf,inf,inf,3.42,14:07:19.500
nan,nan,nan,nan,,5,nan,nan,nan,nan,14:07:19.600
nan,nan,nan,nan,,5,nan,nan,nan,nan,14:07:19.700
nan,nan,nan,nan,,5,nan,nan,nan,nan,14:07:19.800
228.43,5.0225,1.1449E+03,50.002,,5,1.1473E+03,0.0735E+03,0.998,3.27,14:07:19.900
228.47,5.0067,1.1415E+03,50.002,,5,1.1439E+03,0.0733E+03,0.998,3.32,14:07:20.000
229.82,5.0269,1.1529E+03,50.000,,5,1.1553E+03,0.0733E+03,0.998,3.33,14:07:20.100
228.44,4.9835,1.1362E+03,50.000,,5,1.1384E+03,0.0716E+03,0.998,3.27,14:07:20.200
228.45,4.9755,1.1344E+03,50.001,,5,1.1367E+03,0.0723E+03,0.998,3.27,14:07:20.300
228.80,4.7426,1.0426E+03,50.003,,5,1.0851E+03,0.3006E+03,0.961,3.41,14:07:20.400
229.04,4.5724,0.9828E+03,50.004,,5,1.0473E+03,0.3617E+03,0.938,3.28,14:07:20.500
229.55,4.2292,0.8444E+03,50.001,,5,0.9708E+03,0.4791E+03,0.870,3.29,14:07:20.600
229.97,3.9559,0.7557E+03,50.005,,5,0.9097E+03,0.5065E+03,0.831,3.35,14:07:20.700
231.24,2.9492,0.4500E+03,50.009,,5,0.6820E+03,0.5125E+03,0.660,3.44,14:07:20.800
230.81,3.3064,0.5381E+03,50.008,,5,0.7632E+03,0.5412E+03,0.705,3.32,14:07:20.900
231.08,3.0441,0.4631E+03,50.006,,5,0.7034E+03,0.5295E+03,0.658,3.30,14:07:21.000
230.78,3.3075,0.5386E+03,50.007,,5,0.7633E+03,0.5409E+03,0.706,3.29,14:07:21.100
