#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,781         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
231.95,148.83E-03,13.914,49.983,,200E-03,34.521,31.593,0.403,3.51,14:11:47.000
231.98,148.70E-03,13.912,49.983,,200E-03,34.494,31.564,0.403,3.57,14:11:47.100
231.96,148.82E-03,13.928,49.981,,200E-03,34.520,31.585,0.403,3.55,14:11:47.200
232.02,148.61E-03,13.931,49.982,,200E-03,34.480,31.540,0.404,3.49,14:11:47.300
232.04,149.04E-03,14.006,49.979,,200E-03,34.585,31.622,0.405,3.54,14:11:47.400
232.10,148.58E-03,13.927,49.981,,200E-03,34.486,31.548,0.404,3.55,14:11:47.500
232.08,148.30E-03,13.928,49.980,,200E-03,34.417,31.473,0.405,3.53,14:11:47.600
232.08,148.53E-03,13.930,49.978,,200E-03,34.471,31.531,0.404,3.54,14:11:47.700
232.00,148.27E-03,13.882,49.980,,200E-03,34.397,31.472,0.404,3.52,14:11:47.800
232.05,148.19E-03,13.902,49.981,,200E-03,34.386,31.450,0.404,3.51,14:11:47.900
232.03,148.10E-03,13.887,49.980,,200E-03,34.363,31.431,0.404,3.54,14:11:48.000
231.98,inf,inf,49.981,,200E-03,inf,inf,inf,3.52,14:11:48.100
nan,nan,nan,nan,,1,nan,nan,nan,nan,14:11:48.200
nan,nan,nan,nan,,1,nan,nan,nan,nan,14:11:48.300
nan,nan,nan,nan,,1,nan,nan,nan,nan,14:11:48.400
229.81,inf,inf,49.977,,1,inf,inf,inf,3.52,14:11:48.500
nan,nan,nan,nan,,5,nan,nan,nan,nan,14:11:48.600
nan,nan,nan,nan,,5,nan,nan,nan,nan,14:11:48.700
nan,nan,nan,nan,,5,nan,nan,nan,nan,14:11:48.800
227.66,4.9906,1.1343E+03,49.974,,5,1.1362E+03,0.0657E+03,0.998,3.66,14:11:48.900
227.67,4.9812,1.1321E+03,49.975,,5,1.1341E+03,0.0672E+03,0.998,3.52,14:11:49.000
227.55,4.9731,1.1296E+03,49.974,,5,1.1316E+03,0.0681E+03,0.998,3.53,14:11:49.100
227.55,4.9639,1.1275E+03,49.976,,5,1.1295E+03,0.0683E+03,0.998,3.50,14:11:49.200
227.55,4.9583,1.1261E+03,49.976,,5,1.1282E+03,0.0698E+03,0.998,3.54,14:11:49.300
227.49,4.9453,1.1228E+03,49.980,,5,1.1250E+03,0.0698E+03,0.998,3.54,14:11:49.400
227.42,4.9292,1.1188E+03,49.980,,5,1.1210E+03,0.0707E+03,0.998,3.51,14:11:49.500
227.51,4.8726,1.1071E+03,49.982,,5,1.1086E+03,0.0570E+03,0.999,3.50,14:11:49.600
227.52,4.8595,1.1042E+03,49.986,,5,1.1056E+03,0.0552E+03,0.999,3.51,14:11:49.700
227.52,4.8516,1.1025E+03,49.985,,5,1.1038E+03,0.0551E+03,0.999,3.50,14:11:49.800
227.50,4.8360,1.0988E+03,49.987,,5,1.1002E+03,0.0548E+03,0.999,3.52,14:11:49.900
227.48,4.8286,1.0971E+03,49.984,,5,1.0984E+03,0.0547E+03,0.999,3.51,14:11:50.000
227.42,4.8195,1.0947E+03,49.984,,5,1.0961E+03,0.0543E+03,0.999,3.52,14:11:50.100
227.45,4.8130,1.0934E+03,49.982,,5,1.0947E+03,0.0541E+03,0.999,3.51,14:11:50.200
227.53,4.8039,1.0917E+03,49.983,,5,1.0930E+03,0.0545E+03,0.999,3.50,14:11:50.300
227.59,4.7987,1.0908E+03,49.984,,5,1.0921E+03,0.0544E+03,0.999,3.50,14:11:50.400
227.63,4.7949,1.0901E+03,49.986,,5,1.0915E+03,0.0545E+03,0.999,3.52,14:11:50.500
227.91,4.6499,1.0264E+03,49.985,,5,1.0598E+03,0.2638E+03,0.969,3.62,14:11:50.600
228.49,4.2806,0.8842E+03,49.982,,5,0.9781E+03,0.4182E+03,0.904,3.64,14:11:50.700
228.80,4.0717,0.7975E+03,49.985,,5,0.9316E+03,0.4815E+03,0.856,3.56,14:11:50.800
229.17,3.7885,0.7104E+03,49.987,,5,0.8682E+03,0.4991E+03,0.818,3.52,14:11:50.900
229.38,3.6245,0.6580E+03,49.984,,5,0.8314E+03,0.5082E+03,0.791,3.47,14:11:51.000
229.66,3.3774,0.5787E+03,49.983,,5,0.7757E+03,0.5165E+03,0.746,3.47,14:11:51.100
230.12,3.0118,0.4641E+03,49.981,,5,0.6931E+03,0.5148E+03,0.670,3.60,14:11:51.200
229.73,3.3480,0.5625E+03,49.982,,5,0.7692E+03,0.5246E+03,0.731,3.47,14:11:51.300
230.26,2.8769,0.4299E+03,49.983,,5,0.6624E+03,0.5040E+03,0.649,3.49,14:11:51.400
230.20,2.8710,0.4282E+03,49.985,,5,0.6609E+03,0.5034E+03,0.648,3.53,14:11:51.500
229.64,3.3483,0.5621E+03,49.986,,5,0.7689E+03,0.5247E+03,0.731,3.47,14:11:51.600
230.19,2.8764,0.4298E+03,49.987,,5,0.6621E+03,0.5037E+03,0.649,3.55,14:11:51.700
229.63,3.3512,0.5626E+03,49.986,,5,0.7696E+03,0.5250E+03,0.731,3.64,14:11:51.800
