#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,187         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
232.24,25.395E-03,4.270,50.005,,50E-03,5.898,4.069,0.724,3.68,10:05:13.000
232.16,25.458E-03,4.291,50.007,,50E-03,5.910,4.064,0.726,3.66,10:05:13.100
232.17,25.459E-03,4.294,50.011,,50E-03,5.911,4.062,0.726,3.69,10:05:13.200
232.17,25.474E-03,4.297,50.013,,50E-03,5.914,4.064,0.726,3.69,10:05:13.300
232.23,25.401E-03,4.274,50.010,,50E-03,5.899,4.066,0.725,3.72,10:05:13.400
232.25,25.347E-03,4.257,50.010,,50E-03,5.887,4.066,0.723,3.66,10:05:13.500
232.26,25.359E-03,4.261,50.011,,50E-03,5.890,4.066,0.723,3.70,10:05:13.600
232.27,25.360E-03,4.261,50.012,,50E-03,5.891,4.067,0.723,3.68,10:05:13.700
232.27,25.363E-03,4.261,50.012,,50E-03,5.891,4.068,0.723,3.71,10:05:13.800
232.27,25.365E-03,4.260,50.013,,50E-03,5.891,4.069,0.723,3.68,10:05:13.900
232.18,24.896E-03,4.124,50.013,,50E-03,5.780,4.051,0.713,3.72,10:05:14.000
232.18,23.092E-03,3.543,50.014,,50E-03,5.361,4.024,0.661,3.72,10:05:14.100
232.14,26.334E-03,4.078,50.014,,50E-03,6.113,4.554,0.667,3.73,10:05:14.200
232.16,34.870E-03,6.630,50.016,,50E-03,8.096,4.645,0.819,3.70,10:05:14.300
232.16,22.170E-03,3.214,50.020,,50E-03,5.147,4.020,0.624,3.67,10:05:14.400
232.26,21.576E-03,2.979,50.020,,50E-03,5.011,4.030,0.594,3.73,10:05:14.500
232.21,28.272E-03,5.043,50.019,,50E-03,6.565,4.204,0.768,3.69,10:05:14.600
232.21,29.154E-03,5.321,50.018,,50E-03,6.770,4.186,0.786,3.74,10:05:14.700
232.27,28.070E-03,5.015,50.017,,50E-03,6.520,4.166,0.769,3.72,10:05:14.800
232.23,29.842E-03,5.504,50.020,,50E-03,6.930,4.211,0.794,3.70,10:05:14.900
232.24,28.632E-03,5.175,50.022,,50E-03,6.649,4.176,0.778,3.71,10:05:15.000
232.21,26.222E-03,4.500,50.021,,50E-03,6.089,4.102,0.739,3.75,10:05:15.100
232.00,26.341E-03,4.550,50.021,,50E-03,6.111,4.080,0.745,3.71,10:05:15.200
232.07,30.687E-03,5.702,50.019,,50E-03,7.121,4.267,0.801,3.72,10:05:15.300
232.06,30.654E-03,5.718,50.017,,50E-03,7.114,4.232,0.804,3.73,10:05:15.400
232.00,33.861E-03,6.537,50.019,,50E-03,7.856,4.357,0.832,3.74,10:05:15.500
232.08,35.031E-03,6.849,50.020,,50E-03,8.130,4.381,0.842,3.77,10:05:15.600
232.04,35.499E-03,6.964,50.020,,50E-03,8.237,4.399,0.845,3.74,10:05:15.700
232.15,35.734E-03,7.024,50.022,,50E-03,8.296,4.414,0.847,3.75,10:05:15.800
232.13,33.823E-03,6.530,50.019,,50E-03,7.851,4.360,0.832,3.73,10:05:15.900
232.18,28.826E-03,5.239,50.017,,50E-03,6.693,4.165,0.783,3.77,10:05:16.000
232.13,28.731E-03,5.213,50.017,,50E-03,6.669,4.159,0.782,3.72,10:05:16.100
232.14,28.721E-03,5.210,50.018,,50E-03,6.667,4.160,0.781,3.70,10:05:16.200
232.07,28.662E-03,5.197,50.019,,50E-03,6.652,4.152,0.781,3.73,10:05:16.300
232.02,28.587E-03,5.177,50.019,,50E-03,6.633,4.146,0.781,3.72,10:05:16.400
232.17,28.564E-03,5.169,50.019,,50E-03,6.632,4.154,0.780,3.72,10:05:16.500
232.11,28.512E-03,5.154,50.020,,50E-03,6.618,4.151,0.779,3.72,10:05:16.600
232.14,26.892E-03,4.708,50.021,,50E-03,6.243,4.099,0.754,3.78,10:05:16.700
232.08,30.585E-03,5.585,50.024,,50E-03,7.098,4.382,0.787,3.74,10:05:16.800
232.08,24.418E-03,3.981,50.025,,50E-03,5.667,4.033,0.702,3.74,10:05:16.900
232.10,23.243E-03,3.593,50.025,,50E-03,5.395,4.024,0.666,3.70,10:05:17.000
232.02,32.372E-03,5.924,50.022,,50E-03,7.511,4.617,0.789,3.75,10:05:17.100
231.95,42.273E-03,8.623,50.021,,50E-03,9.805,4.667,0.879,3.73,10:05:17.200
231.98,32.373E-03,6.117,50.022,,50E-03,7.510,4.357,0.815,3.72,10:05:17.300
231.94,27.934E-03,4.987,50.023,,50E-03,6.479,4.136,0.770,3.75,10:05:17.400
232.03,26.910E-03,4.618,50.024,,50E-03,6.244,4.203,0.740,3.69,10:05:17.500
232.07,22.865E-03,3.480,50.025,,50E-03,5.306,4.005,0.656,3.72,10:05:17.600
232.11,22.640E-03,3.400,50.024,,50E-03,5.255,4.007,0.647,3.71,10:05:17.700
232.15,22.827E-03,3.461,50.022,,50E-03,5.299,4.013,0.653,3.73,10:05:17.800
232.08,22.524E-03,3.361,50.021,,50E-03,5.227,4.004,0.643,3.72,10:05:17.900
232.03,22.548E-03,3.373,50.023,,50E-03,5.232,4.000,0.645,3.71,10:05:18.000
232.01,22.849E-03,3.481,50.027,,50E-03,5.301,3.998,0.657,3.69,10:05:18.100
231.98,22.784E-03,3.460,50.030,,50E-03,5.286,3.996,0.655,3.74,10:05:18.200
232.04,22.791E-03,3.462,50.028,,50E-03,5.289,3.998,0.655,3.77,10:05:18.300
232.06,22.588E-03,3.385,50.025,,50E-03,5.242,4.002,0.646,3.78,10:05:18.400
232.05,22.684E-03,3.422,50.024,,50E-03,5.264,4.000,0.650,3.78,10:05:18.500
232.07,22.422E-03,3.325,50.022,,50E-03,5.203,4.002,0.639,3.74,10:05:18.600
232.09,22.408E-03,3.317,50.024,,50E-03,5.201,4.006,0.638,3.76,10:05:18.700
232.12,22.387E-03,3.307,50.023,,50E-03,5.196,4.008,0.636,3.74,10:05:18.800
232.06,22.398E-03,3.314,50.024,,50E-03,5.198,4.004,0.638,3.77,10:05:18.900
232.06,22.438E-03,3.337,50.023,,50E-03,5.207,3.998,0.641,3.73,10:05:19.000
232.10,22.303E-03,3.279,50.023,,50E-03,5.176,4.005,0.633,3.75,10:05:19.100
232.10,22.542E-03,3.369,50.019,,50E-03,5.232,4.003,0.644,3.72,10:05:19.200
232.02,22.431E-03,3.335,50.020,,50E-03,5.204,3.995,0.641,3.74,10:05:19.300
232.04,22.483E-03,3.353,50.023,,50E-03,5.217,3.997,0.643,3.74,10:05:19.400
232.05,22.680E-03,3.422,50.023,,50E-03,5.263,3.998,0.650,3.76,10:05:19.500
232.07,22.652E-03,3.410,50.022,,50E-03,5.257,4.001,0.649,3.73,10:05:19.600
232.15,22.574E-03,3.375,50.021,,50E-03,5.241,4.009,0.644,3.71,10:05:19.700
232.18,22.658E-03,3.400,50.020,,50E-03,5.261,4.015,0.646,3.75,10:05:19.800
232.12,22.474E-03,3.341,50.023,,50E-03,5.217,4.006,0.641,3.67,10:05:19.900
232.13,22.211E-03,3.245,50.023,,50E-03,5.156,4.006,0.629,3.72,10:05:20.000
232.04,22.309E-03,3.285,50.023,,50E-03,5.177,4.001,0.635,3.72,10:05:20.100
231.97,22.161E-03,3.242,50.026,,50E-03,5.141,3.989,0.631,3.68,10:05:20.200
231.97,22.100E-03,3.222,50.025,,50E-03,5.126,3.987,0.629,3.67,10:05:20.300
231.96,22.034E-03,3.198,50.024,,50E-03,5.111,3.987,0.626,3.70,10:05:20.400
231.98,22.208E-03,3.261,50.023,,50E-03,5.152,3.988,0.633,3.72,10:05:20.500
232.03,22.131E-03,3.230,50.023,,50E-03,5.135,3.992,0.629,3.69,10:05:20.600
232.04,22.061E-03,3.200,50.024,,50E-03,5.119,3.996,0.625,3.73,10:05:20.700
231.96,21.892E-03,3.141,50.026,,50E-03,5.078,3.990,0.619,3.72,10:05:20.800
231.98,22.008E-03,3.187,50.023,,50E-03,5.105,3.989,0.624,3.73,10:05:20.900
232.03,22.101E-03,3.217,50.022,,50E-03,5.128,3.994,0.627,3.72,10:05:21.000
232.01,22.714E-03,3.379,50.023,,50E-03,5.270,4.044,0.641,3.74,10:05:21.100
231.95,41.894E-03,8.542,50.023,,50E-03,9.717,4.632,0.879,3.74,10:05:21.200
232.00,41.288E-03,8.396,50.024,,50E-03,9.579,4.610,0.877,3.69,10:05:21.300
231.97,40.955E-03,8.312,50.025,,50E-03,9.500,4.602,0.875,3.73,10:05:21.400
231.89,34.156E-03,6.442,50.027,,50E-03,7.921,4.609,0.813,3.71,10:05:21.500
231.89,39.476E-03,7.941,50.026,,50E-03,9.154,4.553,0.868,3.71,10:05:21.600
231.99,39.159E-03,7.873,50.027,,50E-03,9.084,4.532,0.867,3.68,10:05:21.700
