#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,626         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
230.21,18.447E-03,1.6841,50.010,,20E-03,4.2466,3.8984,0.397,3.79,09:26:47.000
230.12,18.419E-03,1.6844,50.013,,20E-03,4.2385,3.8894,0.397,3.78,09:26:47.100
230.14,18.415E-03,1.6746,50.015,,20E-03,4.2380,3.8932,0.395,3.78,09:26:47.200
230.14,18.393E-03,1.6566,50.015,,20E-03,4.2331,3.8955,0.391,3.77,09:26:47.300
230.18,18.404E-03,1.6501,50.015,,20E-03,4.2363,3.9017,0.390,3.74,09:26:47.400
230.17,18.427E-03,1.6732,50.017,,20E-03,4.2412,3.8972,0.394,3.80,09:26:47.500
230.11,18.419E-03,1.6893,50.014,,20E-03,4.2383,3.8871,0.399,3.73,09:26:47.600
230.16,18.435E-03,1.6892,50.014,,20E-03,4.2430,3.8923,0.398,3.78,09:26:47.700
230.16,18.418E-03,1.6707,50.016,,20E-03,4.2391,3.8960,0.394,3.79,09:26:47.800
230.16,18.402E-03,1.6626,50.015,,20E-03,4.2354,3.8954,0.393,3.74,09:26:47.900
230.17,18.408E-03,1.6624,50.014,,20E-03,4.2370,3.8972,0.392,3.78,09:26:48.000
230.16,18.414E-03,1.6702,50.012,,20E-03,4.2382,3.8953,0.394,3.75,09:26:48.100
230.18,18.432E-03,1.6723,50.013,,20E-03,4.2426,3.8991,0.394,3.79,09:26:48.200
230.19,18.453E-03,1.6915,50.011,,20E-03,4.2476,3.8962,0.398,3.78,09:26:48.300
230.18,18.411E-03,1.6587,50.011,,20E-03,4.2377,3.8997,0.391,3.80,09:26:48.400
230.21,18.440E-03,1.6718,50.009,,20E-03,4.2453,3.9022,0.394,3.79,09:26:48.500
230.19,18.432E-03,1.6724,50.011,,20E-03,4.2428,3.8993,0.394,3.75,09:26:48.600
230.18,18.436E-03,1.6782,50.011,,20E-03,4.2435,3.8976,0.395,3.79,09:26:48.700
230.11,18.420E-03,1.6816,50.009,,20E-03,4.2387,3.8909,0.397,3.74,09:26:48.800
230.10,18.390E-03,1.6627,50.008,,20E-03,4.2314,3.8911,0.393,3.76,09:26:48.900
230.13,18.379E-03,1.6441,50.008,,20E-03,4.2296,3.8969,0.389,3.73,09:26:49.000
230.07,18.389E-03,1.6693,50.009,,20E-03,4.2307,3.8874,0.395,3.79,09:26:49.100
230.10,18.402E-03,1.6728,50.009,,20E-03,4.2343,3.8899,0.395,3.76,09:26:49.200
230.11,18.398E-03,1.6760,50.009,,20E-03,4.2335,3.8877,0.396,3.81,09:26:49.300
230.10,18.395E-03,1.6713,50.010,,20E-03,4.2326,3.8887,0.395,3.77,09:26:49.400
230.13,18.390E-03,1.6583,50.010,,20E-03,4.2320,3.8935,0.392,3.80,09:26:49.500
230.07,18.358E-03,1.6511,50.009,,20E-03,4.2236,3.8875,0.391,3.79,09:26:49.600
230.05,18.362E-03,1.6624,50.009,,20E-03,4.2241,3.8832,0.394,3.80,09:26:49.700
230.02,18.346E-03,1.6525,50.011,,20E-03,4.2200,3.8830,0.392,3.78,09:26:49.800
230.00,18.352E-03,1.6756,50.013,,20E-03,4.2210,3.8741,0.397,3.76,09:26:49.900
230.03,18.361E-03,1.6684,50.014,,20E-03,4.2236,3.8801,0.395,3.77,09:26:50.000
230.08,18.379E-03,1.6682,50.014,,20E-03,4.2286,3.8856,0.395,3.78,09:26:50.100
230.11,18.394E-03,1.6719,50.013,,20E-03,4.2326,3.8884,0.395,3.76,09:26:50.200
230.13,18.398E-03,1.6658,50.014,,20E-03,4.2340,3.8925,0.393,3.75,09:26:50.300
230.12,18.421E-03,1.6896,50.013,,20E-03,4.2389,3.8876,0.399,3.77,09:26:50.400
230.14,18.411E-03,1.6688,50.011,,20E-03,4.2372,3.8947,0.394,3.76,09:26:50.500
230.11,18.386E-03,1.6627,50.012,,20E-03,4.2308,3.8904,0.393,3.77,09:26:50.600
230.15,18.396E-03,1.6605,50.013,,20E-03,4.2339,3.8947,0.392,3.77,09:26:50.700
230.13,18.417E-03,1.6830,50.012,,20E-03,4.2384,3.8899,0.397,3.78,09:26:50.800
230.14,18.406E-03,1.6800,50.011,,20E-03,4.2359,3.8885,0.397,3.76,09:26:50.900
230.11,18.412E-03,1.6808,50.011,,20E-03,4.2368,3.8891,0.397,3.76,09:26:51.000
230.11,18.385E-03,1.6589,50.012,,20E-03,4.2306,3.8918,0.392,3.73,09:26:51.100
230.14,18.413E-03,1.6713,50.013,,20E-03,4.2375,3.8940,0.394,3.75,09:26:51.200
230.19,18.421E-03,1.6691,50.012,,20E-03,4.2402,3.8979,0.394,3.75,09:26:51.300
230.19,18.426E-03,1.6714,50.013,,20E-03,4.2415,3.8983,0.394,3.77,09:26:51.400
230.20,18.433E-03,1.6703,50.015,,20E-03,4.2431,3.9005,0.394,3.76,09:26:51.500
230.16,18.401E-03,1.6557,50.016,,20E-03,4.2352,3.8981,0.391,3.76,09:26:51.600
230.15,18.394E-03,1.6499,50.016,,20E-03,4.2333,3.8986,0.390,3.79,09:26:51.700
230.16,18.397E-03,1.6541,50.015,,20E-03,4.2343,3.8979,0.391,3.77,09:26:51.800
230.16,18.430E-03,1.6735,50.017,,20E-03,4.2418,3.8978,0.395,3.78,09:26:51.900
