#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,505         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
230.95,35.90E-03,3.792,50.025,,100E-03,8.291,7.374,0.457,4.00,14:31:38.000
230.94,35.56E-03,3.747,50.026,,100E-03,8.213,7.308,0.456,3.99,14:31:38.100
230.90,36.05E-03,3.805,50.027,,100E-03,8.323,7.402,0.457,3.99,14:31:38.200
230.89,36.19E-03,3.812,50.027,,100E-03,8.357,7.437,0.456,4.00,14:31:38.300
230.81,35.94E-03,3.787,50.029,,100E-03,8.296,7.381,0.457,4.01,14:31:38.400
230.91,35.99E-03,3.795,50.029,,100E-03,8.311,7.394,0.457,4.01,14:31:38.500
230.88,35.87E-03,3.788,50.030,,100E-03,8.282,7.365,0.457,3.99,14:31:38.600
230.94,35.88E-03,3.791,50.028,,100E-03,8.287,7.369,0.458,4.01,14:31:38.700
230.93,35.83E-03,3.794,50.029,,100E-03,8.275,7.354,0.458,4.04,14:31:38.800
230.96,35.75E-03,3.788,50.028,,100E-03,8.257,7.337,0.459,4.03,14:31:38.900
230.95,35.55E-03,3.763,50.028,,100E-03,8.211,7.298,0.458,4.04,14:31:39.000
230.90,35.68E-03,3.789,50.026,,100E-03,8.240,7.317,0.460,4.03,14:31:39.100
230.82,35.45E-03,3.751,50.025,,100E-03,8.183,7.272,0.458,4.02,14:31:39.200
230.85,35.82E-03,3.793,50.025,,100E-03,8.270,7.349,0.459,4.03,14:31:39.300
230.93,35.41E-03,3.754,50.024,,100E-03,8.177,7.264,0.459,4.03,14:31:39.400
230.93,35.33E-03,3.743,50.024,,100E-03,8.159,7.250,0.459,4.03,14:31:39.500
230.95,35.71E-03,3.787,50.022,,100E-03,8.247,7.326,0.459,4.04,14:31:39.600
230.93,35.86E-03,3.805,50.023,,100E-03,8.281,7.355,0.460,4.01,14:31:39.700
230.85,35.75E-03,3.779,50.022,,100E-03,8.254,7.338,0.458,4.00,14:31:39.800
230.78,36.03E-03,3.809,50.023,,100E-03,8.314,7.390,0.458,4.02,14:31:39.900
230.82,35.90E-03,3.788,50.024,,100E-03,8.287,7.370,0.457,4.01,14:31:40.000
230.84,35.89E-03,3.782,50.024,,100E-03,8.285,7.372,0.456,4.00,14:31:40.100
230.76,35.95E-03,3.787,50.025,,100E-03,8.296,7.381,0.456,4.05,14:31:40.200
230.73,35.98E-03,3.783,50.026,,100E-03,8.302,7.390,0.456,4.06,14:31:40.300
230.72,35.93E-03,3.772,50.026,,100E-03,8.290,7.383,0.455,4.06,14:31:40.400
230.72,35.94E-03,3.790,50.028,,100E-03,8.292,7.375,0.457,4.05,14:31:40.500
230.73,35.91E-03,3.780,50.030,,100E-03,8.285,7.372,0.456,4.03,14:31:40.600
230.70,35.88E-03,3.789,50.029,,100E-03,8.278,7.360,0.458,4.02,14:31:40.700
230.71,35.74E-03,3.767,50.028,,100E-03,8.246,7.336,0.457,4.03,14:31:40.800
230.74,35.25E-03,3.719,50.028,,100E-03,8.134,7.234,0.457,4.08,14:31:40.900
230.74,35.31E-03,3.723,50.028,,100E-03,8.148,7.248,0.457,4.05,14:31:41.000
230.78,35.33E-03,3.731,50.028,,100E-03,8.154,7.250,0.458,4.04,14:31:41.100
230.82,35.61E-03,3.765,50.026,,100E-03,8.219,7.306,0.458,4.02,14:31:41.200
230.81,35.85E-03,3.796,50.026,,100E-03,8.276,7.354,0.459,4.02,14:31:41.300
230.84,35.51E-03,3.761,50.025,,100E-03,8.197,7.284,0.459,4.03,14:31:41.400
230.81,35.73E-03,3.792,50.024,,100E-03,8.246,7.322,0.460,4.06,14:31:41.500
230.81,35.68E-03,3.794,50.023,,100E-03,8.236,7.310,0.461,4.05,14:31:41.600
230.87,35.71E-03,3.790,50.025,,100E-03,8.243,7.321,0.460,4.05,14:31:41.700
230.87,35.71E-03,3.792,50.025,,100E-03,8.244,7.320,0.460,4.05,14:31:41.800
