#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,914         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
230.18,0.0164E-03,0.0005,49.986,,5E-03,0.0038,0.0038,0.130,3.68,09:19:55.000
230.13,0.0165E-03,0.0005,49.987,,5E-03,0.0038,0.0038,0.132,3.71,09:19:55.100
230.23,0.0165E-03,0.0005,49.986,,5E-03,0.0038,0.0038,0.132,3.71,09:19:55.200
230.17,0.0164E-03,0.0005,49.988,,5E-03,0.0038,0.0037,0.132,3.70,09:19:55.300
230.20,0.0165E-03,0.0005,49.988,,5E-03,0.0038,0.0038,0.134,3.70,09:19:55.400
230.29,0.0165E-03,0.0005,49.987,,5E-03,0.0038,0.0038,0.133,3.72,09:19:55.500
230.32,0.0165E-03,0.0005,49.988,,5E-03,0.0038,0.0038,0.133,3.71,09:19:55.600
230.29,0.0165E-03,0.0005,49.988,,5E-03,0.0038,0.0038,0.132,3.71,09:19:55.700
230.22,0.0164E-03,0.0005,49.988,,5E-03,0.0038,0.0037,0.134,3.70,09:19:55.800
230.11,0.0164E-03,0.0005,49.987,,5E-03,0.0038,0.0037,0.132,3.72,09:19:55.900
nan,nan,nan,nan,,20,nan,nan,nan,nan,09:19:56.000
nan,nan,nan,nan,,20,nan,nan,nan,nan,09:19:56.100
nan,nan,nan,nan,,20,nan,nan,nan,nan,09:19:56.200
226.46,3.479,0.7879E+03,49.986,,20,0.7879E+03,0.0056E+03,1.000,3.66,09:19:56.300
226.58,3.466,0.7853E+03,49.985,,20,0.7853E+03,0.0056E+03,1.000,3.69,09:19:56.400
227.97,3.477,0.7927E+03,49.986,,20,0.7927E+03,,1.000,3.70,09:19:56.500
226.67,3.450,0.7820E+03,49.985,,20,0.7820E+03,0.0056E+03,1.000,3.69,09:19:56.600
226.46,3.438,0.7785E+03,49.985,,20,0.7785E+03,0.0056E+03,1.000,3.67,09:19:56.700
226.39,3.421,0.7744E+03,49.987,,20,0.7744E+03,0.0056E+03,1.000,3.71,09:19:56.800
nan,nan,nan,nan,,5,nan,nan,nan,nan,09:19:56.900
nan,nan,nan,nan,,5,nan,nan,nan,nan,09:19:57.000
nan,nan,nan,nan,,5,nan,nan,nan,nan,09:19:57.100
226.49,3.3916,0.7681E+03,49.990,,5,0.7682E+03,0.0054E+03,1.000,3.70,09:19:57.200
226.58,3.3877,0.7676E+03,49.989,,5,0.7676E+03,0.0054E+03,1.000,3.68,09:19:57.300
