#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,1463        
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
227.26,3.3975,0.7721E+03,50.008,,5,0.7721E+03,0.0053E+03,1.000,3.99,10:36:29.000
227.34,3.3938,0.7715E+03,50.009,,5,0.7715E+03,0.0054E+03,1.000,3.98,10:36:29.100
227.32,3.3916,0.7709E+03,50.010,,5,0.7710E+03,0.0054E+03,1.000,3.97,10:36:29.200
227.29,3.3881,0.7701E+03,50.010,,5,0.7701E+03,0.0054E+03,1.000,3.98,10:36:29.300
227.28,3.3816,0.7685E+03,50.010,,5,0.7686E+03,0.0054E+03,1.000,4.01,10:36:29.400
227.27,3.3786,0.7678E+03,50.010,,5,0.7679E+03,0.0054E+03,1.000,3.97,10:36:29.500
227.30,3.3765,0.7675E+03,50.011,,5,0.7675E+03,0.0054E+03,1.000,3.96,10:36:29.600
227.30,3.3742,0.7669E+03,50.012,,5,0.7670E+03,0.0054E+03,1.000,3.95,10:36:29.700
227.28,3.3697,0.7658E+03,50.013,,5,0.7658E+03,0.0054E+03,1.000,3.98,10:36:29.800
227.21,3.3670,0.7650E+03,50.013,,5,0.7650E+03,0.0054E+03,1.000,3.98,10:36:29.900
227.27,3.3663,0.7650E+03,50.014,,5,0.7650E+03,0.0054E+03,1.000,3.98,10:36:30.000
227.27,3.3648,0.7647E+03,50.014,,5,0.7647E+03,0.0054E+03,1.000,3.97,10:36:30.100
227.41,3.3643,0.7651E+03,50.015,,5,0.7651E+03,0.0054E+03,1.000,3.98,10:36:30.200
227.38,3.3627,0.7646E+03,50.015,,5,0.7646E+03,0.0054E+03,1.000,3.99,10:36:30.300
227.40,3.3620,0.7645E+03,50.015,,5,0.7645E+03,0.0054E+03,1.000,3.97,10:36:30.400
227.39,3.3608,0.7642E+03,50.015,,5,0.7642E+03,0.0054E+03,1.000,4.00,10:36:30.500
227.42,3.3594,0.7640E+03,50.014,,5,0.7640E+03,0.0054E+03,1.000,4.01,10:36:30.600
227.40,3.3584,0.7637E+03,50.014,,5,0.7637E+03,0.0054E+03,1.000,4.00,10:36:30.700
227.44,3.3581,0.7637E+03,50.013,,5,0.7637E+03,0.0054E+03,1.000,4.01,10:36:30.800
227.47,3.3578,0.7638E+03,50.018,,5,0.7638E+03,0.0054E+03,1.000,3.98,10:36:30.900
227.97,3.3639,0.7668E+03,50.017,,5,0.7669E+03,0.0055E+03,1.000,3.80,10:36:31.000
227.91,3.3624,0.7663E+03,50.016,,5,0.7663E+03,0.0054E+03,1.000,3.82,10:36:31.100
227.92,3.3620,0.7663E+03,50.017,,5,0.7663E+03,0.0054E+03,1.000,3.81,10:36:31.200
227.90,3.3610,0.7660E+03,50.016,,5,0.7660E+03,0.0055E+03,1.000,3.82,10:36:31.300
227.96,3.3609,0.7661E+03,50.017,,5,0.7662E+03,0.0055E+03,1.000,3.83,10:36:31.400
227.96,3.3604,0.7660E+03,50.017,,5,0.7660E+03,0.0055E+03,1.000,3.85,10:36:31.500
227.96,3.3599,0.7659E+03,50.017,,5,0.7659E+03,0.0055E+03,1.000,3.82,10:36:31.600
227.95,3.3593,0.7657E+03,50.017,,5,0.7657E+03,0.0055E+03,1.000,3.83,10:36:31.700
227.98,3.3589,0.7658E+03,50.018,,5,0.7658E+03,0.0055E+03,1.000,3.83,10:36:31.800
227.94,3.3579,0.7654E+03,50.014,,5,0.7654E+03,0.0055E+03,1.000,3.85,10:36:31.900
227.96,3.3578,0.7654E+03,50.015,,5,0.7655E+03,0.0055E+03,1.000,3.83,10:36:32.000
228.08,3.3593,0.7662E+03,50.016,,5,0.7662E+03,0.0055E+03,1.000,3.80,10:36:32.100
228.11,3.3589,0.7662E+03,50.016,,5,0.7662E+03,0.0055E+03,1.000,3.82,10:36:32.200
228.10,3.3587,0.7661E+03,50.015,,5,0.7661E+03,0.0055E+03,1.000,3.83,10:36:32.300
228.09,3.3582,0.7660E+03,50.014,,5,0.7660E+03,0.0055E+03,1.000,3.78,10:36:32.400
228.08,3.3576,0.7658E+03,50.013,,5,0.7658E+03,0.0055E+03,1.000,3.76,10:36:32.500
228.08,3.3572,0.7657E+03,50.014,,5,0.7657E+03,0.0055E+03,1.000,3.77,10:36:32.600
228.13,3.3576,0.7660E+03,50.014,,5,0.7660E+03,0.0055E+03,1.000,3.82,10:36:32.700
228.19,3.3582,0.7663E+03,50.016,,5,0.7663E+03,0.0055E+03,1.000,3.77,10:36:32.800
228.12,3.3570,0.7658E+03,50.017,,5,0.7658E+03,0.0055E+03,1.000,3.77,10:36:32.900
228.16,3.3570,0.7659E+03,50.014,,5,0.7659E+03,0.0055E+03,1.000,3.80,10:36:33.000
228.18,3.3570,0.7660E+03,50.013,,5,0.7660E+03,0.0055E+03,1.000,3.77,10:36:33.100
228.18,3.3566,0.7659E+03,50.013,,5,0.7659E+03,0.0055E+03,1.000,3.77,10:36:33.200
228.18,3.3563,0.7658E+03,50.014,,5,0.7659E+03,0.0055E+03,1.000,3.79,10:36:33.300
228.14,3.3554,0.7655E+03,50.015,,5,0.7655E+03,0.0055E+03,1.000,3.78,10:36:33.400
228.18,3.3557,0.7657E+03,50.016,,5,0.7657E+03,0.0055E+03,1.000,3.81,10:36:33.500
228.23,3.3561,0.7660E+03,50.016,,5,0.7660E+03,0.0055E+03,1.000,3.80,10:36:33.600
228.22,3.3555,0.7658E+03,50.015,,5,0.7658E+03,0.0055E+03,1.000,3.78,10:36:33.700
228.22,3.3551,0.7657E+03,50.014,,5,0.7657E+03,0.0055E+03,1.000,3.78,10:36:33.800
