#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,1206        
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
231.50,0.0291E-03,0.0005,49.974,,5E-03,0.0067,0.0067,0.077,3.91,10:01:42.000
231.50,0.0284E-03,0.0005,49.974,,5E-03,0.0066,0.0066,0.078,3.92,10:01:42.100
231.47,0.0287E-03,0.0005,49.974,,5E-03,0.0066,0.0066,0.075,3.93,10:01:42.200
231.44,0.0283E-03,0.0005,49.974,,5E-03,0.0066,0.0065,0.076,3.97,10:01:42.300
231.55,0.0284E-03,0.0005,49.976,,5E-03,0.0066,0.0066,0.081,3.94,10:01:42.400
231.57,0.0281E-03,0.0005,49.978,,5E-03,0.0065,0.0065,0.079,3.94,10:01:42.500
231.57,0.0281E-03,0.0005,49.978,,5E-03,0.0065,0.0065,0.078,3.94,10:01:42.600
231.60,0.0281E-03,0.0005,49.980,,5E-03,0.0065,0.0065,0.081,3.98,10:01:42.700
231.61,0.0279E-03,0.0005,49.979,,5E-03,0.0065,0.0065,0.079,3.97,10:01:42.800
nan,nan,nan,nan,,20,nan,nan,nan,nan,10:01:42.900
nan,nan,nan,nan,,20,nan,nan,nan,nan,10:01:43.000
nan,nan,nan,nan,,20,nan,nan,nan,nan,10:01:43.100
227.72,3.487,0.7940E+03,49.982,,20,0.7940E+03,0.0056E+03,1.000,3.98,10:01:43.200
227.73,3.473,0.7909E+03,49.979,,20,0.7909E+03,0.0056E+03,1.000,3.97,10:01:43.300
227.75,3.464,0.7890E+03,49.977,,20,0.7890E+03,0.0057E+03,1.000,3.95,10:01:43.400
227.74,3.455,0.7868E+03,49.976,,20,0.7869E+03,0.0056E+03,1.000,3.98,10:01:43.500
227.79,3.447,0.7852E+03,49.974,,20,0.7852E+03,0.0056E+03,1.000,3.96,10:01:43.600
227.82,3.440,0.7836E+03,49.972,,20,0.7836E+03,0.0056E+03,1.000,3.97,10:01:43.700
227.83,3.433,0.7821E+03,49.973,,20,0.7821E+03,0.0056E+03,1.000,3.96,10:01:43.800
nan,nan,nan,nan,,5,nan,nan,nan,nan,10:01:43.900
nan,nan,nan,nan,,5,nan,nan,nan,nan,10:01:44.000
nan,nan,nan,nan,,5,nan,nan,nan,nan,10:01:44.100
227.89,3.4022,0.7753E+03,49.977,,5,0.7753E+03,0.0055E+03,1.000,3.96,10:01:44.200
227.88,3.3975,0.7742E+03,49.979,,5,0.7742E+03,0.0055E+03,1.000,3.96,10:01:44.300
227.83,3.3937,0.7732E+03,49.978,,5,0.7732E+03,0.0055E+03,1.000,3.98,10:01:44.400
227.89,3.3920,0.7730E+03,49.978,,5,0.7730E+03,0.0054E+03,1.000,3.99,10:01:44.500
227.88,3.3889,0.7722E+03,49.980,,5,0.7723E+03,0.0054E+03,1.000,3.96,10:01:44.600
227.90,3.3839,0.7712E+03,49.984,,5,0.7712E+03,0.0055E+03,1.000,3.96,10:01:44.700
227.87,3.3811,0.7704E+03,49.982,,5,0.7704E+03,0.0054E+03,1.000,3.98,10:01:44.800
227.86,3.3790,0.7699E+03,49.983,,5,0.7699E+03,0.0054E+03,1.000,3.99,10:01:44.900
227.88,3.3773,0.7696E+03,49.982,,5,0.7696E+03,0.0054E+03,1.000,3.99,10:01:45.000
227.86,3.3736,0.7687E+03,49.982,,5,0.7687E+03,0.0054E+03,1.000,4.00,10:01:45.100
227.84,3.3717,0.7682E+03,49.980,,5,0.7682E+03,0.0054E+03,1.000,3.98,10:01:45.200
227.83,3.3703,0.7678E+03,49.981,,5,0.7679E+03,0.0054E+03,1.000,4.01,10:01:45.300
227.86,3.3696,0.7678E+03,49.980,,5,0.7678E+03,0.0054E+03,1.000,4.00,10:01:45.400
227.86,3.3672,0.7672E+03,49.980,,5,0.7672E+03,0.0054E+03,1.000,3.96,10:01:45.500
227.84,3.3660,0.7669E+03,49.978,,5,0.7669E+03,0.0054E+03,1.000,3.97,10:01:45.600
227.88,3.3658,0.7670E+03,49.973,,5,0.7670E+03,0.0054E+03,1.000,4.00,10:01:45.700
227.85,3.3645,0.7666E+03,49.975,,5,0.7666E+03,0.0054E+03,1.000,4.00,10:01:45.800
227.89,3.3634,0.7665E+03,49.974,,5,0.7665E+03,0.0054E+03,1.000,4.00,10:01:45.900
227.90,3.3629,0.7664E+03,49.972,,5,0.7664E+03,0.0054E+03,1.000,4.01,10:01:46.000
227.92,3.3624,0.7663E+03,49.971,,5,0.7663E+03,0.0054E+03,1.000,3.97,10:01:46.100
227.90,3.3617,0.7661E+03,49.972,,5,0.7661E+03,0.0054E+03,1.000,4.00,10:01:46.200
227.87,3.3599,0.7656E+03,49.970,,5,0.7656E+03,0.0054E+03,1.000,4.00,10:01:46.300
227.84,3.3588,0.7653E+03,49.971,,5,0.7653E+03,0.0054E+03,1.000,3.98,10:01:46.400
227.85,3.3585,0.7652E+03,49.973,,5,0.7652E+03,0.0054E+03,1.000,3.98,10:01:46.500
227.86,3.3583,0.7652E+03,49.974,,5,0.7652E+03,0.0054E+03,1.000,3.99,10:01:46.600
227.92,3.3583,0.7654E+03,49.976,,5,0.7654E+03,0.0054E+03,1.000,3.98,10:01:46.700
227.90,3.3575,0.7652E+03,49.976,,5,0.7652E+03,0.0054E+03,1.000,3.96,10:01:46.800
227.90,3.3571,0.7651E+03,49.974,,5,0.7651E+03,0.0054E+03,1.000,3.95,10:01:46.900
227.86,3.3560,0.7647E+03,49.975,,5,0.7647E+03,0.0054E+03,1.000,3.97,10:01:47.000
227.87,3.3555,0.7646E+03,49.976,,5,0.7646E+03,0.0054E+03,1.000,3.97,10:01:47.100
227.82,3.3545,0.7642E+03,49.978,,5,0.7642E+03,0.0054E+03,1.000,3.99,10:01:47.200
227.80,3.3539,0.7640E+03,49.977,,5,0.7640E+03,0.0054E+03,1.000,3.97,10:01:47.300
227.83,3.3540,0.7641E+03,49.978,,5,0.7642E+03,0.0054E+03,1.000,3.97,10:01:47.400
227.84,3.3535,0.7641E+03,49.977,,5,0.7641E+03,0.0054E+03,1.000,3.97,10:01:47.500
227.82,3.3528,0.7638E+03,49.978,,5,0.7638E+03,0.0054E+03,1.000,3.97,10:01:47.600
227.81,3.3523,0.7636E+03,49.978,,5,0.7637E+03,0.0054E+03,1.000,3.96,10:01:47.700
227.85,3.3526,0.7639E+03,49.979,,5,0.7639E+03,0.0054E+03,1.000,3.98,10:01:47.800
227.71,3.3500,0.7628E+03,49.981,,5,0.7628E+03,0.0054E+03,1.000,3.95,10:01:47.900
227.74,3.3501,0.7630E+03,49.981,,5,0.7630E+03,0.0054E+03,1.000,3.96,10:01:48.000
227.76,3.3502,0.7630E+03,49.980,,5,0.7630E+03,0.0054E+03,1.000,3.96,10:01:48.100
227.74,3.3496,0.7628E+03,49.979,,5,0.7629E+03,0.0054E+03,1.000,3.94,10:01:48.200
227.74,3.3490,0.7627E+03,49.980,,5,0.7627E+03,0.0054E+03,1.000,3.95,10:01:48.300
227.75,3.3489,0.7627E+03,49.979,,5,0.7627E+03,0.0054E+03,1.000,3.91,10:01:48.400
227.71,3.3482,0.7624E+03,49.978,,5,0.7624E+03,0.0054E+03,1.000,3.91,10:01:48.500
227.76,3.3486,0.7627E+03,49.978,,5,0.7627E+03,0.0054E+03,1.000,3.92,10:01:48.600
227.75,3.3479,0.7625E+03,49.978,,5,0.7625E+03,0.0054E+03,1.000,3.92,10:01:48.700
227.75,3.3478,0.7624E+03,49.976,,5,0.7625E+03,0.0054E+03,1.000,3.90,10:01:48.800
227.74,3.3474,0.7623E+03,49.976,,5,0.7623E+03,0.0054E+03,1.000,3.90,10:01:48.900
227.73,3.3470,0.7622E+03,49.978,,5,0.7622E+03,0.0054E+03,1.000,3.93,10:01:49.000
227.72,3.3465,0.7620E+03,49.979,,5,0.7620E+03,0.0054E+03,1.000,3.91,10:01:49.100
227.68,3.3456,0.7617E+03,49.979,,5,0.7617E+03,0.0054E+03,1.000,3.92,10:01:49.200
227.67,3.3452,0.7616E+03,49.978,,5,0.7616E+03,0.0054E+03,1.000,3.92,10:01:49.300
227.83,3.3473,0.7626E+03,49.981,,5,0.7626E+03,0.0054E+03,1.000,3.83,10:01:49.400
228.12,3.3512,0.7645E+03,49.983,,5,0.7645E+03,0.0055E+03,1.000,3.82,10:01:49.500
228.13,3.3511,0.7645E+03,49.982,,5,0.7645E+03,0.0054E+03,1.000,3.80,10:01:49.600
228.10,3.3505,0.7642E+03,49.982,,5,0.7643E+03,0.0055E+03,1.000,3.81,10:01:49.700
228.08,3.3500,0.7641E+03,49.984,,5,0.7641E+03,0.0055E+03,1.000,3.82,10:01:49.800
227.91,3.3470,0.7628E+03,49.984,,5,0.7628E+03,0.0054E+03,1.000,3.89,10:01:49.900
227.96,3.3475,0.7631E+03,49.982,,5,0.7631E+03,0.0054E+03,1.000,3.86,10:01:50.000
227.91,3.3465,0.7627E+03,49.981,,5,0.7627E+03,0.0054E+03,1.000,3.83,10:01:50.100
227.93,3.3466,0.7628E+03,49.982,,5,0.7628E+03,0.0055E+03,1.000,3.84,10:01:50.200
227.95,3.3466,0.7628E+03,49.982,,5,0.7629E+03,0.0054E+03,1.000,3.82,10:01:50.300
227.91,3.3458,0.7625E+03,49.981,,5,0.7625E+03,0.0054E+03,1.000,3.82,10:01:50.400
227.88,3.3453,0.7623E+03,49.980,,5,0.7623E+03,0.0055E+03,1.000,3.85,10:01:50.500
227.92,3.3457,0.7626E+03,49.980,,5,0.7626E+03,0.0055E+03,1.000,3.88,10:01:50.600
227.90,3.3450,0.7623E+03,49.979,,5,0.7623E+03,0.0054E+03,1.000,3.83,10:01:50.700
227.87,3.3444,0.7621E+03,49.978,,5,0.7621E+03,0.0054E+03,1.000,3.85,10:01:50.800
227.85,3.3440,0.7619E+03,49.979,,5,0.7619E+03,0.0054E+03,1.000,3.89,10:01:50.900
227.84,3.3436,0.7618E+03,49.979,,5,0.7618E+03,0.0054E+03,1.000,3.86,10:01:51.000
227.87,3.3436,0.7619E+03,49.978,,5,0.7619E+03,0.0055E+03,1.000,3.85,10:01:51.100
227.90,3.3440,0.7621E+03,49.978,,5,0.7621E+03,0.0054E+03,1.000,3.88,10:01:51.200
227.89,3.3437,0.7620E+03,49.979,,5,0.7620E+03,0.0054E+03,1.000,3.89,10:01:51.300
227.88,3.3434,0.7619E+03,49.978,,5,0.7619E+03,0.0055E+03,1.000,3.87,10:01:51.400
227.87,3.3429,0.7617E+03,49.977,,5,0.7618E+03,0.0054E+03,1.000,3.84,10:01:51.500
227.87,3.3427,0.7617E+03,49.977,,5,0.7617E+03,0.0055E+03,1.000,3.89,10:01:51.600
227.87,3.3425,0.7616E+03,49.976,,5,0.7617E+03,0.0054E+03,1.000,3.89,10:01:51.700
227.87,3.3423,0.7616E+03,49.976,,5,0.7616E+03,0.0055E+03,1.000,3.86,10:01:51.800
227.83,3.3415,0.7613E+03,49.975,,5,0.7613E+03,0.0054E+03,1.000,3.89,10:01:51.900
227.81,3.3410,0.7611E+03,49.977,,5,0.7611E+03,0.0054E+03,1.000,3.91,10:01:52.000
227.83,3.3411,0.7612E+03,49.977,,5,0.7612E+03,0.0054E+03,1.000,3.92,10:01:52.100
227.80,3.3405,0.7609E+03,49.976,,5,0.7610E+03,0.0054E+03,1.000,3.89,10:01:52.200
227.79,3.3400,0.7608E+03,49.974,,5,0.7608E+03,0.0055E+03,1.000,3.95,10:01:52.300
227.81,3.3402,0.7609E+03,49.975,,5,0.7609E+03,0.0055E+03,1.000,3.94,10:01:52.400
227.81,3.3400,0.7609E+03,49.975,,5,0.7609E+03,0.0055E+03,1.000,3.95,10:01:52.500
227.77,3.3393,0.7606E+03,49.976,,5,0.7606E+03,0.0054E+03,1.000,3.92,10:01:52.600
227.80,3.3394,0.7607E+03,49.976,,5,0.7607E+03,0.0055E+03,1.000,3.89,10:01:52.700
227.78,3.3389,0.7605E+03,49.976,,5,0.7605E+03,0.0054E+03,1.000,3.90,10:01:52.800
227.81,3.3393,0.7607E+03,49.975,,5,0.7607E+03,0.0055E+03,1.000,3.89,10:01:52.900
227.78,3.3387,0.7605E+03,49.977,,5,0.7605E+03,0.0054E+03,1.000,3.89,10:01:53.000
227.81,3.3387,0.7606E+03,49.979,,5,0.7606E+03,0.0054E+03,1.000,3.89,10:01:53.100
227.81,3.3386,0.7605E+03,49.980,,5,0.7605E+03,0.0054E+03,1.000,3.93,10:01:53.200
227.77,3.3378,0.7602E+03,49.981,,5,0.7603E+03,0.0055E+03,1.000,3.90,10:01:53.300
227.75,3.3375,0.7601E+03,49.981,,5,0.7601E+03,0.0055E+03,1.000,3.89,10:01:53.400
227.80,3.3379,0.7604E+03,49.983,,5,0.7604E+03,0.0055E+03,1.000,3.92,10:01:53.500
227.79,3.3376,0.7602E+03,49.984,,5,0.7603E+03,0.0055E+03,1.000,3.94,10:01:53.600
227.79,3.3374,0.7602E+03,49.984,,5,0.7602E+03,0.0055E+03,1.000,3.94,10:01:53.700
227.74,3.3365,0.7598E+03,49.986,,5,0.7599E+03,0.0055E+03,1.000,3.93,10:01:53.800
227.74,3.3362,0.7597E+03,49.987,,5,0.7598E+03,0.0054E+03,1.000,3.96,10:01:53.900
227.73,3.3359,0.7597E+03,49.985,,5,0.7597E+03,0.0054E+03,1.000,3.96,10:01:54.000
227.73,3.3359,0.7597E+03,49.985,,5,0.7597E+03,0.0055E+03,1.000,3.94,10:01:54.100
227.75,3.3360,0.7598E+03,49.984,,5,0.7598E+03,0.0055E+03,1.000,3.96,10:01:54.200
227.76,3.3358,0.7597E+03,49.983,,5,0.7598E+03,0.0055E+03,1.000,3.95,10:01:54.300
227.75,3.3356,0.7597E+03,49.982,,5,0.7597E+03,0.0055E+03,1.000,3.93,10:01:54.400
227.79,3.3362,0.7599E+03,49.982,,5,0.7599E+03,0.0055E+03,1.000,3.93,10:01:54.500
227.75,3.3353,0.7596E+03,49.980,,5,0.7596E+03,0.0055E+03,1.000,3.94,10:01:54.600
227.74,3.3348,0.7594E+03,49.981,,5,0.7595E+03,0.0055E+03,1.000,3.92,10:01:54.700
227.70,3.3341,0.7591E+03,49.979,,5,0.7592E+03,0.0055E+03,1.000,3.90,10:01:54.800
227.74,3.3346,0.7594E+03,49.979,,5,0.7594E+03,0.0055E+03,1.000,3.91,10:01:54.900
227.80,3.3353,0.7598E+03,49.980,,5,0.7598E+03,0.0055E+03,1.000,3.93,10:01:55.000
227.76,3.3344,0.7594E+03,49.979,,5,0.7594E+03,0.0055E+03,1.000,3.90,10:01:55.100
227.76,3.3344,0.7594E+03,49.981,,5,0.7594E+03,0.0054E+03,1.000,3.88,10:01:55.200
227.71,3.3335,0.7591E+03,49.982,,5,0.7591E+03,0.0055E+03,1.000,3.90,10:01:55.300
227.75,3.3339,0.7593E+03,49.982,,5,0.7593E+03,0.0055E+03,1.000,3.90,10:01:55.400
227.70,3.3331,0.7590E+03,49.982,,5,0.7590E+03,0.0055E+03,1.000,3.90,10:01:55.500
227.66,3.3322,0.7586E+03,49.983,,5,0.7586E+03,0.0055E+03,1.000,3.94,10:01:55.600
227.71,3.3327,0.7589E+03,49.982,,5,0.7589E+03,0.0055E+03,1.000,3.94,10:01:55.700
227.72,3.3329,0.7589E+03,49.982,,5,0.7590E+03,0.0055E+03,1.000,3.95,10:01:55.800
227.70,3.3325,0.7588E+03,49.981,,5,0.7588E+03,0.0055E+03,1.000,3.92,10:01:55.900
227.72,3.3326,0.7589E+03,49.981,,5,0.7589E+03,0.0055E+03,1.000,3.94,10:01:56.000
227.67,3.3317,0.7585E+03,49.983,,5,0.7585E+03,0.0055E+03,1.000,3.93,10:01:56.100
227.69,3.3316,0.7586E+03,49.982,,5,0.7586E+03,0.0054E+03,1.000,3.92,10:01:56.200
227.69,3.3314,0.7585E+03,49.982,,5,0.7585E+03,0.0055E+03,1.000,3.93,10:01:56.300
227.68,3.3310,0.7584E+03,49.983,,5,0.7584E+03,0.0055E+03,1.000,3.91,10:01:56.400
227.66,3.3306,0.7582E+03,49.983,,5,0.7583E+03,0.0054E+03,1.000,3.91,10:01:56.500
227.67,3.3306,0.7583E+03,49.982,,5,0.7583E+03,0.0054E+03,1.000,3.94,10:01:56.600
227.64,3.3299,0.7580E+03,49.982,,5,0.7580E+03,0.0055E+03,1.000,3.93,10:01:56.700
227.64,3.3297,0.7580E+03,49.983,,5,0.7580E+03,0.0055E+03,1.000,3.89,10:01:56.800
227.64,3.3296,0.7579E+03,49.985,,5,0.7580E+03,0.0054E+03,1.000,3.92,10:01:56.900
227.67,3.3299,0.7581E+03,49.986,,5,0.7581E+03,0.0054E+03,1.000,3.92,10:01:57.000
227.64,3.3294,0.7579E+03,49.984,,5,0.7579E+03,0.0055E+03,1.000,3.91,10:01:57.100
227.69,3.3302,0.7582E+03,49.986,,5,0.7582E+03,0.0055E+03,1.000,3.93,10:01:57.200
227.68,3.3298,0.7581E+03,49.985,,5,0.7581E+03,0.0055E+03,1.000,3.95,10:01:57.300
227.68,3.3296,0.7581E+03,49.983,,5,0.7581E+03,0.0055E+03,1.000,3.93,10:01:57.400
227.71,3.3298,0.7582E+03,49.985,,5,0.7582E+03,0.0054E+03,1.000,3.93,10:01:57.500
227.73,3.3300,0.7583E+03,49.986,,5,0.7584E+03,0.0054E+03,1.000,3.94,10:01:57.600
227.71,3.3296,0.7581E+03,49.987,,5,0.7582E+03,0.0055E+03,1.000,3.91,10:01:57.700
227.68,3.3290,0.7579E+03,49.989,,5,0.7580E+03,0.0054E+03,1.000,3.91,10:01:57.800
227.70,3.3291,0.7580E+03,49.989,,5,0.7580E+03,0.0055E+03,1.000,3.93,10:01:57.900
227.71,3.3291,0.7580E+03,49.988,,5,0.7581E+03,0.0055E+03,1.000,3.91,10:01:58.000
227.72,3.3291,0.7581E+03,49.989,,5,0.7581E+03,0.0055E+03,1.000,3.91,10:01:58.100
227.70,3.3288,0.7580E+03,49.989,,5,0.7580E+03,0.0055E+03,1.000,3.92,10:01:58.200
227.70,3.3285,0.7579E+03,49.990,,5,0.7579E+03,0.0055E+03,1.000,3.92,10:01:58.300
227.73,3.3288,0.7580E+03,49.991,,5,0.7581E+03,0.0055E+03,1.000,3.94,10:01:58.400
227.72,3.3287,0.7580E+03,49.989,,5,0.7580E+03,0.0055E+03,1.000,3.93,10:01:58.500
227.71,3.3284,0.7579E+03,49.990,,5,0.7579E+03,0.0055E+03,1.000,3.93,10:01:58.600
227.74,3.3285,0.7580E+03,49.989,,5,0.7580E+03,0.0055E+03,1.000,3.96,10:01:58.700
227.75,3.3285,0.7581E+03,49.988,,5,0.7581E+03,0.0055E+03,1.000,3.95,10:01:58.800
227.75,3.3284,0.7580E+03,49.988,,5,0.7580E+03,0.0055E+03,1.000,3.95,10:01:58.900
227.79,3.3289,0.7583E+03,49.987,,5,0.7583E+03,0.0054E+03,1.000,3.97,10:01:59.000
227.74,3.3279,0.7579E+03,49.985,,5,0.7579E+03,0.0055E+03,1.000,3.98,10:01:59.100
227.69,3.3270,0.7575E+03,49.985,,5,0.7575E+03,0.0055E+03,1.000,3.94,10:01:59.200
227.73,3.3276,0.7578E+03,49.985,,5,0.7578E+03,0.0054E+03,1.000,3.96,10:01:59.300
227.72,3.3272,0.7577E+03,49.985,,5,0.7577E+03,0.0055E+03,1.000,3.96,10:01:59.400
227.72,3.3272,0.7577E+03,49.986,,5,0.7577E+03,0.0055E+03,1.000,3.96,10:01:59.500
227.77,3.3279,0.7580E+03,49.985,,5,0.7580E+03,0.0055E+03,1.000,3.96,10:01:59.600
227.75,3.3275,0.7578E+03,49.987,,5,0.7578E+03,0.0055E+03,1.000,3.93,10:01:59.700
227.72,3.3270,0.7576E+03,49.988,,5,0.7576E+03,0.0055E+03,1.000,3.93,10:01:59.800
227.73,3.3267,0.7576E+03,49.986,,5,0.7576E+03,0.0055E+03,1.000,3.94,10:01:59.900
227.77,3.3271,0.7578E+03,49.987,,5,0.7578E+03,0.0055E+03,1.000,3.91,10:02:00.000
