#Device,HMC8015
#Device Name,
#Date,2018-07-15
#Logging Interval[s],0.100
#Actual Count,442         
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
228.49,48.81E-03,0.216,50.007,,100E-03,11.152,11.150,0.019,2.41,09:58:07.000
228.47,48.82E-03,0.220,50.009,,100E-03,11.155,11.153,0.020,2.43,09:58:07.100
228.47,48.82E-03,0.220,50.009,,100E-03,11.154,11.152,0.020,2.41,09:58:07.200
228.45,48.82E-03,0.219,50.009,,100E-03,11.154,11.152,0.020,2.41,09:58:07.300
228.44,48.87E-03,0.227,50.009,,100E-03,11.164,11.162,0.020,2.39,09:58:07.400
228.40,48.78E-03,0.220,50.009,,100E-03,11.141,11.139,0.020,2.42,09:58:07.500
228.52,48.65E-03,0.220,50.009,,100E-03,11.119,11.116,0.020,2.36,09:58:07.600
228.55,48.67E-03,0.223,50.009,,100E-03,11.123,11.121,0.020,2.36,09:58:07.700
228.55,48.65E-03,0.226,50.009,,100E-03,11.118,11.116,0.020,2.37,09:58:07.800
228.59,48.68E-03,0.227,50.009,,100E-03,11.129,11.126,0.020,2.36,09:58:07.900
228.62,48.70E-03,0.226,50.010,,100E-03,11.133,11.131,0.020,2.36,09:58:08.000
228.65,48.70E-03,0.226,50.009,,100E-03,11.135,11.133,0.020,2.36,09:58:08.100
228.61,48.65E-03,0.221,50.011,,100E-03,11.122,11.120,0.020,2.34,09:58:08.200
228.61,48.70E-03,0.224,50.010,,100E-03,11.133,11.131,0.020,2.36,09:58:08.300
228.63,48.75E-03,0.226,50.010,,100E-03,11.145,11.143,0.020,2.34,09:58:08.400
228.65,48.69E-03,0.225,50.009,,100E-03,11.134,11.132,0.020,2.37,09:58:08.500
228.66,48.67E-03,0.220,50.009,,100E-03,11.128,11.126,0.020,2.35,09:58:08.600
228.63,48.68E-03,0.220,50.011,,100E-03,11.130,11.128,0.020,2.33,09:58:08.700
228.61,48.68E-03,0.220,50.012,,100E-03,11.129,11.126,0.020,2.35,09:58:08.800
228.62,48.76E-03,0.230,50.011,,100E-03,11.148,11.146,0.021,2.35,09:58:08.900
228.66,48.66E-03,0.225,50.009,,100E-03,11.127,11.125,0.020,2.34,09:58:09.000
228.65,48.69E-03,0.216,50.009,,100E-03,11.134,11.132,0.019,2.36,09:58:09.100
228.60,48.68E-03,0.219,50.007,,100E-03,11.129,11.127,0.020,2.35,09:58:09.200
228.67,48.69E-03,0.221,50.008,,100E-03,11.134,11.131,0.020,2.35,09:58:09.300
228.63,48.66E-03,0.216,50.008,,100E-03,11.125,11.122,0.019,2.36,09:58:09.400
228.47,48.63E-03,0.214,50.008,,100E-03,11.111,11.109,0.019,2.35,09:58:09.500
228.54,48.64E-03,0.222,50.008,,100E-03,11.116,11.114,0.020,2.33,09:58:09.600
228.66,48.68E-03,0.225,50.008,,100E-03,11.130,11.128,0.020,2.36,09:58:09.700
228.65,48.65E-03,0.224,50.006,,100E-03,11.125,11.123,0.020,2.34,09:58:09.800
228.61,48.72E-03,0.227,50.007,,100E-03,11.139,11.136,0.020,2.34,09:58:09.900
228.65,48.68E-03,0.228,50.008,,100E-03,11.131,11.129,0.020,2.36,09:58:10.000
228.68,48.68E-03,0.227,50.008,,100E-03,11.132,11.130,0.020,2.37,09:58:10.100
228.66,48.67E-03,0.226,50.008,,100E-03,11.130,11.128,0.020,2.37,09:58:10.200
228.66,48.69E-03,0.219,50.008,,100E-03,11.133,11.130,0.020,2.38,09:58:10.300
228.65,48.68E-03,0.218,50.009,,100E-03,11.132,11.130,0.020,2.39,09:58:10.400
228.61,48.75E-03,0.218,50.010,,100E-03,11.145,11.143,0.020,2.35,09:58:10.500
228.61,48.64E-03,0.218,50.009,,100E-03,11.121,11.118,0.020,2.37,09:58:10.600
228.60,48.65E-03,0.222,50.008,,100E-03,11.121,11.119,0.020,2.36,09:58:10.700
228.64,48.66E-03,0.225,50.008,,100E-03,11.126,11.124,0.020,2.33,09:58:10.800
228.63,48.66E-03,0.220,50.008,,100E-03,11.125,11.123,0.020,2.34,09:58:10.900
228.66,48.69E-03,0.223,50.006,,100E-03,11.133,11.131,0.020,2.36,09:58:11.000
228.55,48.64E-03,0.219,50.008,,100E-03,11.118,11.116,0.020,2.35,09:58:11.100
228.60,48.66E-03,0.221,50.009,,100E-03,11.123,11.121,0.020,2.35,09:58:11.200
228.63,48.67E-03,0.226,50.008,,100E-03,11.126,11.124,0.020,2.33,09:58:11.300
228.65,48.66E-03,0.228,50.009,,100E-03,11.126,11.124,0.020,2.35,09:58:11.400
228.63,48.65E-03,0.223,50.007,,100E-03,11.123,11.121,0.020,2.35,09:58:11.500
228.59,48.63E-03,0.230,50.007,,100E-03,11.117,11.114,0.021,2.35,09:58:11.600
228.63,48.65E-03,0.228,50.007,,100E-03,11.123,11.121,0.021,2.34,09:58:11.700
228.65,48.65E-03,0.227,50.009,,100E-03,11.123,11.121,0.020,2.34,09:58:11.800
228.65,48.69E-03,0.225,50.009,,100E-03,11.132,11.130,0.020,2.33,09:58:11.900
228.62,48.84E-03,0.229,50.009,,100E-03,11.166,11.164,0.021,2.39,09:58:12.000
228.69,48.74E-03,0.226,50.009,,100E-03,11.147,11.145,0.020,2.37,09:58:12.100
228.49,48.84E-03,0.221,50.008,,100E-03,11.160,11.158,0.020,2.42,09:58:12.200
228.52,48.82E-03,0.223,50.008,,100E-03,11.157,11.155,0.020,2.39,09:58:12.300
228.63,48.71E-03,0.223,50.007,,100E-03,11.136,11.134,0.020,2.37,09:58:12.400
228.57,48.79E-03,0.221,50.008,,100E-03,11.152,11.150,0.020,2.41,09:58:12.500
228.49,48.76E-03,0.221,50.009,,100E-03,11.141,11.139,0.020,2.39,09:58:12.600
228.53,48.76E-03,0.215,50.008,,100E-03,11.143,11.141,0.019,2.40,09:58:12.700
228.55,48.81E-03,0.219,50.006,,100E-03,11.155,11.152,0.020,2.41,09:58:12.800
228.51,48.78E-03,0.227,50.005,,100E-03,11.146,11.144,0.020,2.39,09:58:12.900
228.55,48.78E-03,0.231,50.006,,100E-03,11.150,11.147,0.021,2.39,09:58:13.000
228.07,48.69E-03,0.192,50.006,,100E-03,11.104,11.102,0.017,2.44,09:58:13.100
228.01,48.68E-03,0.196,50.006,,100E-03,11.099,11.097,0.018,2.37,09:58:13.200
228.02,48.69E-03,0.206,50.006,,100E-03,11.102,11.100,0.019,2.38,09:58:13.300
228.00,48.67E-03,0.211,50.006,,100E-03,11.096,11.094,0.019,2.40,09:58:13.400
228.02,48.73E-03,0.220,50.006,,100E-03,11.112,11.110,0.020,2.41,09:58:13.500
228.05,48.70E-03,0.220,50.006,,100E-03,11.107,11.105,0.020,2.41,09:58:13.600
228.07,48.71E-03,0.221,50.006,,100E-03,11.110,11.107,0.020,2.43,09:58:13.700
228.00,48.67E-03,0.213,50.007,,100E-03,11.097,11.095,0.019,2.42,09:58:13.800
228.01,48.73E-03,0.216,50.007,,100E-03,11.111,11.109,0.019,2.43,09:58:13.900
228.01,48.69E-03,0.224,50.007,,100E-03,11.103,11.100,0.020,2.42,09:58:14.000
228.05,48.78E-03,0.233,50.006,,100E-03,11.123,11.121,0.021,2.42,09:58:14.100
228.08,48.72E-03,0.228,50.006,,100E-03,11.111,11.109,0.021,2.42,09:58:14.200
228.10,48.72E-03,0.223,50.005,,100E-03,11.113,11.111,0.020,2.41,09:58:14.300
228.05,48.70E-03,0.224,50.005,,100E-03,11.107,11.104,0.020,2.41,09:58:14.400
228.04,48.68E-03,0.221,50.005,,100E-03,11.101,11.098,0.020,2.39,09:58:14.500
228.04,48.69E-03,0.213,50.005,,100E-03,11.103,11.101,0.019,2.40,09:58:14.600
228.05,48.68E-03,0.224,50.005,,100E-03,11.100,11.098,0.020,2.42,09:58:14.700
228.09,48.73E-03,0.223,50.005,,100E-03,11.116,11.113,0.020,2.40,09:58:14.800
228.09,48.72E-03,0.222,50.005,,100E-03,11.113,11.111,0.020,2.41,09:58:14.900
228.07,48.70E-03,0.220,50.005,,100E-03,11.107,11.104,0.020,2.41,09:58:15.000
227.81,48.60E-03,0.200,50.006,,100E-03,11.072,11.070,0.018,2.37,09:58:15.100
227.81,48.62E-03,0.203,50.004,,100E-03,11.077,11.075,0.018,2.42,09:58:15.200
227.84,48.64E-03,0.212,50.006,,100E-03,11.082,11.080,0.019,2.42,09:58:15.300
227.87,48.62E-03,0.219,50.006,,100E-03,11.079,11.077,0.020,2.41,09:58:15.400
227.77,48.64E-03,0.212,50.006,,100E-03,11.080,11.078,0.019,2.42,09:58:15.500
227.75,48.69E-03,0.204,50.005,,100E-03,11.089,11.087,0.018,2.41,09:58:15.600
227.80,48.64E-03,0.206,50.005,,100E-03,11.081,11.079,0.019,2.45,09:58:15.700
227.75,48.63E-03,0.213,50.004,,100E-03,11.076,11.074,0.019,2.42,09:58:15.800
227.78,48.62E-03,0.222,50.004,,100E-03,11.075,11.073,0.020,2.42,09:58:15.900
227.78,48.63E-03,0.221,50.004,,100E-03,11.077,11.075,0.020,2.43,09:58:16.000
227.79,48.67E-03,0.212,50.005,,100E-03,11.086,11.084,0.019,2.42,09:58:16.100
227.75,48.59E-03,0.215,50.006,,100E-03,11.066,11.064,0.019,2.42,09:58:16.200
227.75,48.62E-03,0.217,50.002,,100E-03,11.073,11.071,0.020,2.42,09:58:16.300
227.78,48.63E-03,0.221,49.999,,100E-03,11.076,11.074,0.020,2.38,09:58:16.400
227.79,48.62E-03,0.224,49.998,,100E-03,11.076,11.073,0.020,2.40,09:58:16.500
227.80,48.61E-03,0.217,49.998,,100E-03,11.074,11.071,0.020,2.45,09:58:16.600
227.77,48.63E-03,0.216,49.999,,100E-03,11.075,11.073,0.020,2.42,09:58:16.700
227.77,48.63E-03,0.219,49.999,,100E-03,11.077,11.075,0.020,2.41,09:58:16.800
227.84,48.64E-03,0.220,49.998,,100E-03,11.083,11.081,0.020,2.44,09:58:16.900
227.79,48.63E-03,0.218,49.997,,100E-03,11.076,11.074,0.020,2.41,09:58:17.000
227.78,48.69E-03,0.223,49.996,,100E-03,11.092,11.089,0.020,2.44,09:58:17.100
227.82,48.65E-03,0.216,49.995,,100E-03,11.085,11.083,0.019,2.44,09:58:17.200
227.85,48.66E-03,0.217,49.998,,100E-03,11.087,11.085,0.020,2.43,09:58:17.300
227.79,48.59E-03,0.218,49.999,,100E-03,11.068,11.066,0.020,2.41,09:58:17.400
227.72,48.63E-03,0.214,49.999,,100E-03,11.074,11.072,0.019,2.42,09:58:17.500
227.69,48.67E-03,0.219,49.999,,100E-03,11.082,11.080,0.020,2.41,09:58:17.600
227.73,48.61E-03,0.218,49.998,,100E-03,11.071,11.069,0.020,2.40,09:58:17.700
227.66,48.58E-03,0.216,49.997,,100E-03,11.059,11.057,0.020,2.38,09:58:17.800
227.68,48.61E-03,0.218,49.997,,100E-03,11.068,11.065,0.020,2.39,09:58:17.900
227.70,48.63E-03,0.221,49.998,,100E-03,11.073,11.071,0.020,2.41,09:58:18.000
227.84,48.71E-03,0.233,49.996,,100E-03,11.097,11.095,0.021,2.43,09:58:18.100
228.03,48.66E-03,0.237,49.996,,100E-03,11.096,11.094,0.021,2.41,09:58:18.200
228.07,48.67E-03,0.227,49.995,,100E-03,11.100,11.098,0.020,2.41,09:58:18.300
228.05,48.68E-03,0.222,49.996,,100E-03,11.102,11.099,0.020,2.40,09:58:18.400
228.00,48.66E-03,0.225,49.996,,100E-03,11.094,11.092,0.020,2.44,09:58:18.500
228.04,48.65E-03,0.226,49.996,,100E-03,11.094,11.092,0.020,2.40,09:58:18.600
228.05,48.64E-03,0.226,49.997,,100E-03,11.093,11.090,0.020,2.40,09:58:18.700
228.08,48.67E-03,0.228,49.997,,100E-03,11.100,11.098,0.021,2.37,09:58:18.800
228.11,48.67E-03,0.224,49.997,,100E-03,11.102,11.099,0.020,2.40,09:58:18.900
228.09,48.66E-03,0.221,49.997,,100E-03,11.099,11.097,0.020,2.40,09:58:19.000
228.16,48.68E-03,0.222,49.997,,100E-03,11.108,11.105,0.020,2.38,09:58:19.100
228.13,48.76E-03,0.223,49.998,,100E-03,11.124,11.122,0.020,2.37,09:58:19.200
228.10,48.65E-03,0.221,49.998,,100E-03,11.097,11.095,0.020,2.40,09:58:19.300
228.11,48.64E-03,0.220,49.997,,100E-03,11.096,11.094,0.020,2.38,09:58:19.400
228.14,48.67E-03,0.225,49.997,,100E-03,11.103,11.101,0.020,2.38,09:58:19.500
228.20,48.69E-03,0.226,49.998,,100E-03,11.112,11.109,0.020,2.38,09:58:19.600
228.16,48.71E-03,0.225,49.998,,100E-03,11.113,11.111,0.020,2.39,09:58:19.700
228.08,48.64E-03,0.220,49.998,,100E-03,11.093,11.091,0.020,2.38,09:58:19.800
228.17,48.67E-03,0.221,49.997,,100E-03,11.106,11.104,0.020,2.40,09:58:19.900
228.16,48.68E-03,0.218,49.997,,100E-03,11.107,11.105,0.020,2.35,09:58:20.000
228.12,48.67E-03,0.218,49.995,,100E-03,11.102,11.099,0.020,2.39,09:58:20.100
228.15,48.73E-03,0.223,49.994,,100E-03,11.118,11.116,0.020,2.41,09:58:20.200
228.17,48.69E-03,0.218,49.995,,100E-03,11.110,11.108,0.020,2.40,09:58:20.300
228.16,48.65E-03,0.219,49.996,,100E-03,11.101,11.099,0.020,2.39,09:58:20.400
228.14,48.71E-03,0.219,49.997,,100E-03,11.112,11.110,0.020,2.40,09:58:20.500
228.17,48.67E-03,0.218,49.996,,100E-03,11.104,11.102,0.020,2.40,09:58:20.600
228.14,48.74E-03,0.218,49.996,,100E-03,11.120,11.118,0.020,2.41,09:58:20.700
228.12,48.66E-03,0.222,49.996,,100E-03,11.100,11.097,0.020,2.41,09:58:20.800
