#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100
#Actual Count,2228        
URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
233.19,0.0077E-03,0.0004,50.006,,5E-03,0.0018,0.0018,0.209,3.12,11:00:53.000
233.21,0.0077E-03,0.0004,50.007,,5E-03,0.0018,0.0017,0.210,3.13,11:00:53.100
233.20,0.0098E-03,0.0004,50.006,,5E-03,0.0023,0.0023,0.163,3.18,11:00:53.200
233.24,0.0130E-03,0.0004,50.005,,5E-03,0.0030,0.0030,0.124,3.17,11:00:53.300
233.19,0.0091E-03,0.0004,50.005,,5E-03,0.0021,0.0021,0.175,3.16,11:00:53.400
nan,nan,nan,nan,,20,nan,nan,nan,nan,11:00:53.500
nan,nan,nan,nan,,20,nan,nan,nan,nan,11:00:53.600
nan,nan,nan,nan,,20,nan,nan,nan,nan,11:00:53.700
225.79,8.339,1.8829E+03,50.002,,20,1.8829E+03,0.0011E+03,1.000,3.14,11:00:53.800
225.79,8.340,1.8831E+03,50.002,,20,1.8831E+03,0.0015E+03,1.000,3.11,11:00:53.900
222.17,8.207,1.8235E+03,50.002,,20,1.8234E+03,,1.000,3.11,11:00:54.000
225.75,8.340,1.8827E+03,50.000,,20,1.8827E+03,0.0005E+03,1.000,3.11,11:00:54.100
225.77,8.341,1.8832E+03,50.000,,20,1.8832E+03,0.0009E+03,1.000,3.11,11:00:54.200
225.76,8.341,1.8830E+03,50.000,,20,1.8830E+03,0.0009E+03,1.000,3.11,11:00:54.300
nan,nan,nan,nan,,10,nan,nan,nan,nan,11:00:54.400
nan,nan,nan,nan,,10,nan,nan,nan,nan,11:00:54.500
nan,nan,nan,nan,,10,nan,nan,nan,nan,11:00:54.600
225.76,8.341,1.8830E+03,50.004,,10,1.8830E+03,0.0012E+03,1.000,3.10,11:00:54.700
